label,dCT,CT,dT1T2,T1T2,slopePC1,slopePC2,slopePC3
lh_bankssts,-0.022104269,2.7194567,0.0019711558,0.55193946,-0.1674235,0.361248,0.0684324
lh_caudalanteriorcingulate,-0.018259633,2.554573,0.0016998398,0.47353436,1.80968,0.9222535,-0.4608815
lh_caudalmiddlefrontal,-0.01462218,2.808132,0.0040071331,0.58460282,-0.7756995,-0.03834855,1.539645
lh_cuneus,-0.019323716,2.0472816,0.0028446452,0.64243781,-0.0143065,-1.96156,-1.071115
lh_entorhinal,-0.0021300261,3.2819221,-0.00091236083,0.59534364,1.55321,0.2258275,-1.39172
lh_fusiform,-0.017030112,2.8376046,0.0012482693,0.58260848,-0.7428695,0.3122175,-1.27644
lh_inferiorparietal,-0.024745913,2.6702484,0.0023975368,0.5734756,-1.31027,-0.7305085,0.735114
lh_inferiortemporal,-0.018916417,2.9232765,-0.00032327131,0.56958681,-0.855149,0.579924,-0.832374
lh_isthmuscingulate,-0.020392161,2.38488,0.005527082,0.56886207,0.685099,0.2713875,-0.0031279535
lh_lateraloccipital,-0.015501754,2.2860091,0.002827715,0.63353879,-1.16027,-1.48288,-0.70546
lh_lateralorbitofrontal,-0.021867406,2.8190322,0.00048803801,0.55312174,0.24997465,1.1843075,-0.4149795
lh_lingual,-0.01857861,2.1498965,0.0027493821,0.62219704,-0.0899688,-1.568555,-1.480555
lh_medialorbitofrontal,-0.022853704,2.5795077,-9.587195e-05,0.53283532,0.926576,1.293735,-0.31058
lh_middletemporal,-0.018879101,3.0311961,-0.00055256017,0.55424976,-0.719064,0.568412,-0.1744315
lh_parahippocampal,-0.014441047,2.8126804,3.1540555e-05,0.56383229,1.028045,0.472546,-0.954088
lh_paracentral,-0.023460506,2.6945674,0.0054431293,0.62692362,-0.8310285,-1.16245,0.775739
lh_parsopercularis,-0.015432888,2.8255946,0.0026426445,0.55744121,-0.4543595,0.7040235,0.7603775
lh_parsorbitalis,-0.026793402,2.9460552,0.00029789693,0.56296682,0.06870005,0.9482395,0.800073
lh_parstriangularis,-0.021548118,2.7082226,0.0014408711,0.56288762,-0.3813425,0.768159,1.23142
lh_pericalcarine,-0.012402501,1.7923305,0.0022217514,0.64274381,1.071554,-2.21683,-1.299265
lh_postcentral,-0.018256111,2.2680211,0.0031219837,0.6344694,-0.0629825,-1.014481,0.437287
lh_posteriorcingulate,-0.020386747,2.5363741,0.0041711077,0.51253332,0.5762475,0.561013,0.246235
lh_precentral,-0.0063841388,2.7529613,0.0051727365,0.63113856,-0.194299,-0.927449,0.8030815
lh_precuneus,-0.024851585,2.5931064,0.0035573432,0.57430844,-1.406835,-1.03097,0.685819
lh_rostralanteriorcingulate,-0.02011129,2.871652,0.00094062809,0.48592168,1.739095,1.305985,-0.939235
lh_rostralmiddlefrontal,-0.024011701,2.5816084,0.0013375331,0.55686673,-0.852161,0.5429575,1.6928
lh_superiorfrontal,-0.020943831,2.9935002,0.0021811538,0.57548288,-1.2401,0.519407,1.90934
lh_superiorparietal,-0.022518897,2.4307949,0.0036239005,0.60910236,-1.268635,-1.7695,1.247095
lh_superiortemporal,-0.015909704,3.0203112,0.00029395399,0.57604808,-1.111815,0.643738,-0.159636
lh_supramarginal,-0.020050881,2.765288,0.0021824785,0.57457463,-0.6735805,-0.378037,1.0478195
lh_temporalpole,-0.0063399359,3.7165727,-0.0023251946,0.60038137,1.54791,0.008041,-0.979275
lh_transversetemporal,-0.018260121,2.7245492,0.0035830977,0.62182382,0.1284015,0.09821175,-0.5756295
lh_insula,-0.017649415,3.0978923,0.0008454246,0.56481912,1.43803,1.19176,-1.706965
