entrez	set	symbol
10000	SCZ_prioritised	AKT3
10120	SCZ_prioritised	ACTR1B
10336	SCZ_prioritised	PCGF3
10529	SCZ_prioritised	NEBL
10827	SCZ_prioritised	FAM114A2
11141	SCZ_prioritised	IL1RAPL1
1182	SCZ_prioritised	CLCN3
124540	SCZ_prioritised	MSI2
1316	SCZ_prioritised	KLF6
133418	SCZ_prioritised	EMB
1394	SCZ_prioritised	CRHR1
148327	SCZ_prioritised	CREB3L4
150159	SCZ_prioritised	SLC9B1
152330	SCZ_prioritised	CNTN4
1630	SCZ_prioritised	DCC
1636	SCZ_prioritised	ACE
1806	SCZ_prioritised	DPYD
199745	SCZ_prioritised	THAP8
2016	SCZ_prioritised	EMX1
203062	SCZ_prioritised	TSNARE1
22864	SCZ_prioritised	R3HDM2
22905	SCZ_prioritised	EPN2
23113	SCZ_prioritised	CUL9
23259	SCZ_prioritised	DDHD2
23451	SCZ_prioritised	SF3B1
253982	SCZ_prioritised	ASPHD1
257194	SCZ_prioritised	NEGR1
25843	SCZ_prioritised	MOB4
27257	SCZ_prioritised	LSM1
2823	SCZ_prioritised	GPM6A
283899	SCZ_prioritised	INO80E
284058	SCZ_prioritised	KANSL1
2903	SCZ_prioritised	GRIN2A
2911	SCZ_prioritised	GRM1
2923	SCZ_prioritised	PDIA3
29902	SCZ_prioritised	FAM216A
29960	SCZ_prioritised	MRM2
30010	SCZ_prioritised	NXPH1
346007	SCZ_prioritised	EYS
3661	SCZ_prioritised	IRF3
399909	SCZ_prioritised	PCNX3
4124	SCZ_prioritised	MAN2A1
4137	SCZ_prioritised	MAPT
4665	SCZ_prioritised	NAB2
473	SCZ_prioritised	RERE
488	SCZ_prioritised	ATP2A2
493856	SCZ_prioritised	CISD2
4978	SCZ_prioritised	OPCML
5045	SCZ_prioritised	FURIN
5096	SCZ_prioritised	PCCB
5142	SCZ_prioritised	PDE4B
54602	SCZ_prioritised	NDFIP2
54815	SCZ_prioritised	GATAD2A
55068	SCZ_prioritised	ENOX1
55157	SCZ_prioritised	DARS2
55552	SCZ_prioritised	ZNF823
5595	SCZ_prioritised	MAPK3
56140	SCZ_prioritised	PCDHA8
56146	SCZ_prioritised	PCDHA2
5685	SCZ_prioritised	PSMA4
56924	SCZ_prioritised	PAK6
57282	SCZ_prioritised	SLC4A10
57476	SCZ_prioritised	GRAMD1B
57502	SCZ_prioritised	NLGN4X
57670	SCZ_prioritised	KIAA1549
5789	SCZ_prioritised	PTPRD
64116	SCZ_prioritised	SLC39A8
64219	SCZ_prioritised	PJA1
64409	SCZ_prioritised	GALNT17
6444	SCZ_prioritised	SGCD
64478	SCZ_prioritised	CSMD1
64897	SCZ_prioritised	C12orf43
64919	SCZ_prioritised	BCL11B
665	SCZ_prioritised	BNIP3L
6671	SCZ_prioritised	SP4
7223	SCZ_prioritised	TRPC4
7296	SCZ_prioritised	TXNRD1
775	SCZ_prioritised	CACNA1C
79918	SCZ_prioritised	SETD6
79968	SCZ_prioritised	WDR76
80145	SCZ_prioritised	THOC7
80179	SCZ_prioritised	MYO19
81610	SCZ_prioritised	FAM83D
81888	SCZ_prioritised	HYI
8204	SCZ_prioritised	NRIP1
83596	SCZ_prioritised	BCL2L12
83698	SCZ_prioritised	CALN1
8379	SCZ_prioritised	MAD1L1
83857	SCZ_prioritised	TMTC1
83943	SCZ_prioritised	IMMP2L
84059	SCZ_prioritised	ADGRV1
84153	SCZ_prioritised	RNASEH2C
85443	SCZ_prioritised	DCLK3
90485	SCZ_prioritised	ZNF835
9093	SCZ_prioritised	DNAJA3
91752	SCZ_prioritised	ZNF804A
9228	SCZ_prioritised	DLGAP2
94030	SCZ_prioritised	LRRC4B
9420	SCZ_prioritised	CYP7B1
9568	SCZ_prioritised	GABBR2
9651	SCZ_prioritised	PLCH2
9671	SCZ_prioritised	WSCD2
9776	SCZ_prioritised	ATG13
9892	SCZ_prioritised	SNAP91
10000	SCZ_prioritised_pc	AKT3
10120	SCZ_prioritised_pc	ACTR1B
10336	SCZ_prioritised_pc	PCGF3
10529	SCZ_prioritised_pc	NEBL
10827	SCZ_prioritised_pc	FAM114A2
11141	SCZ_prioritised_pc	IL1RAPL1
1182	SCZ_prioritised_pc	CLCN3
124540	SCZ_prioritised_pc	MSI2
1316	SCZ_prioritised_pc	KLF6
