label,CT,CT_delta,MT,MT_delta,PLS2
lh_bankssts,2.82,-17.53,0.87,5.04,-0.0
lh_caudalanteriorcingulate,2.54,-11.49,0.9,2.1,-0.04
lh_caudalmiddlefrontal,2.91,-16.6,0.89,4.1,0.08
lh_cuneus,2.36,-14.54,0.98,2.47,0.01
lh_entorhinal,3.21,-4.48,0.83,3.96,-0.16
lh_frontalpole,2.97,-24.64,0.89,4.85,-0.02
lh_fusiform,2.88,-18.78,0.88,3.88,-0.04
lh_inferiorparietal,2.79,-17.57,0.89,3.89,0.02
lh_inferiortemporal,3.03,-18.95,0.84,4.3,-0.01
lh_insula,3.39,-17.48,0.91,0.91,-0.04
lh_isthmuscingulate,2.6,-7.23,0.95,2.31,-0.05
lh_lateraloccipital,2.49,-15.21,0.97,2.65,0.02
lh_lateralorbitofrontal,2.88,-22.37,0.87,5.85,-0.01
lh_lingual,2.45,-14.17,0.97,1.73,-0.06
lh_medialorbitofrontal,2.71,-18.59,0.89,5.04,0.03
lh_middletemporal,3.2,-19.9,0.82,5.15,-0.0
lh_paracentral,2.73,-20.94,0.99,3.33,-0.03
lh_parahippocampal,2.64,-11.18,0.9,3.21,-0.16
lh_parsopercularis,2.89,-18.37,0.86,4.41,0.03
lh_parsorbitalis,2.97,-28.56,0.84,7.2,0.06
lh_parstriangularis,2.84,-23.03,0.86,5.7,0.1
lh_pericalcarine,2.17,-12.29,0.98,0.95,-0.08
lh_postcentral,2.37,-13.77,0.96,2.81,-0.01
lh_posteriorcingulate,2.57,-13.27,0.91,2.51,-0.01
lh_precentral,2.88,-14.8,0.95,3.85,0.0
lh_precuneus,2.65,-16.16,0.92,2.81,0.01
lh_rostralanteriorcingulate,2.79,-10.67,0.92,0.75,-0.16
lh_rostralmiddlefrontal,2.73,-21.02,0.87,4.96,0.08
lh_superiorfrontal,3.1,-22.86,0.87,4.12,0.01
lh_superiorparietal,2.51,-17.2,0.94,3.03,0.02
lh_superiortemporal,3.03,-13.87,0.86,5.37,0.0
lh_supramarginal,2.9,-17.15,0.87,4.15,0.02
lh_temporalpole,3.51,-1.59,0.81,0.6,-0.1
lh_transversetemporal,2.72,-9.08,0.97,5.33,-0.01
rh_bankssts,2.86,-15.15,0.87,5.32,0.03
rh_caudalanteriorcingulate,2.63,-10.61,0.89,1.34,-0.04
rh_caudalmiddlefrontal,2.91,-16.9,0.89,3.92,0.08
rh_cuneus,2.35,-15.26,0.99,3.19,0.01
rh_entorhinal,3.27,8.21,0.83,2.92,-0.16
rh_frontalpole,3.09,-30.33,0.87,5.6,0.11
rh_fusiform,2.83,-13.8,0.9,3.51,-0.04
rh_inferiorparietal,2.81,-19.47,0.89,4.62,0.02
rh_inferiortemporal,3.03,-19.57,0.85,4.96,-0.01
rh_insula,3.4,-15.03,0.9,0.21,-0.01
rh_isthmuscingulate,2.57,-5.16,0.97,2.68,-0.09
rh_lateraloccipital,2.53,-13.69,0.98,2.55,-0.01
rh_lateralorbitofrontal,2.86,-24.01,0.87,6.67,0.07
rh_lingual,2.48,-13.58,0.98,1.88,-0.04
rh_medialorbitofrontal,2.83,-22.92,0.88,5.02,0.04
rh_middletemporal,3.22,-18.8,0.83,5.38,-0.0
rh_paracentral,2.74,-17.38,0.99,2.92,-0.03
rh_parahippocampal,2.55,-2.28,0.92,2.83,-0.16
rh_parsopercularis,2.9,-15.73,0.85,4.41,0.09
rh_parsorbitalis,2.95,-24.29,0.84,5.7,0.06
rh_parstriangularis,2.83,-20.03,0.86,5.2,0.09
rh_pericalcarine,2.2,-12.16,0.99,2.01,-0.08
rh_postcentral,2.31,-11.19,0.96,3.04,-0.02
rh_posteriorcingulate,2.6,-12.83,0.91,2.06,-0.03
rh_precentral,2.84,-12.26,0.95,4.37,0.0
rh_precuneus,2.61,-14.49,0.93,2.81,-0.0
rh_rostralanteriorcingulate,2.92,-10.43,0.89,1.34,-0.16
rh_rostralmiddlefrontal,2.72,-18.85,0.86,5.01,0.08
rh_superiorfrontal,3.12,-20.41,0.86,3.79,0.01
rh_superiorparietal,2.5,-16.64,0.95,3.03,0.01
rh_superiortemporal,3.08,-12.23,0.86,4.98,-0.01
rh_supramarginal,2.9,-18.32,0.87,4.64,0.0
rh_temporalpole,3.56,12.12,0.83,2.31,-0.14
rh_transversetemporal,2.83,-14.61,0.96,6.72,-0.01
