label,CT,CT_delta,MT,MT_delta,PLS2
lh_bankssts,2.84,-16.34,0.87,5.18,0.015
lh_caudalanteriorcingulate,2.585,-11.05,0.895,1.7200000000000002,-0.04
lh_caudalmiddlefrontal,2.91,-16.75,0.89,4.01,0.08
lh_cuneus,2.355,-14.899999999999999,0.985,2.83,0.01
lh_entorhinal,3.24,1.8650000000000002,0.83,3.44,-0.16
lh_frontalpole,3.0300000000000002,-27.485,0.88,5.225,0.045
lh_fusiform,2.855,-16.29,0.89,3.695,-0.04
lh_inferiorparietal,2.8,-18.52,0.89,4.255,0.02
lh_inferiortemporal,3.03,-19.259999999999998,0.845,4.63,-0.01
lh_insula,3.395,-16.255,0.905,0.56,-0.025
lh_isthmuscingulate,2.585,-6.195,0.96,2.495,-0.07
lh_lateraloccipital,2.51,-14.45,0.975,2.5999999999999996,0.005
lh_lateralorbitofrontal,2.87,-23.19,0.87,6.26,0.030000000000000002
lh_lingual,2.465,-13.875,0.975,1.805,-0.05
lh_medialorbitofrontal,2.77,-20.755000000000003,0.885,5.029999999999999,0.035
lh_middletemporal,3.21,-19.35,0.825,5.265000000000001,0.0
lh_paracentral,2.7350000000000003,-19.16,0.99,3.125,-0.03
lh_parahippocampal,2.5949999999999998,-6.7299999999999995,0.91,3.02,-0.16
lh_parsopercularis,2.895,-17.05,0.855,4.41,0.06
lh_parsorbitalis,2.96,-26.424999999999997,0.84,6.45,0.06
lh_parstriangularis,2.835,-21.53,0.86,5.45,0.095
lh_pericalcarine,2.185,-12.225,0.985,1.48,-0.08
lh_postcentral,2.34,-12.48,0.96,2.925,-0.015
lh_posteriorcingulate,2.585,-13.05,0.91,2.285,-0.02
lh_precentral,2.86,-13.530000000000001,0.95,4.11,0.0
lh_precuneus,2.63,-15.325,0.925,2.81,0.005
lh_rostralanteriorcingulate,2.855,-10.55,0.905,1.045,-0.16
lh_rostralmiddlefrontal,2.725,-19.935000000000002,0.865,4.984999999999999,0.08
lh_superiorfrontal,3.1100000000000003,-21.634999999999998,0.865,3.955,0.01
lh_superiorparietal,2.505,-16.92,0.945,3.03,0.015
lh_superiortemporal,3.0549999999999997,-13.05,0.86,5.175000000000001,-0.005
lh_supramarginal,2.9,-17.735,0.87,4.395,0.01
lh_temporalpole,3.535,5.265,0.8200000000000001,1.455,-0.12000000000000001
lh_transversetemporal,2.7750000000000004,-11.844999999999999,0.965,6.025,-0.01
