gene,gene_original,PLS1_z,PLS2_z
TESPA1,KIAA0748,-0.115669,15.843553
EGFL7,EGFL7,-1.963822,13.70274
SLCO2A1,SLCO2A1,-4.267167,13.038159
TPBG,TPBG,-1.833729,12.650265
CABP1,CABP1,7.359089,12.426427
TEX29,C13orf16,-1.061962,12.149509
SUSD5,SUSD5,1.6245,12.129541
GALNT9,GALNT9,-4.508329,12.099846
MKX,MKX,2.653333,11.952104
OR14I1,OR14I1,-10.464647,11.923733
RASGRF2,RASGRF2,-7.506855,11.748356
TNNT2,TNNT2,-1.835456,11.487083
LRRC8B,LRRC8B,-7.044638,11.317886
EPHX4,EPHX4,2.256574,11.23037
PRSS16,PRSS16,3.032398,11.124224
TMEM81,TMEM81,6.590751,11.090485
MUM1L1,MUM1L1,-12.414204,11.031996
MCHR2,MCHR2,-5.563072,10.972877
PREP,PREP,3.731291,10.949119
KIF17,KIF17,-8.025309,10.818789
UMODL1-AS1,C21orf128,-4.749405,10.770482
NETO2,NETO2,-10.636788,10.767552
STEAP1,STEAP1,-7.600028,10.632355
HR,HR,11.863478,10.623976
GNG13,GNG13,-1.434859,10.52651
AC112641.2,AC112641.2,-6.460028,10.48269
KMO,KMO,0.943971,10.378902
KCNC2,KCNC2,-1.992203,10.373553
C11orf87,C11orf87,-2.018699,10.330351
STARD4,STARD4,-3.524785,10.323278
HAPLN4,HAPLN4,7.297254,10.319532
MEDAG,C13orf33,-6.940743,10.286208
MAPK13,MAPK13,-8.011102,10.225995
FMN1,FMN1,8.040509,10.197183
MIR7-3HG,MIR7-3HG,-13.343287,10.185543
CDH18,CDH18,-3.49782,10.046055
FBXO40,FBXO40,-3.606517,9.988826
SERTAD4,SERTAD4,12.757039,9.983949
NUAK1,NUAK1,4.040563,9.973845
CCK,CCK,-7.682714,9.945767
CASQ1,CASQ1,-7.490995,9.841008
VSTM2L,VSTM2L,-10.704681,9.837863
CA10,CA10,-11.451795,9.828937
CRH,CRH,-5.564513,9.800172
OLFM3,OLFM3,-8.424765,9.791282
AC005551.1,AC005551.1,-7.385208,9.788566
CRLF1,CRLF1,-10.606917,9.773011
FAM234B,KIAA1467,-3.906505,9.716101
RARB,RARB,1.052407,9.651901
UBXN10,UBXN10,-0.156939,9.611108
WDR24,WDR24,-5.063878,9.597065
IPCEF1,IPCEF1,1.745121,9.582809
C21orf110,C21orf110,-13.343845,9.520014
ATRNL1,ATRNL1,7.594864,9.492644
KCNJ12,KCNJ12,-6.903024,9.49088
SLCO4C1,SLCO4C1,-11.032809,9.481345
RTP1,RTP1,-11.435171,9.378046
STEAP2,STEAP2,2.729658,9.352291
PVALB,PVALB,10.977398,9.350495
LOC646627,LOC646627,-14.683954,9.347686
KCNS1,KCNS1,9.371047,9.343298
FREM3,FREM3,-10.669391,9.311308
SPON2,SPON2,-9.651805,9.295471
SHD,SHD,9.427103,9.275282
DBNDD1,DBNDD1,-4.184009,9.263956
LGI3,LGI3,6.540731,9.257406
OPN3,OPN3,3.704679,9.233019
ASGR2,ASGR2,-3.48653,9.220808
RGS4,RGS4,-4.9463,9.213911
PDE6H,PDE6H,-7.415653,9.194481
PKP3,PKP3,-9.890237,9.171578
MCOLN1,MCOLN1,-2.931876,9.164371
KRT5,KRT5,-5.202191,9.150584
LAMB3,LAMB3,-3.125193,9.139315
CCDC110,CCDC110,-8.453079,9.135038
BAIAP2L2,BAIAP2L2,-7.795463,9.103311
KCNJ11,KCNJ11,5.293028,9.096423
HERC6,HERC6,3.279047,9.063608
MYO15A,MYO15A,6.503071,9.052977
PRAP1,PRAP1,-8.348906,9.050582
FBLN7,FBLN7,11.209149,9.021825
LOC646548,LOC646548,5.263032,8.976737
NAT6,NAT6,-6.1799,8.964391
ABTB1,ABTB1,4.688778,8.952218
SYCE1,SYCE1,-7.265515,8.937924
LDLR,LDLR,-3.486127,8.93289
CERS6,LASS6,-9.437779,8.932713
SLC39A10,SLC39A10,-10.021024,8.92432
CLPB,CLPB,-10.812202,8.894247
RTKN2,RTKN2,9.301337,8.890177
PRPS2,PRPS2,0.169684,8.842374
ADPRHL1,ADPRHL1,3.751423,8.815645
SPRN,SPRN,-10.969305,8.792844
CRYBB1,CRYBB1,-2.597217,8.787702
ABHD12B,ABHD12B,-6.865631,8.764443
GMPPA,GMPPA,-8.074673,8.743091
GNB1L,GNB1L,-9.815233,8.683549
NGB,NGB,-4.639048,8.670331
CDCA5,CDCA5,-3.299866,8.665746
RHEBL1,RHEBL1,-10.367709,8.663375
NRGN,NRGN,-0.368091,8.657117
AC079341.1,AC079341.1,-0.293266,8.645039
CCDC85A,CCDC85A,-6.952613,8.620669
ACTN2,ACTN2,-6.945264,8.573078
WNT7A,WNT7A,-6.41809,8.57207
FAM162B,FAM162B,-0.02401,8.562301
SOWAHB,ANKRD56,-2.395525,8.552385
ONECUT2,ONECUT2,4.06371,8.541311
PLXDC1,PLXDC1,9.175545,8.526452
TUBGCP4,TUBGCP4,-0.167218,8.522935
TPST2,TPST2,1.24138,8.476209
TWIST2,TWIST2,-11.734687,8.464471
CHIT1,CHIT1,-7.845725,8.45433
CACNG2,CACNG2,5.122723,8.440417
CAMKK2,CAMKK2,4.669318,8.431436
AVPI1,AVPI1,5.161638,8.408184
CPNE8,CPNE8,-6.808019,8.406342
HTR1E,HTR1E,-5.691178,8.36639
NOS2,NOS2,-0.468364,8.341768
PHLDA2,PHLDA2,-3.552325,8.302757
FRMPD2,FRMPD2,-14.258261,8.289692
GJD4,GJD4,-2.740523,8.282332
LOC100294469,LOC100294469,-1.895057,8.27545
ABCC12,ABCC12,-8.874858,8.2649
KCNS2,KCNS2,6.780818,8.260397
NPY5R,NPY5R,-11.985631,8.259324
ARHGDIG,ARHGDIG,-12.864107,8.248587
SND1-IT1,SND1-IT1,2.407351,8.241482
DENND2D,DENND2D,-2.341094,8.182377
AP005433.1,AP005433.1,-4.544742,8.180772
KREMEN2,KREMEN2,-9.375379,8.179381
IER5L,IER5L,4.73538,8.153727
RNF26,RNF26,1.264129,8.132264
GABRA1,GABRA1,12.414284,8.129075
FAM75A4,FAM75A4,-6.299868,8.128706
PKDCC,SGK493,0.431802,8.102474
STBD1,STBD1,-9.426199,8.093636
