label,dCT,CT,dT1T2,T1T2,slopePC1,slopePC2,slopePC3
lh_bankssts,-0.022835845,2.6807007,0.0019358017,0.54977569,0.0630906,0.243027,-0.0945719
lh_caudalanteriorcingulate,-0.01865284,2.6054719,0.0016278696,0.46968391,1.82088,1.02417,-0.569194
lh_caudalmiddlefrontal,-0.01335864,2.8350649,0.0042567344,0.58055684,-1.01428,-0.178299,1.55006
lh_cuneus,-0.019718853,2.0336678,0.003015448,0.63997908,0.100206,-1.69618,-1.34708
lh_entorhinal,-0.001837224,3.2306185,-0.00093281977,0.5915289,1.45963,0.279582,-1.33105
lh_frontalpole,-0.031392282,3.0066728,0.0003668897,0.56852268,1.45802,0.815626,0.645772
lh_fusiform,-0.017502216,2.8332932,0.0014516127,0.58119329,-0.75722,0.259921,-1.04185
lh_inferiorparietal,-0.026734505,2.6605323,0.0025558522,0.5715835,-1.28481,-0.779185,0.555205
lh_inferiortemporal,-0.018956375,2.9225687,-0.00011407757,0.5647267,-0.84449,0.622429,-0.810939
lh_insula,-0.017033576,3.0754585,0.00099336976,0.56165635,1.35002,1.25704,-1.65828
lh_isthmuscingulate,-0.020676064,2.3885559,0.0056429133,0.56686033,0.671744,0.317427,0.0074499
lh_lateraloccipital,-0.015994388,2.2548715,0.0029945904,0.63451091,-1.16668,-1.50288,-0.775974
lh_lateralorbitofrontal,-0.023020231,2.8472577,0.00030919171,0.54982542,0.181775,0.845616,-0.170355
lh_lingual,-0.018488324,2.1427859,0.0029984808,0.62071048,-0.102042,-1.37902,-1.65424
lh_medialorbitofrontal,-0.021273122,2.586967,-0.00025190398,0.53781293,1.15412,1.30036,-0.55665
lh_middletemporal,-0.018658302,3.0326057,-0.0004863143,0.55220834,-0.666519,0.549164,-0.355401
lh_paracentral,-0.02492559,2.7084386,0.0055038925,0.6272887,-0.983966,-1.27372,0.860069
lh_parahippocampal,-0.014733271,2.8513152,5.6560508e-05,0.56745144,1.00504,0.465242,-0.783285
lh_parsopercularis,-0.014754682,2.8353648,0.0026827983,0.55623577,-0.545974,0.494283,0.711775
lh_parsorbitalis,-0.0269466,2.967397,5.2554995e-05,0.56156205,0.0351603,0.77184,0.730351
lh_parstriangularis,-0.021159183,2.7257643,0.001416879,0.56078512,-0.506699,0.526608,1.09685
lh_pericalcarine,-0.012538665,1.8003332,0.0025595412,0.64179136,0.656108,-1.99197,-1.54062
lh_postcentral,-0.018716894,2.2850489,0.0032707292,0.63217513,-0.302325,-1.0396,0.141462
lh_posteriorcingulate,-0.020779731,2.5487087,0.0042637462,0.51008662,0.689108,0.606706,0.308786
lh_precentral,-0.0058571097,2.7783879,0.0054023918,0.62795594,-0.337263,-1.09512,0.890928
lh_precuneus,-0.025782571,2.5952239,0.0035916474,0.57085838,-1.46365,-1.1331,0.575786
lh_rostralanteriorcingulate,-0.019144992,2.8946571,0.00069808185,0.48706836,1.6225,1.39762,-1.09047
lh_rostralmiddlefrontal,-0.023082593,2.613414,0.0012906299,0.55386043,-1.04143,0.336582,1.60062
