GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
84871	11.917	11.352	NA	NA
8492	10.543	10.024	9.7174	0.428663
198437	10.473	9.9949	9.5003	0.406995
1131	10.512	9.9031	9.3272	0.727577
9871	10.071	9.8914	9.6683	0.505867
147179	10.351	9.855	9.4981	0.613824
144402	9.7198	9.7225	9.683	0.720676
25758	10.034	9.5745	9.1105	0.793104
57670	9.7372	9.4079	8.9727	0.710271
3298	9.4326	9.2544	NA	NA
81706	9.2811	9.084	8.8704	0.699159
114569	9.1054	8.8295	8.4697	0.849488
80059	8.8907	8.8006	8.6652	0.545896
146923	9.0089	8.7622	8.3344	NA
84539	8.7669	8.7376	8.5272	0.623357
885	8.9127	8.734	8.2213	0.641134
9734	8.8034	8.7033	8.598	0.419471
9693	8.95	8.6924	8.3498	0.82567
64410	8.8366	8.6728	8.4391	0.309094
284422	8.6514	8.598	8.4492	0.670669
3768	8.5749	8.5299	8.163	0.45588
7163	8.6909	8.4366	8.0252	0.497431
79442	8.695	8.4278	8.1905	0.312749
91522	8.4054	8.4208	8.2576	0.399335
400745	8.4042	8.3686	8.2349	0.663015
1428	8.4489	8.3334	8.3627	0.381071
116931	8.8691	8.2882	NA	NA
167227	8.5751	8.2347	7.7393	0.499873
338557	8.1768	8.2269	8.4052	0.246423
26047	8.4122	8.2179	8.0639	0.531432
57586	8.5409	8.1415	7.8634	0.679438
4758	8.4747	8.1354	NA	NA
353189	8.4083	8.1116	7.6007	0.469612
10555	8.3115	8.0518	7.904	0.353191
114795	8.2763	8.0508	7.6179	NA
127700	8.1311	8.0181	NA	NA
4058	8.1904	7.9444	7.7148	0.708409
22898	8.0912	7.9339	7.6272	0.405072
93426	8.3472	7.9267	NA	0.642067
201780	8.0211	7.9116	7.8867	0.630263
55689	8.1309	7.8866	7.6152	NA
783	8.1251	7.886	7.7049	0.586657
8460	8.152	7.8376	7.3549	0.314301
1303	7.9428	7.8346	7.5931	0.484871
11187	8.1192	7.8302	7.4045	0.515056
3751	7.9439	7.8222	NA	NA
59348	7.7595	7.779	7.9892	0.115225
503542	7.8311	7.7388	7.5485	0.528191
56990	8.1769	7.6905	7.0096	0.414563
340348	7.6814	7.6743	7.4844	0.244941
51322	7.9488	7.6385	NA	0.450272
1016	7.7435	7.62	7.4291	0.558543
27154	7.7289	7.5968	7.398	NA
9348	7.9024	7.5923	7.2945	0.434863
3718	7.8357	7.5697	NA	NA
10865	7.5996	7.5594	7.4865	0.612983
388272	7.5671	7.5248	7.4399	0.395247
54584	7.8412	7.5072	7.0141	0.635695
360023	7.8826	7.5022	NA	NA
55884	7.6878	7.4755	7.2849	0.590215
259173	7.7324	7.4715	7.2271	0.444439
345079	7.5587	7.4331	7.2963	0.669677
4751	7.4153	7.4184	7.5596	0.417382
151556	7.5466	7.4087	7.2336	0.62296
81831	7.5969	7.3997	6.9136	0.484647
389812	7.5063	7.3718	7.1636	0.779631
4889	7.4849	7.3358	7.0893	0.536141
11156	7.5104	7.3202	NA	0.212025
10217	7.6017	7.2952	NA	NA
84303	7.6299	7.2862	6.4529	0.174155
1392	7.3887	7.2855	7.0717	0.532854
11163	7.4618	7.2791	6.8963	0.330965
151195	7.3116	7.2737	7.1616	0.37014
9891	7.2026	7.2594	7.3042	0.542852
23035	7.6041	7.2542	NA	0.470119
118427	7.397	7.2511	6.938	0.713827
23252	7.3272	7.2382	NA	NA
5295	7.5956	7.2285	6.9779	0.710253
83643	7.4277	7.2218	6.7906	0.412239
4659	7.3362	7.2125	6.9076	0.548444
1534	7.3248	7.2115	7.0479	0.394165
4352	7.408	7.2047	6.7862	0.384787
9666	7.2967	7.2046	6.9722	0.234804
