gene	thinning_Z_ds25	U_ds25_thinning	rank_ds25	decile_ds25
AGBL4	11.352	0.025906	1	10
PRSS12	10.024	0.025511	2	10
LKAAEAR1	9.9949	0.025836	3	10
CHRM3	9.9031	0.023781	4	10
SEC24D	9.8914	0.022797	5	10
WIPF2	9.855	0.024554	6	10
CPNE8	9.7225	0.026471	7	10
KIAA1549L	9.5745	0.02382	8	10
KIAA1549	9.4079	0.025694	9	10
HSF2	9.2544	0.023655	10	10
PPP1R14C	9.084	0.021408	11	10
MAL2	8.8295	0.022566	12	10
LRRTM4	8.8006	0.022692	13	10
RUNDC1	8.7622	0.023873	14	10
MCHR2	8.7376	0.022856	15	10
CCK	8.734	0.023897	16	10
HDAC9	8.7033	0.0223	17	10
RAPGEF2	8.6924	0.02204	18	10
KLHL25	8.6728	0.022735	19	10
SMIM24	8.598	0.021858	20	10
KCNJ12	8.5299	0.021887	21	10
TPD52	8.4366	0.022582	22	10
LRRC2	8.4278	0.015961	23	10
COL23A1	8.4208	0.023057	24	10
SH2D5	8.3686	0.02207	25	10
CRYM	8.3334	0.01707	26	10
GRIPAP1	8.3229	0.026261	27	10
FAM133A	8.3014	0.021563	28	10
MED12L	8.2882	0.024559	29	10
DCP2	8.2347	0.018386	30	10
FFAR4	8.2269	0.015346	31	10
CNTNAP2	8.2179	0.023754	32	10
UMODL1-AS1	8.1609	0.022822	33	10
SYT13	8.1415	0.02383	34	10
NEU1	8.1354	0.022333	35	10
SLCO4C1	8.1116	0.019887	36	10
AGPAT2	8.0518	0.017983	37	10
TMEM132B	8.0508	0.021514	38	10
OSCP1	8.0181	0.02081	39	10
LTK	7.9444	0.022063	40	10
DENND3	7.9339	0.023349	41	10
SYCE1	7.9267	0.022419	42	10
SLC10A4	7.9116	0.022836	43	10
YEATS2	7.8866	0.022915	44	10
CACNB2	7.886	0.024498	45	10
TPST1	7.8376	0.016356	46	10
COL12A1	7.8346	0.023755	47	10
PKP3	7.8302	0.022011	48	10
KCND2	7.8222	0.022718	49	10
ZNF350	7.779	0.01664	50	10
SPRN	7.7388	0.021038	51	10
CDC42SE2	7.6905	0.013092	52	10
TSPAN33	7.6743	0.018666	53	10
TRIM53AP	7.6734	0.022965	54	10
WAC	7.6385	0.020947	55	10
CDH18	7.62	0.020567	56	10
BRPF3	7.5968	0.022634	57	10
NDST3	7.5923	0.024748	58	10
JAK3	7.5697	0.024933	59	10
ARID5A	7.5594	0.02302	60	10
C12orf4	7.5547	0.022638	61	10
C16orf87	7.5248	0.023255	62	10
GNB1L	7.5072	0.022173	63	10
ZBTB41	7.5022	0.020945	64	10
WSB2	7.4755	0.018034	65	10
ALS2CL	7.4715	0.023245	66	10
RARA-AS1	7.4466	0.020042	67	10
SOWAHB	7.4331	0.02059	68	10
NEK2	7.4184	0.012401	69	10
GPR155	7.4087	0.023265	70	10
NETO2	7.3997	0.020281	71	10
LCN15	7.3718	0.021905	72	10
NPY5R	7.3358	0.020229	73	10
PTP4A3	7.3202	0.020775	74	10
CTDSPL	7.2952	0.023215	75	10
CHCHD6	7.2862	0.0085258	76	10
CRH	7.2855	0.023557	77	10
NUDT4	7.2791	0.019806	78	10
CCNYL1	7.2737	0.019752	79	10
NUAK1	7.2594	0.017345	80	10
PHLPP2	7.2542	0.022395	81	10
OLFM3	7.2511	0.021433	82	10
OTUD3	7.2382	0.021008	83	10
PIK3R1	7.2285	0.022076	84	10
CCDC3	7.2218	0.021563	85	10
PPP1R12A	7.2125	0.019198	86	10
CYB561	7.2115	0.017899	87	10
MPL	7.2047	0.018036	88	10
DZIP3	7.2046	0.018677	89	10
DBH	7.1708	0.024165	90	10
CERS6	7.1258	0.022142	91	10
PRDM10	7.1095	0.022503	92	10
ZNF616	7.0936	0.019839	93	10
ZNF202	7.0924	0.022024	94	10
PKD2L1	7.0877	0.022242	95	10
MTMR9	7.0847	0.0215	96	10
STEAP1	7.0814	0.02255	97	10
PIP4P1	7.0716	0.022569	98	10
ABCC12	7.0709	0.019966	99	10
GALNT17	7.0486	0.022328	100	10
SIDT1	7.0333	0.019118	101	10
LAMB3	7.0248	0.02375	102	10
FRMD6	7.0004	0.020173	103	10
CDC6	6.9839	0.020646	104	10
SATB2	6.9741	0.018459	105	10
MEA1	6.967	0.014442	106	10
MARC1	6.9608	0.017475	107	10
CALHM2	6.9401	0.01885	108	10
KCNT2	6.9182	0.021738	109	10
KLHDC9	6.9114	0.023605	110	10
THOP1	6.9068	0.023075	111	10
ATG7	6.9053	0.020184	112	10
TYRP1	6.9	0.021372	113	10
TRABD2A	6.8956	0.023077	114	10
SYP	6.8866	0.021641	115	10
SV2B	6.878	0.023571	116	10
CTXN1	6.8726	0.0090485	117	10
MAPK4	6.8698	0.021532	118	10
OPCML	6.8677	0.023884	119	10
KCNV1	6.8657	0.021091	120	10
XK	6.8544	0.020397	121	10
TPK1	6.8515	0.025784	122	10
FXYD6	6.8434	0.01486	123	10
GNG13	6.8344	0.019251	124	10
SUV39H1	6.8296	0.02064	125	10
BORCS5	6.821	0.020442	126	10
DROSHA	6.8103	0.019437	127	10
NMNAT2	6.8011	0.021606	128	10
ITPKA	6.7921	0.019508	129	10
SLC9A6	6.7902	0.021473	130	10
DPF1	6.7866	0.017717	131	10
NGB	6.7719	0.025065	132	10
CAMK1G	6.7649	0.02423	133	10
C5orf30	6.7646	0.022724	134	10
CCKBR	6.7617	0.018673	135	10
CDH10	6.7527	0.013302	136	10
GPR150	6.7493	0.020453	137	10
ZNF681	6.7381	0.024495	138	10
GRASP	6.7264	0.022242	139	10
PCDH8	6.7141	0.019152	140	10
SHC2	6.6739	0.016404	141	10
KMO	6.6566	0.02445	142	10
UBXN10	6.6446	0.023277	143	10
ASB2	6.6371	0.02285	144	10
TRAM2	6.6349	0.018469	145	10
CBLN1	6.6337	0.018718	146	10
ADAR	6.6301	0.018409	147	10
RAD51D	6.6299	0.020877	148	10
RAB26	6.6283	0.022436	149	10
CA4	6.6227	0.019909	150	10
C11orf87	6.6214	0.019974	151	10
SERPINF1	6.6131	0.018787	152	10
TMED8	6.6041	0.020251	153	10
PLXNA1	6.5969	0.017617	154	10
AQP9	6.5903	0.020224	155	10
HTR7P1	6.586	0.0098495	156	10
HRH1	6.5643	0.015424	157	10
KIF17	6.5638	0.022163	158	10
PPP6C	6.5626	0.014515	159	10
CDYL2	6.5553	0.02075	160	10
TMEM178B	6.5385	0.01926	161	10
ANKRD30B	6.5368	0.021127	162	10
SERPINI1	6.5339	0.022617	163	10
IGSF3	6.5256	0.024693	164	10
NECAB1	6.517	0.021311	165	10
OVOL2	6.5084	0.018752	166	10
SFTPD	6.5055	0.012539	167	10
CRIP2	6.4701	0.011332	168	10
EIF4ENIF1	6.4464	0.020733	169	10
C3orf80	6.4454	0.023151	170	10
SLC26A4-AS1	6.4286	0.010107	171	10
HTR3B	6.4249	0.020907	172	10
RASD1	6.4015	0.022246	173	10
AAGAB	6.4005	0.022626	174	10
GPD1L	6.3998	0.019754	175	10
GYG2P1	6.3948	0.019813	176	10
UBE2D3	6.3835	0.019851	177	10
SMARCAL1	6.3822	0.019948	178	10
LAMB1	6.3785	0.020927	179	10
CDH9	6.378	0.016147	180	10
GRAMD4	6.3711	0.013536	181	10
RIMS3	6.368	0.015761	182	10
KCNG3	6.3651	0.014625	183	10
GPR162	6.3564	0.015386	184	10
NFKBIE	6.3484	0.013695	185	10
PDE1B	6.3461	0.020151	186	10
CCDC68	6.3277	0.018277	187	10
ZNF780A	6.3163	0.022077	188	10
RNGTT	6.3141	0.016726	189	10
CHL1	6.3105	0.017987	190	10
ARHGAP20	6.3078	0.020835	191	10
FAM102B	6.3052	0.015552	192	10
BBS12	6.3048	0.01868	193	10
FGFR1OP2	6.3012	0.017784	194	10
MUM1L1	6.2989	0.018356	195	10
TOX	6.2976	0.023512	196	10
LYPD6B	6.2833	0.021443	197	10
GGCT	6.2639	0.0089645	198	10
DPP10	6.2587	0.014628	199	10
HS6ST1	6.2506	0.020546	200	10
BICC1	6.2231	0.021608	201	10
LRRC73	6.221	0.014506	202	10
PANX1	6.2188	0.020498	203	10
GLRA3	6.195	0.014589	204	10
E2F3	6.1908	0.015181	205	10
DCUN1D3	6.188	0.019985	206	10
ST6GALNAC5	6.1825	0.012708	207	10
CDC40	6.1694	0.022472	208	10
UBR1	6.1669	0.021053	209	10
LINC00507	6.1667	0.017519	210	10
PLEKHG5	6.1612	0.021941	211	10
SPICE1	6.1475	0.016218	212	10
RGS4	6.1261	0.018568	213	10
PDCD2L	6.1185	0.013349	214	10
OPRM1	6.1135	0.013944	215	10
ADAMTS3	6.1063	0.016385	216	10
LOC440040	6.1044	0.021142	217	10
CA10	6.1027	0.015507	218	10
CYP2E1	6.1001	0.021208	219	10
IL1RAPL2	6.0995	0.024204	220	10
PRTN3	6.0877	0.018312	221	10
TAPT1	6.0832	0.015508	222	10
FAM234B	6.0723	0.020046	223	10
RASGRF2	6.072	0.022409	224	10
RHEBL1	6.0624	0.019895	225	10
CASQ1	6.0557	0.021974	226	10
MGEA5	6.0555	0.021698	227	10
CMAHP	6.0533	0.023754	228	10
SMKR1	6.0501	0.015535	229	10
WAC-AS1	6.0437	0.022797	230	10
KCNIP4	6.0424	0.021342	231	10
ENOX1	6.04	0.015377	232	10
LINC00672	6.0274	0.017142	233	10
ZNF529	6.0259	0.020832	234	10
PGRMC2	6.0125	0.018563	235	10
KLHL12	6.0118	0.01285	236	10
PCDH10	5.9938	0.020642	237	10
NMU	5.9926	0.021326	238	10
