label,C3,tier,normative_thinning_um_yr
lh_1,-0.94725,C3-low,16.335
lh_10r,1.1029,C3-high,31.446
lh_10v,0.16848,C3-mid,30.589
lh_11l,0.85056,C3-mid,32.523
lh_13l,0.83142,C3-mid,24.128
lh_2,0.60107,C3-mid,20.779
lh_23c,-0.10236,C3-mid,25.684
lh_23d,0.23169,C3-mid,32.054
lh_24dd,-1.2313,C3-low,18.125
lh_24dv,-1.0254,C3-low,20.615
lh_25,-1.5099,C3-low,24.578
lh_31a,0.86643,C3-mid,28.414
lh_31pd,-0.65514,C3-mid,26.317
lh_31pv,0.98155,C3-high,26.815
lh_33pr,-2.7856,C3-low,11.02
lh_3a,-2.4458,C3-low,17.184
lh_3b,-2.3848,C3-low,14.749
lh_4,-2.0129,C3-low,6.5717
lh_43,0.45651,C3-mid,15.153
lh_44,0.59169,C3-mid,14.805
lh_45,1.0686,C3-high,21.899
lh_46,1.1165,C3-high,22.316
lh_47l,0.78295,C3-mid,23.1
lh_47s,0.32976,C3-mid,20.654
lh_52,0.059236,C3-mid,17.491
lh_55b,-0.751,C3-low,5.1759
lh_5L,-0.37833,C3-mid,27.13
lh_5mv,0.00072898,C3-mid,26.868
lh_6a,-0.39938,C3-mid,8.6195
lh_6d,-2.1315,C3-low,0.13585
lh_6ma,-0.19528,C3-mid,15.014
lh_6mp,-1.7345,C3-low,10.077
lh_7AL,0.29983,C3-mid,22.47
lh_7Am,0.0029281,C3-mid,27.703
lh_7PC,-0.66671,C3-mid,19.814
lh_7Pm,0.99915,C3-high,28.981
lh_7m,-0.26095,C3-mid,26.996
lh_8Ad,0.30109,C3-mid,15.15
lh_8Av,-0.29283,C3-mid,19.741
lh_8BL,-0.26389,C3-mid,25.395
lh_8BM,0.27619,C3-mid,24.134
lh_8C,0.38772,C3-mid,16.744
lh_9-46d,0.35056,C3-mid,22.672
lh_9a,1.4732,C3-high,23.205
lh_9m,0.36346,C3-mid,28.929
lh_9p,0.34683,C3-mid,19.384
lh_A1,-2.013,C3-low,20.639
lh_A4,1.3399,C3-high,16.317
lh_A5,1.0652,C3-high,20.386
lh_AIP,0.71281,C3-mid,22.248
lh_AVI,0.36139,C3-mid,20.309
lh_DVT,-0.46209,C3-mid,24.986
lh_EC,-2.6324,C3-low,9.4213
lh_FEF,-0.60532,C3-mid,3.5733
lh_FFC,0.98055,C3-high,18.354
lh_FOP3,-0.48484,C3-mid,14.049
lh_FOP4,-0.042929,C3-mid,15.575
lh_FST,1.0996,C3-high,20.285
lh_IFSa,0.87052,C3-mid,23.106
lh_IFSp,0.7437,C3-mid,19.734
lh_IP0,0.67568,C3-mid,22.372
lh_IP1,0.61434,C3-mid,23.418
lh_IP2,0.69497,C3-mid,22.53
lh_IPS1,-1.2522,C3-low,24.6
lh_Ig,1.0791,C3-high,22.359
lh_LIPv,0.25242,C3-mid,18.261
lh_LO3,0.92301,C3-high,20.74
lh_MBelt,-0.44228,C3-mid,16.745
lh_MI,-0.58267,C3-mid,24.394
lh_MIP,-0.28301,C3-mid,21.306
lh_OFC,0.59158,C3-mid,22.083
lh_OP4,-0.1065,C3-mid,21.585
lh_PBelt,-1.0447,C3-low,13.674
lh_PCV,0.31917,C3-mid,23.896
lh_PF,1.274,C3-high,20.169
lh_PFm,1.3926,C3-high,23.122
lh_PFop,1.1422,C3-high,19.478
lh_PFt,-0.067527,C3-mid,19.523
lh_PGi,0.82497,C3-mid,24.23
lh_PGp,0.33932,C3-mid,26.003
lh_PGs,1.2128,C3-high,28.111
lh_PH,0.8721,C3-mid,19.705
lh_PHA1,-1.6586,C3-low,14.235
lh_PHA2,0.57116,C3-mid,18.443
lh_PHA3,0.47408,C3-mid,17.284
lh_PHT,1.0247,C3-high,20.854
lh_PI,-0.044657,C3-mid,9.3829
lh_POS1,0.94984,C3-high,24.655
lh_POS2,1.1043,C3-high,22.603
lh_PSL,1.443,C3-high,18.709
lh_PeEc,-1.7962,C3-low,5.8895
lh_PoI1,-0.58655,C3-mid,17.338
lh_PoI2,-1.585,C3-low,20.702
lh_PreS,-1.8502,C3-low,12.203
lh_RSC,-0.61117,C3-mid,14.826
lh_SCEF,-0.71014,C3-low,16.909
lh_SFL,-0.79958,C3-low,19.672
lh_STGa,-0.11287,C3-mid,12.718
lh_STSdp,1.11,C3-high,24.29
lh_STSva,0.27034,C3-mid,17.869
lh_STSvp,0.48085,C3-mid,24.875
lh_STV,1.2222,C3-high,20.357
lh_TA2,0.45796,C3-mid,9.5638
lh_TE1a,0.077441,C3-mid,17.484
lh_TE1m,0.81025,C3-mid,18.089
lh_TE1p,1.2577,C3-high,18.885
lh_TE2a,0.32134,C3-mid,18.176
lh_TE2p,1.3367,C3-high,18.22
lh_TF,0.71279,C3-mid,17.185
lh_TGd,-0.9639,C3-low,11.783
lh_TGv,-0.094556,C3-mid,13.464
lh_TPOJ1,1.2221,C3-high,21.163
lh_TPOJ2,0.76036,C3-mid,21.926
lh_V1,-1.9059,C3-low,9.1947
lh_V2,-1.4877,C3-low,19.794
lh_V3,-1.2994,C3-low,19.677
lh_V3A,-0.46184,C3-mid,19.677
lh_V4,-0.48077,C3-mid,18.007
lh_VIP,-0.24378,C3-mid,24.194
lh_VMV1,0.27371,C3-mid,19.287
lh_VMV3,0.65848,C3-mid,21.112
lh_VVC,1.3269,C3-high,20.768
lh_a24,-1.1356,C3-low,22.802
lh_a24pr,-1.9079,C3-low,27.183
lh_a32pr,-1.409,C3-low,22.777
lh_a47r,1.0036,C3-high,28.282
lh_a9-46v,1.1899,C3-high,27.44
lh_d23ab,-0.53313,C3-mid,31.488
lh_d32,-0.25163,C3-mid,23.456
lh_i6-8,-0.63727,C3-mid,14.451
lh_p24pr,-0.63327,C3-mid,28.77
lh_p32,-0.099024,C3-mid,26.112
lh_p32pr,-0.032568,C3-mid,20.465
lh_p47r,0.46772,C3-mid,22.693
lh_p9-46v,0.5525,C3-mid,22.722
lh_pOFC,0.30004,C3-mid,4.647
lh_s32,-0.076732,C3-mid,28.498
