outcome	map	reference	rho	p_spin	p_label	n_parcels	n_case	n_ctrl
depress	absolute	PLS2	-0.1427	0.2148	0.2877	137	1109	4572
depress	absolute	C3	-0.03347	0.801	0.8182	137	1109	4572
depress	absolute	dCT	0.08323	0.4867	0.5285	179	1109	4572
depress	absolute	PLS1	0.2907	0.07758		137	1109	4572
depress	absolute	PLS2 | dCT	-0.08862			137	1109	4572
depress	relative	PLS2	-0.1873	0.09838	0.1399	137	1109	4572
depress	relative	C3	-0.1466	0.2242	0.2527	137	1109	4572
depress	relative	dCT	0.1385	0.2563	0.2767	179	1109	4572
depress	relative	PLS1	0.1905	0.2462		137	1109	4572
depress	relative	PLS2 | dCT	-0.09122			137	1109	4572
depress	absolute_ct	PLS2	0.04859	0.7121	0.7473	137	1109	4572
depress	absolute_ct	C3	0.2321	0.08098	0.1139	137	1109	4572
depress	absolute_ct	dCT	0.05007	0.6865	0.7123	179	1109	4572
depress	absolute_ct	PLS1	0.1506	0.5553		137	1109	4572
depress	absolute_ct	PLS2 | dCT	0.1018			137	1109	4572
depress	relative_ct	PLS2	-0.0009567	0.9944	0.993	137	1109	4572
depress	relative_ct	C3	0.135	0.3051	0.3277	137	1109	4572
depress	relative_ct	dCT	0.1072	0.3595	0.4216	179	1109	4572
depress	relative_ct	PLS1	0.07871	0.7461		137	1109	4572
depress	relative_ct	PLS2 | dCT	0.09366			137	1109	4572
withdep	absolute	PLS2	0.122	0.178	0.3417	137	910	6160
withdep	absolute	C3	0.1877	0.04279	0.1728	137	910	6160
withdep	absolute	dCT	-0.1621	0.04239	0.2208	179	910	6160
withdep	absolute	PLS1	0.0648	0.4905		137	910	6160
withdep	absolute	PLS2 | dCT	0.07631			137	910	6160
withdep	relative	PLS2	0.05058	0.5725	0.6903	137	910	6160
withdep	relative	C3	0.0342	0.7191	0.8072	137	910	6160
withdep	relative	dCT	-0.07109	0.3359	0.5684	179	910	6160
withdep	relative	PLS1	-0.07746	0.4469		137	910	6160
withdep	relative	PLS2 | dCT	0.06357			137	910	6160
withdep	absolute_ct	PLS2	0.05168	0.6141	0.7263	137	910	6160
withdep	absolute_ct	C3	0.24	0.03039	0.1059	137	910	6160
withdep	absolute_ct	dCT	-0.05381	0.6107	0.6583	179	910	6160
withdep	absolute_ct	PLS1	0.1466	0.3435		137	910	6160
withdep	absolute_ct	PLS2 | dCT	0.03991			137	910	6160
withdep	relative_ct	PLS2	0.03143	0.7471	0.8352	137	910	6160
withdep	relative_ct	C3	0.1589	0.1186	0.2537	137	910	6160
withdep	relative_ct	dCT	-0.01149	0.9022	0.9251	179	910	6160
withdep	relative_ct	PLS1	-0.007827	0.9486		137	910	6160
withdep	relative_ct	PLS2 | dCT	0.05384			137	910	6160
anxdep	absolute	PLS2	-0.1113	0.3433	0.3756	137	782	6288
anxdep	absolute	C3	0.02687	0.8374	0.8651	137	782	6288
anxdep	absolute	dCT	0.1424	0.2927	0.2957	179	782	6288
anxdep	absolute	PLS1	0.2349	0.1284		137	782	6288
anxdep	absolute	PLS2 | dCT	-0.03924			137	782	6288
anxdep	relative	PLS2	-0.1428	0.234	0.2717	137	782	6288
anxdep	relative	C3	-0.0518	0.6855	0.6863	137	782	6288
anxdep	relative	dCT	0.1916	0.1456	0.1089	179	782	6288
anxdep	relative	PLS1	0.1651	0.2472		137	782	6288
anxdep	relative	PLS2 | dCT	-0.03667			137	782	6288
anxdep	absolute_ct	PLS2	0.006268	0.954	0.958	137	782	6288
anxdep	absolute_ct	C3	0.1965	0.102	0.1469	137	782	6288
anxdep	absolute_ct	dCT	0.1595	0.1892	0.2268	179	782	6288
anxdep	absolute_ct	PLS1	0.07389	0.7001		137	782	6288
anxdep	absolute_ct	PLS2 | dCT	0.0629			137	782	6288
anxdep	relative_ct	PLS2	-0.04962	0.6557	0.7093	137	782	6288
anxdep	relative_ct	C3	0.1104	0.3371	0.4236	137	782	6288
anxdep	relative_ct	dCT	0.2204	0.04559	0.09091	179	782	6288
anxdep	relative_ct	PLS1	0.02441	0.8838		137	782	6288
anxdep	relative_ct	PLS2 | dCT	0.0507			137	782	6288
anxdisord	absolute	PLS2	-0.01583	0.8788	0.8961	137	741	4914
anxdisord	absolute	C3	0.01998	0.8486	0.8811	137	741	4914
anxdisord	absolute	dCT	0.07895	0.3987	0.5804	179	741	4914
anxdisord	absolute	PLS1	0.1795	0.09298		137	741	4914
anxdisord	absolute	PLS2 | dCT	0.05319			137	741	4914
anxdisord	relative	PLS2	-0.06707	0.5113	0.5704	137	741	4914
anxdisord	relative	C3	-0.1145	0.2366	0.3596	137	741	4914
anxdisord	relative	dCT	0.1461	0.1296	0.2657	179	741	4914
anxdisord	relative	PLS1	0.06718	0.5123		137	741	4914
anxdisord	relative	PLS2 | dCT	0.0465			137	741	4914
anxdisord	absolute_ct	PLS2	0.007178	0.9546	0.958	137	741	4914
anxdisord	absolute_ct	C3	0.1746	0.1206	0.2438	137	741	4914
anxdisord	absolute_ct	dCT	0.205	0.06319	0.1119	179	741	4914
anxdisord	absolute_ct	PLS1	-0.0355	0.8074		137	741	4914
anxdisord	absolute_ct	PLS2 | dCT	0.1425			137	741	4914
anxdisord	relative_ct	PLS2	-0.04804	0.6499	0.7143	137	741	4914
anxdisord	relative_ct	C3	0.05965	0.5695	0.6793	137	741	4914
anxdisord	relative_ct	dCT	0.2691	0.006399	0.02897	179	741	4914
anxdisord	relative_ct	PLS1	-0.108	0.3667		137	741	4914
anxdisord	relative_ct	PLS2 | dCT	0.1321			137	741	4914
internal	absolute	PLS2	-0.2629	0.0246	0.03397	137	1200	4974
internal	absolute	C3	-0.1419	0.2322	0.2927	137	1200	4974
internal	absolute	dCT	0.1956	0.1072	0.1379	179	1200	4974
internal	absolute	PLS1	0.06331	0.6881		137	1200	4974
internal	absolute	PLS2 | dCT	-0.1379			137	1200	4974
internal	relative	PLS2	-0.2777	0.0196	0.02298	137	1200	4974
internal	relative	C3	-0.1888	0.1052	0.1339	137	1200	4974
internal	relative	dCT	0.2178	0.07718	0.07992	179	1200	4974
internal	relative	PLS1	0.009997	0.9496		137	1200	4974
internal	relative	PLS2 | dCT	-0.1395			137	1200	4974
internal	absolute_ct	PLS2	-0.04611	0.6719	0.7413	137	1200	4974
internal	absolute_ct	C3	0.06963	0.5489	0.6454	137	1200	4974
internal	absolute_ct	dCT	0.2009	0.05199	0.1139	179	1200	4974
internal	absolute_ct	PLS1	-0.09046	0.5291		137	1200	4974
internal	absolute_ct	PLS2 | dCT	0.0826			137	1200	4974
internal	relative_ct	PLS2	-0.08531	0.4383	0.5295	137	1200	4974
internal	relative_ct	C3	0.01115	0.931	0.9431	137	1200	4974
internal	relative_ct	dCT	0.2268	0.03399	0.08591	179	1200	4974
internal	relative_ct	PLS1	-0.1139	0.4251		137	1200	4974
internal	relative_ct	PLS2 | dCT	0.06281			137	1200	4974
rulebreak	absolute	PLS2	0.1362	0.2438	0.2797	137	329	7320
rulebreak	absolute	C3	0.1491	0.1752	0.2827	137	329	7320
rulebreak	absolute	dCT	-0.1052	0.4127	0.4276	179	329	7320
rulebreak	absolute	PLS1	0.1615	0.2344		137	329	7320
rulebreak	absolute	PLS2 | dCT	0.1238			137	329	7320
rulebreak	relative	PLS2	0.09742	0.3891	0.4186	137	329	7320
rulebreak	relative	C3	0.06903	0.5275	0.5534	137	329	7320
rulebreak	relative	dCT	-0.06626	0.5821	0.6194	179	329	7320
rulebreak	relative	PLS1	0.07638	0.6547		137	329	7320
rulebreak	relative	PLS2 | dCT	0.115			137	329	7320
rulebreak	absolute_ct	PLS2	0.1519	0.2769	0.2737	137	329	7320
rulebreak	absolute_ct	C3	0.2349	0.08198	0.1009	137	329	7320
rulebreak	absolute_ct	dCT	-0.2594	0.08678	0.04595	179	329	7320
rulebreak	absolute_ct	PLS1	0.3777	0.02899		137	329	7320
rulebreak	absolute_ct	PLS2 | dCT	-0.003301			137	329	7320
rulebreak	relative_ct	PLS2	0.1561	0.2505	0.2468	137	329	7320
rulebreak	relative_ct	C3	0.2018	0.1114	0.1439	137	329	7320
rulebreak	relative_ct	dCT	-0.2379	0.1018	0.06593	179	329	7320
rulebreak	relative_ct	PLS1	0.2821	0.09258		137	329	7320
rulebreak	relative_ct	PLS2 | dCT	0.02539			137	329	7320
pfactor	absolute	PLS2	-0.1021	0.2847	0.4346	137	737	3937
pfactor	absolute	C3	0.04303	0.6677	0.7343	137	737	3937
pfactor	absolute	dCT	0.1165	0.209	0.3806	179	737	3937
pfactor	absolute	PLS1	0.1228	0.2438		137	737	3937
pfactor	absolute	PLS2 | dCT	0.009215			137	737	3937
pfactor	relative	PLS2	-0.1485	0.142	0.2288	137	737	3937
pfactor	relative	C3	-0.03505	0.7309	0.7732	137	737	3937
pfactor	relative	dCT	0.1613	0.101	0.2198	179	737	3937
pfactor	relative	PLS1	0.0558	0.5733		137	737	3937
pfactor	relative	PLS2 | dCT	-0.009122			137	737	3937
pfactor	absolute_ct	PLS2	-0.1318	0.2559	0.3347	137	737	3937
pfactor	absolute_ct	C3	0.1064	0.4049	0.4645	137	737	3937
pfactor	absolute_ct	dCT	0.2658	0.008798	0.04496	179	737	3937
pfactor	absolute_ct	PLS1	0.1974	0.3315		137	737	3937
pfactor	absolute_ct	PLS2 | dCT	0.04257			137	737	3937
pfactor	relative_ct	PLS2	-0.161	0.1666	0.2328	137	737	3937
pfactor	relative_ct	C3	0.04779	0.7041	0.7323	137	737	3937
pfactor	relative_ct	dCT	0.3034	0.0022	0.01698	179	737	3937
pfactor	relative_ct	PLS1	0.123	0.4979		137	737	3937
pfactor	relative_ct	PLS2 | dCT	0.046			137	737	3937
mdd_parent	absolute	PLS2	0.1658	0.155	0.1918	137	791	7925
mdd_parent	absolute	C3	0.2327	0.04419	0.07692	137	791	7925
mdd_parent	absolute	dCT	-0.0879	0.4895	0.4635	179	791	7925
mdd_parent	absolute	PLS1	0.1175	0.2625		137	791	7925
mdd_parent	absolute	PLS2 | dCT	0.05583			137	791	7925
mdd_parent	relative	PLS2	0.1515	0.1918	0.2168	137	791	7925
mdd_parent	relative	C3	0.1307	0.2681	0.2957	137	791	7925
mdd_parent	relative	dCT	-0.02739	0.8384	0.8501	179	791	7925
mdd_parent	relative	PLS1	-0.01435	0.8956		137	791	7925
mdd_parent	relative	PLS2 | dCT	0.09225			137	791	7925
mdd_parent	absolute_ct	PLS2	0.1074	0.4001	0.4386	137	791	7925
