outcome	map	label	d	t	p	n_case	n_ctrl
depress	absolute	lh_1	0.094921	2.8163	0.0048746	1109	4572
depress	absolute	lh_10d	-0.035632	-1.0572	0.29046	1109	4572
depress	absolute	lh_10pp	-0.049449	-1.4672	0.14239	1109	4572
depress	absolute	lh_10r	0.0052872	0.15687	0.87535	1109	4572
depress	absolute	lh_10v	-0.025133	-0.74569	0.45588	1109	4572
depress	absolute	lh_11l	-0.050513	-1.4987	0.134	1109	4572
depress	absolute	lh_13l	0.027123	0.80475	0.421	1109	4572
depress	absolute	lh_2	0.10917	3.239	0.0012065	1109	4572
depress	absolute	lh_23c	0.015232	0.45194	0.65133	1109	4572
depress	absolute	lh_23d	0.0021117	0.062656	0.95004	1109	4572
depress	absolute	lh_24dd	0.12119	3.5956	0.00032643	1109	4572
depress	absolute	lh_24dv	0.091849	2.7252	0.0064465	1109	4572
depress	absolute	lh_25	-0.031006	-0.91996	0.35764	1109	4572
depress	absolute	lh_31a	-0.057974	-1.7201	0.085468	1109	4572
depress	absolute	lh_31pd	-0.0054472	-0.16162	0.87161	1109	4572
depress	absolute	lh_31pv	0.017428	0.51708	0.60512	1109	4572
depress	absolute	lh_33pr	-0.010623	-0.31519	0.75263	1109	4572
depress	absolute	lh_3a	0.10198	3.0258	0.0024913	1109	4572
depress	absolute	lh_3b	0.092664	2.7493	0.0059904	1109	4572
depress	absolute	lh_4	0.00088208	0.026171	0.97912	1109	4572
depress	absolute	lh_43	-0.0007956	-0.023605	0.98117	1109	4572
depress	absolute	lh_44	0.02198	0.65215	0.51433	1109	4572
depress	absolute	lh_45	0.066007	1.9584	0.050227	1109	4572
depress	absolute	lh_46	0.020235	0.60038	0.54828	1109	4572
depress	absolute	lh_47l	0.048086	1.4267	0.15372	1109	4572
depress	absolute	lh_47m	0.010168	0.3017	0.76289	1109	4572
depress	absolute	lh_47s	0.035852	1.0637	0.2875	1109	4572
depress	absolute	lh_52	0.066401	1.9701	0.048874	1109	4572
depress	absolute	lh_55b	0.022579	0.66993	0.50293	1109	4572
depress	absolute	lh_5L	0.049454	1.4673	0.14235	1109	4572
depress	absolute	lh_5m	0.10108	2.9991	0.0027194	1109	4572
depress	absolute	lh_5mv	0.089077	2.6429	0.0082423	1109	4572
depress	absolute	lh_6a	0.026052	0.77296	0.43958	1109	4572
depress	absolute	lh_6d	-0.026663	-0.7911	0.42892	1109	4572
depress	absolute	lh_6ma	-0.020887	-0.61972	0.53546	1109	4572
depress	absolute	lh_6mp	-0.034126	-1.0125	0.31133	1109	4572
depress	absolute	lh_6r	0.035927	1.066	0.28649	1109	4572
depress	absolute	lh_6v	-0.010328	-0.30643	0.75929	1109	4572
depress	absolute	lh_7AL	0.083544	2.4788	0.013213	1109	4572
