outcome	map	level	reference	rho	n_regions	p_spin	p_perm	n
pfactor	absolute	parcel	PLS2	-0.127	137	0.3053	0.3297	8162
pfactor	absolute	parcel	C3	0.002161	137	0.9876	0.981	8162
pfactor	absolute	parcel	dCT	0.1695	179	0.1686	0.2108	8162
pfactor	absolute	cortex	PLS2	-0.1259	22	0.6265	0.6314	8162
pfactor	absolute	cortex	C3	0.1372	22	0.6043	0.6154	8162
pfactor	absolute	cortex	dCT	0.2964	22	0.2458	0.2627	8162
pfactor	relative	parcel	PLS2	-0.1867	137	0.145	0.1279	8162
pfactor	relative	parcel	C3	-0.1331	137	0.3317	0.2787	8162
pfactor	relative	parcel	dCT	0.2382	179	0.05179	0.05495	8162
pfactor	relative	cortex	PLS2	-0.2671	22	0.2965	0.3157	8162
pfactor	relative	cortex	C3	-0.04348	22	0.8796	0.8731	8162
pfactor	relative	cortex	dCT	0.5065	22	0.03619	0.03596	8162
pfactor	absolute_ct	parcel	PLS2	-0.09972	137	0.4239	0.4775	8162
pfactor	absolute_ct	parcel	C3	0.0233	137	0.848	0.8801	8162
pfactor	absolute_ct	parcel	dCT	0.2879	179	0.005399	0.03497	8162
pfactor	absolute_ct	cortex	PLS2	-0.1846	22	0.4415	0.4795	8162
pfactor	absolute_ct	cortex	C3	0.1101	22	0.6323	0.6953	8162
pfactor	absolute_ct	cortex	dCT	0.389	22	0.09398	0.1379	8162
pfactor	relative_ct	parcel	PLS2	-0.129	137	0.3121	0.3556	8162
pfactor	relative_ct	parcel	C3	-0.08108	137	0.5589	0.5475	8162
pfactor	relative_ct	parcel	dCT	0.3238	179	0.0016	0.01399	8162
pfactor	relative_ct	cortex	PLS2	-0.3089	22	0.1994	0.2537	8162
pfactor	relative_ct	cortex	C3	-0.06494	22	0.8036	0.7982	8162
pfactor	relative_ct	cortex	dCT	0.5449	22	0.0198	0.02198	8162
totprob	absolute	parcel	PLS2	-0.1867	137	0.1918	0.1219	8187
totprob	absolute	parcel	C3	-0.02614	137	0.8766	0.8402	8187
totprob	absolute	parcel	dCT	0.2698	179	0.05979	0.03996	8187
totprob	absolute	cortex	PLS2	-0.1971	22	0.4239	0.4795	8187
totprob	absolute	cortex	C3	0.0367	22	0.889	0.8961	8187
totprob	absolute	cortex	dCT	0.3936	22	0.1108	0.1399	8187
totprob	relative	parcel	PLS2	-0.2183	137	0.1284	0.08691	8187
totprob	relative	parcel	C3	-0.1003	137	0.5479	0.4116	8187
totprob	relative	parcel	dCT	0.3149	179	0.023	0.01499	8187
totprob	relative	cortex	PLS2	-0.2705	22	0.2771	0.3137	8187
totprob	relative	cortex	C3	-0.05364	22	0.8584	0.8382	8187
totprob	relative	cortex	dCT	0.5392	22	0.0172	0.02597	8187
totprob	absolute_ct	parcel	PLS2	-0.07917	137	0.6011	0.5614	8187
totprob	absolute_ct	parcel	C3	-0.001699	137	0.9906	0.988	8187
totprob	absolute_ct	parcel	dCT	0.3068	179	0.007598	0.01698	8187
totprob	absolute_ct	cortex	PLS2	-0.1316	22	0.5907	0.6384	8187
totprob	absolute_ct	cortex	C3	0.05477	22	0.8542	0.8601	8187
totprob	absolute_ct	cortex	dCT	0.4907	22	0.03519	0.05694	8187
totprob	relative_ct	parcel	PLS2	-0.1157	137	0.4435	0.3846	8187
totprob	relative_ct	parcel	C3	-0.06813	137	0.7133	0.6364	8187
totprob	relative_ct	parcel	dCT	0.3367	179	0.003999	0.008991	8187
totprob	relative_ct	cortex	PLS2	-0.223	22	0.3769	0.3786	8187
totprob	relative_ct	cortex	C3	-0.05816	22	0.8496	0.8252	8187
totprob	relative_ct	cortex	dCT	0.5392	22	0.02519	0.01998	8187
