outcome	map	cortex_id	cortex	r	t	p	n
pfactor	absolute	1	Primary_Visual	0.014367	1.2961	0.19499	8162
pfactor	absolute	2	Early_Visual	0.024696	2.2283	0.025889	8162
pfactor	absolute	3	Dorsal_Stream_Visual	0.031054	2.8024	0.0050847	8162
pfactor	absolute	4	Ventral_Stream_Visual	0.031082	2.805	0.0050441	8162
pfactor	absolute	5	MT+_Complex_and_Neighboring_Visual_Areas	0.036639	3.307	0.00094697	8162
pfactor	absolute	6	Somatosensory_and_Motor	0.016999	1.5336	0.12518	8162
pfactor	absolute	7	Paracentral_Lobular_and_Mid_Cingulate	0.015885	1.433	0.15189	8162
pfactor	absolute	8	Premotor	0.0216	1.9488	0.051357	8162
pfactor	absolute	9	Posterior_Opercular	0.010139	0.91457	0.36044	8162
pfactor	absolute	10	Early_Auditory	0.031972	2.8853	0.0039205	8162
pfactor	absolute	11	Auditory_Association	0.035134	3.171	0.0015247	8162
pfactor	absolute	12	Insular_and_Frontal_Opercular	0.0072468	0.65367	0.51334	8162
pfactor	absolute	13	Medial_Temporal	0.033518	3.025	0.0024939	8162
pfactor	absolute	14	Lateral_Temporal	0.021732	1.9607	0.049948	8162
pfactor	absolute	15	Temporo-Parieto-Occipital_Junction	0.023083	2.0826	0.037318	8162
pfactor	absolute	16	Superior_Parietal	-0.0036204	-0.32657	0.744	8162
pfactor	absolute	17	Inferior_Parietal	0.024489	2.2096	0.027161	8162
pfactor	absolute	18	Posterior_Cingulate	0.020218	1.824	0.068182	8162
pfactor	absolute	19	Anterior_Cingulate_and_Medial_Prefrontal	0.0099213	0.89494	0.37084	8162
pfactor	absolute	20	Orbital_and_Polar_Frontal	-0.0005115	-0.046138	0.9632	8162
pfactor	absolute	21	Inferior_Frontal	0.016518	1.4901	0.13623	8162
pfactor	absolute	22	Dorsolateral_Prefrontal	0.0056624	0.51075	0.60954	8162
pfactor	relative	1	Primary_Visual	0.0068866	0.62115	0.53452	8162
pfactor	relative	2	Early_Visual	0.010165	0.91685	0.35925	8162
pfactor	relative	3	Dorsal_Stream_Visual	0.017347	1.5649	0.11766	8162
pfactor	relative	4	Ventral_Stream_Visual	0.017481	1.5769	0.11485	8162
pfactor	relative	5	MT+_Complex_and_Neighboring_Visual_Areas	0.024132	2.1772	0.029497	8162
pfactor	relative	6	Somatosensory_and_Motor	0.00423	0.38153	0.70282	8162
pfactor	relative	7	Paracentral_Lobular_and_Mid_Cingulate	-0.0077623	-0.70014	0.48386	8162
pfactor	relative	8	Premotor	0.0068061	0.61388	0.53931	8162
pfactor	relative	9	Posterior_Opercular	-0.0061934	-0.55862	0.57643	8162
pfactor	relative	10	Early_Auditory	0.01832	1.6526	0.098446	8162
pfactor	relative	11	Auditory_Association	0.022333	2.0148	0.043961	8162
pfactor	relative	12	Insular_and_Frontal_Opercular	-0.005445	-0.49111	0.62336	8162
pfactor	relative	13	Medial_Temporal	0.023977	2.1632	0.030555	8162
pfactor	relative	14	Lateral_Temporal	0.0045352	0.40906	0.68251	8162
pfactor	relative	15	Temporo-Parieto-Occipital_Junction	0.0055297	0.49875	0.61797	8162
pfactor	relative	16	Superior_Parietal	-0.032098	-2.8966	0.0037826	8162
pfactor	relative	17	Inferior_Parietal	0.0043664	0.39383	0.69372	8162
pfactor	relative	18	Posterior_Cingulate	-0.00094768	-0.085475	0.93189	8162
pfactor	relative	19	Anterior_Cingulate_and_Medial_Prefrontal	-0.0092002	-0.82984	0.40665	8162
pfactor	relative	20	Orbital_and_Polar_Frontal	-0.021488	-1.9386	0.052589	8162
pfactor	relative	21	Inferior_Frontal	-0.0043546	-0.39277	0.6945	8162
pfactor	relative	22	Dorsolateral_Prefrontal	-0.01985	-1.7907	0.073376	8162
pfactor	absolute_ct	1	Primary_Visual	0.002684	0.24209	0.80872	8162
pfactor	absolute_ct	2	Early_Visual	0.01015	0.91549	0.35996	8162
pfactor	absolute_ct	3	Dorsal_Stream_Visual	0.010382	0.93641	0.34909	8162
pfactor	absolute_ct	4	Ventral_Stream_Visual	0.016149	1.4567	0.14523	8162
pfactor	absolute_ct	5	MT+_Complex_and_Neighboring_Visual_Areas	0.013804	1.2451	0.21312	8162
pfactor	absolute_ct	6	Somatosensory_and_Motor	0.0049244	0.44416	0.65694	8162
pfactor	absolute_ct	7	Paracentral_Lobular_and_Mid_Cingulate	0.0048415	0.43668	0.66235	8162
pfactor	absolute_ct	8	Premotor	0.015565	1.404	0.16036	8162
pfactor	absolute_ct	9	Posterior_Opercular	0.0043665	0.39384	0.69371	8162
pfactor	absolute_ct	10	Early_Auditory	0.018879	1.7031	0.088585	8162
pfactor	absolute_ct	11	Auditory_Association	0.019758	1.7824	0.074715	8162
pfactor	absolute_ct	12	Insular_and_Frontal_Opercular	-0.0022218	-0.20039	0.84118	8162
pfactor	absolute_ct	13	Medial_Temporal	0.015965	1.4401	0.14988	8162
pfactor	absolute_ct	14	Lateral_Temporal	0.0095968	0.86561	0.38673	8162
pfactor	absolute_ct	15	Temporo-Parieto-Occipital_Junction	0.013896	1.2535	0.21007	8162
pfactor	absolute_ct	16	Superior_Parietal	-0.02071	-1.8683	0.061752	8162
pfactor	absolute_ct	17	Inferior_Parietal	0.0093375	0.84222	0.39969	8162
pfactor	absolute_ct	18	Posterior_Cingulate	-0.0059744	-0.53886	0.59	8162
pfactor	absolute_ct	19	Anterior_Cingulate_and_Medial_Prefrontal	0.0094619	0.85345	0.39344	8162
