outcome	map	label	r	t	p	n
depress	absolute	lh_1	0.015095	1.3633	0.17282	8181
depress	absolute	lh_10d	0.00037951	0.034271	0.97266	8181
depress	absolute	lh_10pp	-0.0055343	-0.49978	0.61724	8181
depress	absolute	lh_10r	-0.0038144	-0.34446	0.73051	8181
depress	absolute	lh_10v	0.0013799	0.12461	0.90084	8181
depress	absolute	lh_11l	-0.010063	-0.90883	0.36347	8181
depress	absolute	lh_13l	0.0031328	0.28291	0.77725	8181
depress	absolute	lh_2	0.032119	2.902	0.0037175	8181
depress	absolute	lh_23c	0.0058082	0.52452	0.59993	8181
depress	absolute	lh_23d	-0.011272	-1.0179	0.30873	8181
depress	absolute	lh_24dd	0.037114	3.3539	0.00080049	8181
depress	absolute	lh_24dv	0.035366	3.1957	0.0014001	8181
depress	absolute	lh_25	-0.011729	-1.0593	0.28949	8181
depress	absolute	lh_31a	0.0081427	0.73535	0.46215	8181
depress	absolute	lh_31pd	0.0059383	0.53627	0.59179	8181
depress	absolute	lh_31pv	0.019732	1.7823	0.074744	8181
depress	absolute	lh_33pr	-0.0094518	-0.85358	0.39336	8181
depress	absolute	lh_3a	0.0088677	0.80083	0.42325	8181
depress	absolute	lh_3b	0.015039	1.3583	0.17441	8181
depress	absolute	lh_4	0.00010119	0.0091377	0.99271	8181
depress	absolute	lh_43	0.012227	1.1042	0.26952	8181
depress	absolute	lh_44	0.0099061	0.89461	0.37102	8181
depress	absolute	lh_45	0.043752	3.9548	7.7255e-05	8181
depress	absolute	lh_46	0.015195	1.3724	0.16999	8181
depress	absolute	lh_47l	0.0038963	0.35186	0.72496	8181
depress	absolute	lh_47m	0.0067268	0.60748	0.54355	8181
depress	absolute	lh_47s	0.018392	1.6612	0.096721	8181
depress	absolute	lh_52	0.04104	3.7092	0.00020927	8181
depress	absolute	lh_55b	0.013284	1.1997	0.23028	8181
depress	absolute	lh_5L	0.0090359	0.81602	0.41451	8181
depress	absolute	lh_5m	0.03893	3.5183	0.00043672	8181
depress	absolute	lh_5mv	0.030337	2.7409	0.0061409	8181
depress	absolute	lh_6a	0.0083217	0.75152	0.45236	8181
depress	absolute	lh_6d	0.0034091	0.30786	0.7582	8181
depress	absolute	lh_6ma	-0.0066618	-0.60161	0.54745	8181
depress	absolute	lh_6mp	0.0095307	0.86071	0.38942	8181
depress	absolute	lh_6r	0.024913	2.2505	0.024445	8181
depress	absolute	lh_6v	0.0090776	0.81979	0.41236	8181
depress	absolute	lh_7AL	0.015025	1.357	0.17483	8181
depress	absolute	lh_7Am	-0.0050336	-0.45456	0.64944	8181
depress	absolute	lh_7PC	-0.0041984	-0.37914	0.70459	8181
depress	absolute	lh_7PL	0.00087221	0.078765	0.93722	8181
depress	absolute	lh_7Pm	0.0094693	0.85517	0.39248	8181
depress	absolute	lh_7m	0.028194	2.5471	0.010881	8181
depress	absolute	lh_8Ad	0.0063776	0.57594	0.56467	8181
depress	absolute	lh_8Av	-0.0031448	-0.28399	0.77642	8181
depress	absolute	lh_8BL	0.0088696	0.801	0.42316	8181
depress	absolute	lh_8BM	0.0042819	0.38668	0.699	8181
depress	absolute	lh_8C	0.03122	2.8207	0.0048031	8181
depress	absolute	lh_9-46d	0.0084477	0.76289	0.44555	8181
depress	absolute	lh_9a	-0.014323	-1.2936	0.19585	8181
depress	absolute	lh_9m	0.012036	1.087	0.27706	8181
depress	absolute	lh_9p	0.00030553	0.027591	0.97799	8181
depress	absolute	lh_A1	0.025694	2.3211	0.020307	8181
depress	absolute	lh_A4	0.013795	1.2458	0.21286	8181
depress	absolute	lh_A5	0.019474	1.759	0.078623	8181
depress	absolute	lh_AAIC	-0.015415	-1.3922	0.1639	8181
depress	absolute	lh_AIP	0.0024477	0.22104	0.82507	8181
