outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
anxdep	global_thin	False	base	-0.0042863	0.0092203	0.64202	8715		-0.0054208	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	y3	0.0046543	0.009808	0.63511	8069		0.0058801	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	late	0.011565	0.0085978	0.17858	8185		0.015977	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	change	0.015125	0.0074288	0.041746	8184		0.020896	7.0 p/mh_p_cbcl.tsv
anxdep	global_thin	False	trajectory	0.002098	0.0014196	0.13944	8553		0.017428	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	base	-0.010164	0.0070612	0.15004	8715		-0.016556	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	y3	0.016518	0.0087251	0.058336	8070		0.023466	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	late	0.016182	0.0079178	0.04098	8190		0.024511	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	change	0.021576	0.0072056	0.0027511	8189		0.032681	7.0 p/mh_p_cbcl.tsv
withdep	global_thin	False	trajectory	0.0047232	0.0013452	0.00044603	8552		0.042088	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	base	-0.0017523	0.0079375	0.82528	8715		-0.0026179	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	y3	0.001399	0.0083351	0.8667	8070		0.0021042	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	late	0.0023076	0.0076072	0.76163	8183		0.0036738	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	change	0.0031231	0.0066999	0.64112	8182		0.0049721	7.0 p/mh_p_cbcl.tsv
somatic	global_thin	False	trajectory	-0.00037843	0.0012712	0.76594	8552		-0.0034376	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	base	-0.010924	0.0083496	0.19076	8715		-0.015437	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	y3	-0.00064032	0.0080644	0.93671	8068		-0.00097655	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	late	0.0052965	0.006846	0.43913	8182		0.009462	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	change	0.0098881	0.0058372	0.09027	8181		0.017665	7.0 p/mh_p_cbcl.tsv
social	global_thin	False	trajectory	0.0017722	0.0011911	0.13679	8552		0.017375	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	base	0.0083	0.0080991	0.30545	8715		0.01211	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	y3	0.0085439	0.0083067	0.30369	8070		0.012673	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	late	0.0095429	0.0073488	0.19409	8184		0.01584	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	change	0.0077789	0.0065206	0.23288	8183		0.012912	7.0 p/mh_p_cbcl.tsv
thought	global_thin	False	trajectory	0.0012269	0.001261	0.33057	8553		0.011883	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	base	-0.0015722	0.010031	0.87545	8715		-0.0018258	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	y3	0.013421	0.010239	0.18995	8070		0.015801	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	late	0.0055698	0.0093896	0.55306	8189		0.0071115	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	change	0.0079746	0.0075248	0.28925	8188		0.010182	7.0 p/mh_p_cbcl.tsv
attention	global_thin	False	trajectory	0.0021914	0.001406	0.11909	8554		0.017991	7.0 p/mh_p_cbcl.tsv
