vector	cell_class	n_markers	n_universe	mean_weight	null_mean	null_sd	z	p_perm
ABCD PLS2, DK	Astro	662	12007	-0.4443	0.2537	0.09577	-7.288	5e-05
ABCD PLS2, DK	Endo	691	12007	-0.4828	0.2538	0.09352	-7.876	5e-05
ABCD PLS2, DK	Micro	519	12007	-0.8707	0.253	0.108	-10.4	5e-05
ABCD PLS2, DK	Neuro	726	12007	1.71	0.2537	0.09075	16.05	5e-05
ABCD PLS2, DK	Neuro-Ex	1055	12007	1.478	0.2535	0.07476	16.38	5e-05
ABCD PLS2, DK	Neuro-In	768	12007	1.089	0.2538	0.08926	9.359	5e-05
ABCD PLS2, DK	OPC	115	12007	-0.2011	0.2523	0.2342	-1.936	0.0521
ABCD PLS2, DK	Oligo	526	12007	-0.3635	0.2543	0.1078	-5.73	5e-05
ABCD PLS2, DK	Per	50	12007	-0.582	0.2554	0.3572	-2.344	0.0189
ABCD PLS2, HCP-MMP	Astro	471	7973	0.9746	0.3555	0.1111	5.574	5e-05
ABCD PLS2, HCP-MMP	Endo	537	7973	-0.2584	0.3547	0.104	-5.894	5e-05
ABCD PLS2, HCP-MMP	Micro	391	7973	-0.9633	0.3528	0.1239	-10.62	5e-05
ABCD PLS2, HCP-MMP	Neuro	600	7973	1.484	0.3559	0.09872	11.42	5e-05
ABCD PLS2, HCP-MMP	Neuro-Ex	862	7973	1.399	0.3562	0.08009	13.02	5e-05
ABCD PLS2, HCP-MMP	Neuro-In	638	7973	1.124	0.3555	0.09489	8.1	5e-05
ABCD PLS2, HCP-MMP	OPC	96	7973	0.3056	0.3557	0.2537	-0.1976	0.8463
ABCD PLS2, HCP-MMP	Oligo	405	7973	-1.328	0.3561	0.122	-13.8	5e-05
ABCD PLS2, HCP-MMP	Per	38	7973	0.3153	0.3613	0.404	-0.1141	0.9054
AHBA C3	Astro	471	7973	-0.09385	0.006726	0.01157	-8.69	5e-05
AHBA C3	Endo	537	7973	-0.09331	0.006618	0.01078	-9.267	5e-05
AHBA C3	Micro	391	7973	-0.1018	0.006842	0.01278	-8.507	5e-05
AHBA C3	Neuro	600	7973	0.1775	0.006686	0.0102	16.75	5e-05
AHBA C3	Neuro-Ex	862	7973	0.1739	0.006688	0.008252	20.26	5e-05
AHBA C3	Neuro-In	638	7973	0.1042	0.006782	0.009839	9.9	5e-05
AHBA C3	OPC	96	7973	-0.05404	0.006982	0.02597	-2.35	0.01835
AHBA C3	Oligo	405	7973	-0.1853	0.006774	0.01242	-15.47	5e-05
AHBA C3	Per	38	7973	-0.06224	0.006945	0.04202	-1.646	0.1009
