option	ds	component	reference	rho	p_spin	n_regions	sal_dCT	p_spin_component
opt1_dCT	ds0	PLS1	NSPN_PLS2	-0.5443	0.0148	33	1	0.05979
opt1_dCT	ds0	PLS1	NSPN_CT_delta	0.411	0.05799	33	1	0.05979
opt1_dCT	ds0	PLS1	NSPN_MT_delta	-0.265	0.2503	33	1	0.05979
opt1_dCT	ds0	PLS1	NSPN_CT	0.4551	0.05619	33	1	0.05979
opt1_dCT	ds0	PLS1	NSPN_MT	-0.353	0.145	33	1	0.05979
opt1_dCT	ds0	PLS1	C1_shipped	-0.7607	0.0012	33	1	0.05979
opt1_dCT	ds0	PLS1	C2_shipped	0.01738	0.9514	33	1	0.05979
opt1_dCT	ds0	PLS1	C3_shipped	-0.2607	0.2308	33	1	0.05979
opt1_dCT	ds0	PLS1	C1_recomputed_ds0	-0.7961	0.0009998	33	1	0.05979
opt1_dCT	ds0	PLS1	C2_recomputed_ds0	0.1564	0.6479	33	1	0.05979
opt1_dCT	ds0	PLS1	C3_recomputed_ds0	-0.3954	0.04219	33	1	0.05979
opt2_dCT_CT	ds0	PLS1	NSPN_PLS2	-0.2287	0.4827	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	NSPN_CT_delta	0.07203	0.7818	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	NSPN_MT_delta	-0.004345	0.9888	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	NSPN_CT	0.6498	0.0102	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	NSPN_MT	-0.6688	0.005599	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C1_shipped	-0.9719	0.0009998	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C2_shipped	0.1193	0.7954	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C3_shipped	0.04044	0.8568	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C1_recomputed_ds0	-0.9856	0.0009998	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C2_recomputed_ds0	0.2106	0.6579	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS1	C3_recomputed_ds0	0	1	33	0.3607	0.0003999
opt2_dCT_CT	ds0	PLS2	NSPN_PLS2	-0.6874	0.0024	33	0.9327	0.0016
opt2_dCT_CT	ds0	PLS2	NSPN_CT_delta	0.7649	0.0009998	33	0.9327	0.0016
opt2_dCT_CT	ds0	PLS2	NSPN_MT_delta	-0.6183	0.002599	33	0.9327	0.0016
opt2_dCT_CT	ds0	PLS2	NSPN_CT	-0.3696	0.1098	33	0.9327	0.0016
opt2_dCT_CT	ds0	PLS2	NSPN_MT	0.4789	0.023	33	0.9327	0.0016
