label,thinning_score,dCT,NSPN_PLS2,C3_recomputed
lh_bankssts,48.126,-0.022104,0.015,35.317
lh_caudalanteriorcingulate,-93.654,-0.01826,-0.04,-66.193
lh_caudalmiddlefrontal,11.053,-0.014622,0.08,-1.9937
lh_cuneus,66.091,-0.019324,0.01,-7.5535
lh_entorhinal,-160.22,-0.00213,-0.16,-61.201
lh_fusiform,-9.6592,-0.01703,-0.04,22.336
lh_inferiorparietal,32.528,-0.024746,0.02,19.393
lh_inferiortemporal,-12.614,-0.018916,-0.01,23.714
lh_isthmuscingulate,-5.8128,-0.020392,-0.07,-17.062
lh_lateraloccipital,60.107,-0.015502,0.005,5.993
lh_lateralorbitofrontal,13.826,-0.021867,0.03,19.166
lh_lingual,48.615,-0.018579,-0.05,-4.4758
lh_medialorbitofrontal,-4.9106,-0.022854,0.035,27.522
lh_middletemporal,-11.514,-0.018879,0,14.733
lh_parahippocampal,-72.876,-0.014441,-0.16,-14.652
lh_paracentral,19.961,-0.023461,-0.03,-21.113
lh_parsopercularis,-3.5535,-0.015433,0.06,9.9124
lh_parsorbitalis,33.341,-0.026793,0.06,30.706
lh_parstriangularis,33.045,-0.021548,0.095,21.751
lh_pericalcarine,41.478,-0.012403,-0.08,-30.773
lh_postcentral,17.786,-0.018256,-0.015,-22.267
lh_posteriorcingulate,-5.4518,-0.020387,-0.02,-7.5847
lh_precentral,2.7983,-0.0063841,0,-27.297
lh_precuneus,43.617,-0.024852,0.005,19.077
lh_rostralanteriorcingulate,-49.428,-0.020111,-0.16,-10.068
lh_rostralmiddlefrontal,32.791,-0.024012,0.08,27.304
lh_superiorfrontal,4.3326,-0.020944,0.01,1.7509
lh_superiorparietal,36.419,-0.022519,0.015,7.9577
lh_superiortemporal,-1.6817,-0.01591,-0.005,21.881
lh_supramarginal,23.046,-0.020051,0.01,28.523
lh_temporalpole,-141.1,-0.0063399,-0.12,-23.522
lh_transversetemporal,33.705,-0.01826,-0.01,-23.331
lh_insula,-30.193,-0.017649,-0.025,2.0509
