parcellation,label,variable,value
DK,lh_bankssts,dCT rate,-0.0221043
DK,lh_caudalanteriorcingulate,dCT rate,-0.0182596
DK,lh_caudalmiddlefrontal,dCT rate,-0.0146222
DK,lh_cuneus,dCT rate,-0.0193237
DK,lh_entorhinal,dCT rate,-0.00213003
DK,lh_fusiform,dCT rate,-0.0170301
DK,lh_inferiorparietal,dCT rate,-0.0247459
DK,lh_inferiortemporal,dCT rate,-0.0189164
DK,lh_insula,dCT rate,-0.0176494
DK,lh_isthmuscingulate,dCT rate,-0.0203922
DK,lh_lateraloccipital,dCT rate,-0.0155018
DK,lh_lateralorbitofrontal,dCT rate,-0.0218674
DK,lh_lingual,dCT rate,-0.0185786
DK,lh_medialorbitofrontal,dCT rate,-0.0228537
DK,lh_middletemporal,dCT rate,-0.0188791
DK,lh_paracentral,dCT rate,-0.0234605
DK,lh_parahippocampal,dCT rate,-0.014441
DK,lh_parsopercularis,dCT rate,-0.0154329
DK,lh_parsorbitalis,dCT rate,-0.0267934
DK,lh_parstriangularis,dCT rate,-0.0215481
DK,lh_pericalcarine,dCT rate,-0.0124025
DK,lh_postcentral,dCT rate,-0.0182561
DK,lh_posteriorcingulate,dCT rate,-0.0203867
DK,lh_precentral,dCT rate,-0.00638414
DK,lh_precuneus,dCT rate,-0.0248516
DK,lh_rostralanteriorcingulate,dCT rate,-0.0201113
DK,lh_rostralmiddlefrontal,dCT rate,-0.0240117
DK,lh_superiorfrontal,dCT rate,-0.0209438
DK,lh_superiorparietal,dCT rate,-0.0225189
DK,lh_superiortemporal,dCT rate,-0.0159097
DK,lh_supramarginal,dCT rate,-0.0200509
DK,lh_temporalpole,dCT rate,-0.00633994
DK,lh_transversetemporal,dCT rate,-0.0182601
DK,lh_bankssts,dCT + CT,37.8933
DK,lh_caudalanteriorcingulate,dCT + CT,-43.7833
DK,lh_caudalmiddlefrontal,dCT + CT,21.2799
DK,lh_cuneus,dCT + CT,-45.1259
DK,lh_entorhinal,dCT + CT,-88.8021
DK,lh_fusiform,dCT + CT,12.5811
DK,lh_inferiorparietal,dCT + CT,7.15398
DK,lh_inferiortemporal,dCT + CT,15.4565
DK,lh_insula,dCT + CT,14.3519
DK,lh_isthmuscingulate,dCT + CT,-29.9747
DK,lh_lateraloccipital,dCT + CT,-17.5182
DK,lh_lateralorbitofrontal,dCT + CT,37.8334
DK,lh_lingual,dCT + CT,-45.0479
DK,lh_medialorbitofrontal,dCT + CT,48.622
DK,lh_middletemporal,dCT + CT,19.0919
DK,lh_paracentral,dCT + CT,-0.540328
DK,lh_parahippocampal,dCT + CT,-27.9352
DK,lh_parsopercularis,dCT + CT,24.2791
DK,lh_parsorbitalis,dCT + CT,50.2687
DK,lh_parstriangularis,dCT + CT,49.1515
DK,lh_pericalcarine,dCT + CT,-88.8332
DK,lh_postcentral,dCT + CT,-23.3413
DK,lh_posteriorcingulate,dCT + CT,7.67384
DK,lh_precentral,dCT + CT,-5.90924
DK,lh_precuneus,dCT + CT,24.0006
DK,lh_rostralanteriorcingulate,dCT + CT,9.33101
DK,lh_rostralmiddlefrontal,dCT + CT,47.8199
DK,lh_superiorfrontal,dCT + CT,27.6359
DK,lh_superiorparietal,dCT + CT,3.80852
DK,lh_superiortemporal,dCT + CT,20.0187
DK,lh_supramarginal,dCT + CT,24.9967
DK,lh_temporalpole,dCT + CT,-54.1384
DK,lh_transversetemporal,dCT + CT,-32.2989
DK,lh_bankssts,dCT alone,48.1259
DK,lh_caudalanteriorcingulate,dCT alone,-93.6543
DK,lh_caudalmiddlefrontal,dCT alone,11.0529
DK,lh_cuneus,dCT alone,66.0911
DK,lh_entorhinal,dCT alone,-160.216
DK,lh_fusiform,dCT alone,-9.65924
DK,lh_inferiorparietal,dCT alone,32.5275
DK,lh_inferiortemporal,dCT alone,-12.6144
DK,lh_insula,dCT alone,-30.1934
DK,lh_isthmuscingulate,dCT alone,-5.81284
DK,lh_lateraloccipital,dCT alone,60.1072
DK,lh_lateralorbitofrontal,dCT alone,13.8263
DK,lh_lingual,dCT alone,48.6152
DK,lh_medialorbitofrontal,dCT alone,-4.91062
DK,lh_middletemporal,dCT alone,-11.5138
DK,lh_paracentral,dCT alone,19.9609
DK,lh_parahippocampal,dCT alone,-72.8757
DK,lh_parsopercularis,dCT alone,-3.55351
DK,lh_parsorbitalis,dCT alone,33.3407
DK,lh_parstriangularis,dCT alone,33.0454
DK,lh_pericalcarine,dCT alone,41.4777
DK,lh_postcentral,dCT alone,17.7863
DK,lh_posteriorcingulate,dCT alone,-5.45179
DK,lh_precentral,dCT alone,2.79827
DK,lh_precuneus,dCT alone,43.6166
DK,lh_rostralanteriorcingulate,dCT alone,-49.4277
DK,lh_rostralmiddlefrontal,dCT alone,32.7914
DK,lh_superiorfrontal,dCT alone,4.33255
DK,lh_superiorparietal,dCT alone,36.419
DK,lh_superiortemporal,dCT alone,-1.68173
DK,lh_supramarginal,dCT alone,23.0457
DK,lh_temporalpole,dCT alone,-141.101
DK,lh_transversetemporal,dCT alone,33.7052
DK,lh_bankssts,NSPN PLS2,0.015
DK,lh_caudalanteriorcingulate,NSPN PLS2,-0.04
DK,lh_caudalmiddlefrontal,NSPN PLS2,0.08
DK,lh_cuneus,NSPN PLS2,0.01
DK,lh_entorhinal,NSPN PLS2,-0.16
DK,lh_fusiform,NSPN PLS2,-0.04
DK,lh_inferiorparietal,NSPN PLS2,0.02
DK,lh_inferiortemporal,NSPN PLS2,-0.01
DK,lh_insula,NSPN PLS2,-0.025
DK,lh_isthmuscingulate,NSPN PLS2,-0.07
DK,lh_lateraloccipital,NSPN PLS2,0.005
DK,lh_lateralorbitofrontal,NSPN PLS2,0.03
DK,lh_lingual,NSPN PLS2,-0.05
DK,lh_medialorbitofrontal,NSPN PLS2,0.035
DK,lh_middletemporal,NSPN PLS2,0
DK,lh_paracentral,NSPN PLS2,-0.03
DK,lh_parahippocampal,NSPN PLS2,-0.16
DK,lh_parsopercularis,NSPN PLS2,0.06
DK,lh_parsorbitalis,NSPN PLS2,0.06
DK,lh_parstriangularis,NSPN PLS2,0.095
DK,lh_pericalcarine,NSPN PLS2,-0.08
DK,lh_postcentral,NSPN PLS2,-0.015
DK,lh_posteriorcingulate,NSPN PLS2,-0.02
DK,lh_precentral,NSPN PLS2,0
DK,lh_precuneus,NSPN PLS2,0.005
DK,lh_rostralanteriorcingulate,NSPN PLS2,-0.16
DK,lh_rostralmiddlefrontal,NSPN PLS2,0.08
DK,lh_superiorfrontal,NSPN PLS2,0.01
DK,lh_superiorparietal,NSPN PLS2,0.015
DK,lh_superiortemporal,NSPN PLS2,-0.005
DK,lh_supramarginal,NSPN PLS2,0.01
DK,lh_temporalpole,NSPN PLS2,-0.12
DK,lh_transversetemporal,NSPN PLS2,-0.01
DK,lh_bankssts,AHBA C3,35.3166
DK,lh_caudalanteriorcingulate,AHBA C3,-66.1928
DK,lh_caudalmiddlefrontal,AHBA C3,-1.99365
DK,lh_cuneus,AHBA C3,-7.55351
DK,lh_entorhinal,AHBA C3,-61.2011
DK,lh_fusiform,AHBA C3,22.3358
DK,lh_inferiorparietal,AHBA C3,19.3929
DK,lh_inferiortemporal,AHBA C3,23.7138
DK,lh_insula,AHBA C3,2.05089
DK,lh_isthmuscingulate,AHBA C3,-17.0617
DK,lh_lateraloccipital,AHBA C3,5.993
DK,lh_lateralorbitofrontal,AHBA C3,19.1658
DK,lh_lingual,AHBA C3,-4.47576
DK,lh_medialorbitofrontal,AHBA C3,27.5219
DK,lh_middletemporal,AHBA C3,14.7326
DK,lh_paracentral,AHBA C3,-21.1133
DK,lh_parahippocampal,AHBA C3,-14.6525
DK,lh_parsopercularis,AHBA C3,9.9124
DK,lh_parsorbitalis,AHBA C3,30.7061
DK,lh_parstriangularis,AHBA C3,21.7514
DK,lh_pericalcarine,AHBA C3,-30.7732
DK,lh_postcentral,AHBA C3,-22.2674
DK,lh_posteriorcingulate,AHBA C3,-7.58466
DK,lh_precentral,AHBA C3,-27.2972
DK,lh_precuneus,AHBA C3,19.0772
DK,lh_rostralanteriorcingulate,AHBA C3,-10.0683
DK,lh_rostralmiddlefrontal,AHBA C3,27.3043
DK,lh_superiorfrontal,AHBA C3,1.75094
DK,lh_superiorparietal,AHBA C3,7.95773
DK,lh_superiortemporal,AHBA C3,21.8805
DK,lh_supramarginal,AHBA C3,28.5232
DK,lh_temporalpole,AHBA C3,-23.5216
DK,lh_transversetemporal,AHBA C3,-23.3307
HCP,lh_1,dCT rate,-0.0163345
HCP,lh_10r,dCT rate,-0.0314463
HCP,lh_10v,dCT rate,-0.0305893
HCP,lh_11l,dCT rate,-0.0325227
HCP,lh_13l,dCT rate,-0.0241281
HCP,lh_2,dCT rate,-0.0207786
HCP,lh_23c,dCT rate,-0.0256836
HCP,lh_23d,dCT rate,-0.0320542
HCP,lh_24dd,dCT rate,-0.0181253
HCP,lh_24dv,dCT rate,-0.0206152
HCP,lh_25,dCT rate,-0.0245783
HCP,lh_31a,dCT rate,-0.0284143
HCP,lh_31pd,dCT rate,-0.0263172
HCP,lh_31pv,dCT rate,-0.0268147
HCP,lh_33pr,dCT rate,-0.0110197
HCP,lh_3a,dCT rate,-0.0171841
HCP,lh_3b,dCT rate,-0.0147493
HCP,lh_4,dCT rate,-0.00657174
HCP,lh_43,dCT rate,-0.0151529
HCP,lh_44,dCT rate,-0.0148045
HCP,lh_45,dCT rate,-0.0218987
HCP,lh_46,dCT rate,-0.0223157
HCP,lh_47l,dCT rate,-0.0230997
HCP,lh_47s,dCT rate,-0.0206537
HCP,lh_52,dCT rate,-0.0174913
HCP,lh_55b,dCT rate,-0.00517589
HCP,lh_5L,dCT rate,-0.0271302
HCP,lh_5mv,dCT rate,-0.0268678
HCP,lh_6a,dCT rate,-0.00861955
HCP,lh_6d,dCT rate,-0.000135853
HCP,lh_6ma,dCT rate,-0.0150135
HCP,lh_6mp,dCT rate,-0.0100773
HCP,lh_7AL,dCT rate,-0.02247
HCP,lh_7Am,dCT rate,-0.0277032
HCP,lh_7PC,dCT rate,-0.0198141
HCP,lh_7Pm,dCT rate,-0.0289813
HCP,lh_7m,dCT rate,-0.0269963
HCP,lh_8Ad,dCT rate,-0.0151497
HCP,lh_8Av,dCT rate,-0.0197406
HCP,lh_8BL,dCT rate,-0.0253951
