gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
61E3.4			-5.6531						
A1BG	0.916462	-1.4192	0.162768	-0.0179386	-0.80617	-6.28284e-05	8.94145e-05	-0.8197	-1.47924
A1BG-AS1	4.04661	2.52528		0.377001	-0.62448	0.00112565	0.00241462	2.41419	0.95175
A1CF			0.754533			6.01403e-05	0.000193279		
A2M			-2.78008			0.00059871	0.000802077		
A2M-AS1						-3.30512e-05	0.00027319		
A2ML1			-3.03393			-0.00126756	0.00171874		
A2ML1-AS1						0.00136126	0.00193651		
A2ML1-AS2						-0	-0		
A3GALT2			2.66916			0.000217443	0.000868548		
A4GALT			1.66445			8.17271e-06	9.06168e-05		
A4GNT			-2.03746			3.24091e-06	7.90367e-06		
AAAS	1.41751	3.05159	1.85689	-0.0597516	0.600656			0.754201	1.37277
AACS	3.39377	2.98574	2.02624			0.0100467	0.00742801		
AADAC			-1.37481			1.58216e-05	3.5033e-05		
AADACL2			-0.508466						
AADACL3			-5.45906			4.04453e-06	2.62038e-05		
AADACL4			-2.07541			1.06991e-05	3.66501e-05		
AADAT			-1.37532			0.000112879	0.00140138		
AAED1	0.146146	-1.47846	-1.30027	-0.190459	-0.722689			-0.461101	-1.10387
AAGAB	6.40047	4.16944	2.05254	0.345811	-0.261427	0.00310507	0.00650889	3.58288	2.83396
AAK1	-0.0589938	1.47384	-2.21616	0.0572984	0.696944	0.0170212	0.0262704	0.417945	1.30047
AAMDC	-4.39352	-4.84906	-2.29404			-0.0026772	0.00208613		
AAMP			0.33143			0.000695523	0.00134184		
AANAT			-2.53084			0.000195123	0.000204418		
AAR2	-0.44934	0.497795	0.436193			0.000723021	0.00111148		
AARD	2.93102	3.61971	0.389956	0.173586	0.682209	0.000585518	0.000543026	3.40598	4.11064
AARS	1.66518	2.21919	5.9676	0.265406	0.515276			0.973935	1.26574
AARS2	-2.72679	-2.16329	-7.99323			0.000793502	0.000996011		
AARSD1			3.7965			-0	-0		
AASDH	-3.69888	-1.91068	-5.31672	-0.13053	0.530151	-0.000902572	0.0043434	-1.59534	-0.635714
AASDHPPT	1.53728	1.36409	1.75478			0.00311291	0.00517372		
AASS	-2.86884	-3.54877	-2.82163			-0.00971766	-0.00185042		
AATBC	2.66827	3.19317							
AATF	0.420843	0.141499	2.42245	-0.226538	0.128207			-2.85165	-2.81184
AATK			0.276717			-0.01651	0.0040122		
ABAT			-3.34113			0.00607451	0.00842124		
ABCA1	-2.90169	-3.33965	-7.13884	-0.306279	-0.475041	-0.00584431	0.000113082	-0.367998	-0.571097
ABCA10			2.58682			0.00718337	0.00826677		
ABCA11P			-2.08668						
ABCA12			-1.64393			0.000354437	0.000971708		
ABCA13			-3.85187			-9.57268e-05	0.000414818		
ABCA17P			-3.42975						
ABCA2	0.317658	0.595976	1.50503			-0.0241699	0.000406578		
ABCA3			1.03007			0.0102298	0.0124683		
ABCA4			5.30273			0.000117745	0.000484943		
ABCA5	-1.18978	0.696098	-4.60545	0.12614	0.470729	0.0126787	0.0183813	0.767865	1.59808
ABCA6	-2.48847	0.279907	-2.04327	-0.315624	0.758867	0.00196079	0.00493419	-3.90377	-1.21719
ABCA7	-0.390691	0.915033	-0.915242	-0.0413689	0.673997	0.00171169	0.00244008	-2.17242	-1.27665
ABCA8			2.2871			-0.0239029	-0.00320348		
ABCA9	-3.51702	-0.751442	-1.88469	-0.116211	0.750631	0.00354031	0.00447568	-1.28286	-0.0284421
ABCA9-AS1						8.28777e-05	0.00128154		
ABCB1	-0.945452	-0.0102083	0.319295			0.00316391	0.00525771		
ABCB10	-0.658092	1.12806	1.81277	0.071163	0.616839	0.000987351	0.00343897	1.47827	2.03541
ABCB11			-3.64613						
ABCB4			-0.900709			0.000137594	0.000281524		
ABCB5			1.68426			0.000178948	0.000604512		
ABCB6	3.59711	1.68066	-0.455833	0.169295	-0.601047	-9.00053e-07	2.23679e-05	0.779341	-0.259735
ABCB7	-2.86435	0.37014	-2.28846	-0.312074	0.690748	-0.00163295	0.00324974	-1.31545	0.134464
ABCB8	0.180534	-0.330823	4.02003			0.00284994	0.00319401		
ABCB9	-0.357146	1.15849	2.67166			0.0104167	0.00835892		
ABCC1	-3.03652	0.338876	-3.41966	-0.0910659	0.701201			0.301943	1.0068
ABCC10			2.33875			0.00277554	0.00346054		
ABCC11			3.90889			1.89093e-05	0.000434596		
ABCC12	7.07086	3.81443	8.2649	0.678279	-0.24575	0.000582755	0.0011447	3.11554	2.3638
ABCC13			-0.81646						
ABCC2			0.505987			-0.000197028	0.000484646		
ABCC3			1.26323			0.00186606	0.00180278		
ABCC4	-0.0673012	-1.24284	-0.682805	-0.327071	-0.547624	0.00144489	0.00301999	-1.02735	-1.53848
ABCC5	1.94697	2.43376	-1.87538	0.0416007	0.379108	0.0116379	0.0133522	1.85793	2.71356
ABCC5-AS1						7.04868e-05	0.00016468		
ABCC6	1.01739	-1.18144	-2.49637	0.221514	-0.554626			0.788344	-0.0666227
ABCC8	2.54756	2.69598	2.08899	0.163867	0.718035	0.0102372	0.00836638	3.06829	3.30649
ABCC9	-0.708227	-0.954102	-1.01219	-0.394839	0.0873493	-0.0016578	0.000963014	0.416223	0.427271
ABCD1			2.80797			-9.40942e-06	0.000191737		
ABCD2	-5.80136	-0.42441	0.710413	-0.135956	0.692192	-0.00199094	0.0041837	-2.17245	-1.08677
ABCD3			-2.15522			-0.0036942	0.00391851		
ABCD4			-1.76363	-0.30212	0.282769	0.000398988	0.00197247	0.703838	1.26446
ABCE1			-0.508307			0.000929844	0.00241177		
ABCF1			5.29015						
ABCF2	2.90468	3.41944	5.35334			0.000640519	0.00172556		
ABCF3			2.53008			-0	-0		
ABCG1	-1.99718	-1.17462	-3.94454	-0.185828	0.0746489	-0.00663659	0.00102288	-0.749378	-0.343629
ABCG2	-4.0221	-1.74463	-2.58826	-0.382087	0.435856	7.67929e-05	0.000807499	-3.12728	-2.29095
ABCG4	0.383847	1.63803	1.25062	-0.01732	0.772939	0.000836154	0.00119749	-0.901857	-0.0473458
ABCG5	2.9735	2.37379	3.78035	0.0156461	-0.345572	0.000319784	0.000576451	2.14875	1.40593
ABCG8			-1.48729			0.000482966	0.000555163		
ABHD1	-0.782198	-2.01868	-0.934543	-0.227466	-0.611109	-0.000240299	0.000447172	0.429157	-0.142129
ABHD10	-0.429794	0.793334	-1.47656			0.00103989	0.00118368		
ABHD11	0.663293	2.10658	1.92458	0.0728397	0.665235	0.000353812	0.00125532	1.42753	2.53227
ABHD12	-1.372	-0.132637	-0.703926	-0.334819	0.653025	-0.000728973	0.00717789	-3.43338	-1.9369
ABHD12B	3.62778	2.73718	8.76444	0.230492	-0.151069	0.00123042	0.00182441	2.50622	2.14748
ABHD13	0.916684	2.32719	3.30078	0.119059	0.611648	0.00166271	0.00247777	3.60071	4.21216
ABHD14A	3.14667	3.83039	3.63788			0.000148905	0.000351478		
ABHD14B			4.42178			0.000224484	0.000662326		
ABHD15	-1.33687	-2.3603	1.7347			-0.000268231	1.74326e-05		
ABHD16A			5.1538						
ABHD16B			-8.39762			3.27473e-07	-3.28678e-06		
ABHD17A	-3.58619	0.243006		-0.103075	0.73865	-0.00192697	0.00194691	-0.708999	0.519334
ABHD17B	-3.96705	-0.193516	1.24086	-0.2911	0.704721	-0.00793858	0.00224824	-3.93978	-1.50945
ABHD17C	1.0213	-0.312759	-2.14096	0.17741	-0.672876	0.00275291	0.00315344	2.41619	1.14771
ABHD18			-2.59776						
ABHD2	0.802304	-1.03962	-0.979194			0.00755404	0.0118329		
ABHD3	-3.07665	-1.09264	-2.67495	-0.406747	0.398281	0.000790146	0.00197239	-0.927038	-0.175877
ABHD4	-6.22955	-5.8405	-5.01448			-0.000316163	-2.03334e-05		
ABHD5	-5.24185	-1.44058	2.13734			0.00205089	0.00440976		
ABHD6	-1.0601	0.352821	-2.3327	-0.332734	0.566422	-0.00546546	0.00410936	-3.91075	-2.20704
ABHD8	5.00559	5.3249	6.10747			0.00535966	0.00527528		
ABI1	2.04328	-0.763488	-0.578729	0.172042	-0.711491	-0.00196051	0.00849536	2.30535	0.506792
ABI2	1.03769	-0.607473	-2.62343	0.292609	-0.493053	0.0169167	0.0234512	0.677106	0.0564736
ABI3	-2.24155	-2.96721	-2.13617			1.31318e-05	0.000169668		
ABI3BP			-8.1695			0.00488092	0.0033037		
ABL1			-1.9361			-0.00414404	0.00796215		
ABL2	3.26472	4.68788	-1.22285	0.256441	0.481091	0.00669707	0.0122939	2.89933	3.39967
ABLIM1			-2.39273	-0.387981	0.0414134	0.0103353	0.0169845	0.44728	0.722951
ABLIM2	1.04579	-1.0787	3.35604	0.348891	-0.770465	0.0238193	0.0175164	0.76099	-0.515092
ABLIM3	4.12042	-0.0780102	-1.9014	0.0610266	-0.819999	0.00579614	0.00507293	4.01508	1.3015
ABO			-3.53776						
ABP1			0.748728						
ABR	-1.07951	-1.62209	-2.58729	0.131019	-0.464917			0.567683	0.168781
ABRA			2.07473			2.80026e-05	6.33633e-05		
ABRACL	1.78125	3.44125	0.423534	0.400472	0.574116	0.00224368	-0.000504064	1.29841	1.8938
ABRAXAS1			1.82959						
ABRAXAS2	3.7769	2.59006	-0.361731						
ABT1			2.55421						
ABTB1	3.3215	4.29901	8.95222	0.31366	0.740217	0.000467505	0.00287247	3.83996	4.00017
ABTB2	-5.15341	-1.08267	-5.55439	-0.54308	0.648505	-0.0137756	-0.000665217	-8.11101	-3.62359
AC002351.1			-1.37492						
AC002472.1			-3.1687						
AC002472.8			-1.65527						
AC002472.9			2.84419						
AC002511.1			-0.440873						
AC002563.2			-3.63769						
AC003999.1			-0.817869						
AC004053.1			-2.49563						
AC004080.12			1.43773						
AC004241.1			-1.092						
AC004381.2			0.252921						
AC004409.1			-1.34524						
AC004690.2			0.935466						
AC004790.2			-2.71345						
AC004797.1			-1.23805						
AC004863.6			1.7309						
AC004980.7			-1.61793						
AC005014.1			-2.09088						
AC005041.9			0.586952						
AC005077.3			-3.88237						
AC005152.2			-5.34776						
AC005277.1			-0.346142						
AC005301.1			-4.1021						
AC005358.1			-0.239754						
AC005393.1			-3.94155						
AC005488.13			-1.97919						
AC005512.1			-3.21925						
AC005551.1			9.78857						
AC005829.1			-3.7207						
AC005840.2			-1.7057						
AC005921.3			-2.02256						
AC005962.2			-0.306478						
AC006014.8			-4.19838						
AC006273.1			-0.073742						
AC006276.1			2.3949						
AC006517.3			-1.47298						
AC007276.5			-3.5128						
AC007364.1			-0.015846						
AC007405.8			-5.61488						
AC007510.1			-2.09819						
