gene	DK_PLS2_matchedX	DK_PLS1_dCTonly_matchedX
A1BG	0.208026	-1.66574
A1BG-AS1	3.91345	2.83847
AAAS	1.38297	2.51873
AAED1	0.719757	-1.07582
AAGAB	6.30678	3.8211
AAK1	0.929832	1.98415
AARD	2.94541	3.47896
AARS	2.14158	2.61513
AASDH	-2.90524	-1.46377
AATF	0.511899	0.332614
ABCA1	-2.82767	-3.19379
ABCA5	-0.703044	0.882336
ABCA6	-2.25486	0.259016
ABCA7	-0.282444	0.931775
ABCA9	-3.64405	-1.11663
ABCB10	-0.0677921	1.47631
ABCB6	3.70038	1.90581
ABCB7	-2.80201	0.0991547
ABCC1	-2.55247	0.618404
ABCC12	6.38012	3.59393
ABCC4	-0.362034	-1.39999
ABCC5	-0.131059	1.06281
ABCC6	0.579626	-1.21408
ABCC8	2.51357	2.55481
ABCC9	-0.715776	-0.844337
ABCD2	-4.60858	-0.385285
ABCD4	-1.61527	0.298274
ABCG1	-1.96973	-1.37631
ABCG2	-4.09079	-1.46544
ABCG4	0.47265	1.56146
ABCG5	3.00113	2.20956
ABHD1	-1.35933	-2.25629
ABHD11	0.364726	1.87328
ABHD12	-1.34406	-0.0418936
ABHD12B	3.36909	2.73303
ABHD13	1.29496	2.47098
ABHD17A	-2.27986	0.373819
ABHD17B	-2.9194	-0.0568281
ABHD17C	1.27553	-0.223963
ABHD3	-3.22406	-1.44568
ABHD6	-1.06086	0.225247
ABI1	2.15363	-0.791459
ABI2	1.75867	-0.294058
ABL2	3.76036	4.60026
ABLIM1	-0.896809	-0.809641
ABLIM2	0.767538	-1.15814
ABLIM3	3.95836	-0.00624821
ABR	-0.770944	-1.23432
ABRACL	2.06143	3.59694
ABTB1	3.53613	4.04662
ABTB2	-5.25585	-1.10384
ACADL	0.665268	-1.02531
ACADS	1.29184	-0.104971
ACADSB	-0.248913	1.2044
ACAN	-2.20626	0.192831
ACAP3	-0.599452	-0.908529
ACAT2	1.80321	0.63952
ACER3	0.672764	1.55102
ACHE	1.80384	1.59848
ACKR1	-0.172775	-0.794846
ACKR3	0.861098	-0.959709
ACO1	-4.18073	-3.05047
ACO2	-0.141908	-1.13645
ACOT13	-0.734077	-1.60874
ACOT2	1.1629	-1.20581
ACOT8	0.76778	-0.954956
ACOX2	-1.03983	-1.792
ACOX3	3.12042	0.991243
ACP1	0.756283	-1.17379
ACSF2	-1.16923	-1.9422
ACSF3	3.34826	3.46989
ACSL1	1.18687	1.63229
ACSL3	4.0253	4.1825
ACSL4	3.93873	0.68684
ACSL6	-2.86695	0.210477
ACSS2	0.799855	1.51046
ACSS3	-0.132722	-1.11869
ACTA1	3.1227	2.2913
ACTB	0.165199	-1.57502
ACTC1	3.94396	1.5285
ACTG1	4.0953	-0.138542
ACTG1P4	-0.400427	-1.49498
ACTL6A	-3.33933	-2.7779
ACTN1	2.1716	1.56316
ACTN2	5.35834	4.07401
ACTN4	1.9597	2.38163
ACTR10	3.23802	-0.078885
ACTR1A	2.32394	0.338094
ACTR1B	1.05534	2.10206
ACTR3	-0.544493	-1.72682
ACTR3B	3.39919	-0.465007
ACTR3C	-2.33268	-3.31297
ACTR5	0.505398	1.2576
ACVR1	-4.01124	-0.783159
ACVR1C	-0.929376	0.979762
ACVR2A	0.640599	-0.562374
ACVR2B	1.62751	0.0789503
ACVRL1	-0.348862	0.637127
ACY3	-2.04867	-2.5754
ACYP2	-0.999377	0.437112
ADAD2	-1.18498	-1.47135
ADAL	-2.07295	-1.47017
ADAM15	-5.46615	-1.42937
ADAM17	1.23422	1.52845
ADAM20P1	3.98227	4.30602
ADAM22	1.64532	2.2576
ADAM23	0.576445	1.59543
ADAM28	-2.70289	-3.07779
ADAM8	1.11094	1.97036
ADAM9	-0.841502	1.13913
ADAMTS13	-0.522439	1.28862
ADAMTS19	4.13505	0.818753
ADAMTS2	1.17096	1.17397
ADAMTS3	4.90479	1.16219
ADAMTS4	-0.615644	0.134873
ADAMTS5	-0.139646	1.39575
ADAMTS8	3.20385	0.223168
ADAMTS9	-1.49247	-2.81222
ADAMTSL1	-1.80006	-1.15805
ADAMTSL2	1.14927	0.535846
ADAMTSL3	-0.342004	-0.715443
ADAP2	-4.25016	-3.36516
ADARB2-AS1	-0.831619	-0.303059
ADCY1	-0.56252	0.442903
ADCY2	3.84416	2.06532
ADCY3	0.0349323	1.29293
ADCY4	-0.707558	0.314448
ADCY7	4.47066	0.845375
ADCY8	-4.5049	-2.81184
ADCY9	-1.25896	0.578971
ADCYAP1	6.11118	3.43535
ADCYAP1R1	-1.50241	-2.0041
ADD1	-0.883391	1.13674
ADGRA1	1.25479	2.41074
ADGRA2	2.19316	2.71539
ADGRA3	-1.17683	-1.90946
ADGRB3	3.55691	0.666574
ADGRE5	0.0268153	0.585171
ADGRF5	4.26578	2.43688
ADGRG1	-0.684023	-1.68532
ADGRG6	-0.782762	-1.79847
ADGRL2	0.681658	1.4677
ADGRL3	1.59069	-0.861284
ADGRL4	-0.832721	0.549453
ADGRV1	-1.23952	-2.055
ADH5	0.542417	-0.940607
ADI1	-2.43923	-2.69073
ADIPOR1	-1.32303	-2.41693
ADIRF	-3.09178	-3.18829
ADK	-0.175274	-1.60352
ADM	-5.50743	-2.06424
ADM5	1.89063	-0.529397
ADNP	4.19466	2.94775
ADNP2	2.37558	3.23121
ADO	2.53504	3.09746
ADORA2B	-0.236715	-1.08317
ADPRHL1	3.26065	3.80536
ADPRHL2	2.77732	1.63366
ADRA1A	0.0424454	0.0625423
ADRA1B	2.40005	1.14018
ADRA1D	3.10133	3.09997
ADRA2A	0.0936996	1.06294
ADRA2C	1.56952	-0.997017
ADRB1	1.90278	2.89835
ADRB2	-2.10052	-2.40956
ADSSL1	-0.927185	0.816012
ADTRP	4.89847	1.55907
AEBP1	0.374556	0.179321
AEBP2	1.58053	3.33165
AFAP1L1	1.80706	2.29522
AFAP1L2	2.89015	3.45526
AFDN	-0.897418	-1.85871
AFDN-DT	-2.69001	-1.78824
AFF1	-3.14178	-0.272734
AFF2	-1.76402	-2.14701
AFTPH	2.36551	2.73044
AGA	-0.89406	-2.33622
AGAP1	-1.53205	-1.75835
AGAP2	-0.116474	-1.32397
AGAP3	-0.014266	-1.45489
AGFG2	-1.01776	-1.71185
AGK	1.35776	1.73524
AGMAT	1.18886	0.723748
AGO1	0.329565	2.06581
AGO3	-2.17042	0.161127
AGO4	-0.0837284	0.723383
AGPAT2	3.54614	1.27721
AGPAT3	-0.0989207	0.859397
AHCY	0.309164	-0.967673
AHI1	-0.489215	1.47521
AHNAK	-1.64648	-2.23857
AHNAK2	2.0313	1.71628
AHR	0.721545	-0.35642
AHRR	2.8119	-0.350185
AHSG	3.68595	2.70454
AIF1	-2.11357	-2.5042
AIFM2	2.91585	-0.0831952
AIFM3	-3.19587	-0.977755
AIG1	4.32954	2.91105
AIM2	-3.28789	-2.31936
AIP	1.0996	2.14178
AIRE	0.96567	0.910694
AJAP1	2.08253	1.77991
AK1	-0.291048	0.660399
AK2	-1.47558	-0.224667
AK4	-0.100572	-1.58116
AK5	3.3669	0.0555402
AK9	1.02416	2.10654
AKAIN1	-0.0284347	1.04696
AKAP1	-1.63656	0.061786
AKAP10	2.38001	2.98689
AKAP12	1.51918	1.84212
AKAP13	-0.305092	-0.0579061
AKAP14	-3.11925	-3.56227
AKAP17A	-0.720366	0.417308
AKAP5	0.670318	-1.0223
AKAP7	-1.85741	-1.10942
