sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
all	totprob	grad_slope	base	-0.016257	0.009634	0.091518	8187	-0.015159
all	totprob	grad_slope	+global	-0.022971	0.010086	0.022756	8187	-0.021419
all	totprob	grad_slope	+global+CT	-0.030039	0.010409	0.0039026	8187	-0.02801
all	totprob	grad_slope	+global+CT+QC	-0.030215	0.010469	0.0039002	8187	-0.028174
all	totprob	grad_fit	base	-0.024866	0.011445	0.029802	8187	-0.023186
all	totprob	grad_fit	+global	-0.030677	0.011773	0.0091678	8187	-0.028605
all	totprob	grad_fit	+global+CT	-0.030024	0.011764	0.010704	8187	-0.027997
all	totprob	grad_fit	+global+CT+QC	-0.031964	0.012032	0.0078925	8187	-0.029805
all	totprob	pls2_beyond_grad	base	0.0055022	0.0091852	0.54916	8187	0.0051306
all	totprob	pls2_beyond_grad	+global	0.0065152	0.0091984	0.47876	8187	0.0060752
all	totprob	pls2_beyond_grad	+global+CT	0.015023	0.0097408	0.123	8187	0.014009
all	totprob	pls2_beyond_grad	+global+CT+QC	0.014994	0.0097374	0.1236	8187	0.013981
all	totprob	ct_grad_slope	base	-0.015204	0.0099078	0.12488	8187	-0.014178
all	totprob	ct_grad_slope	+global	-0.019703	0.010137	0.051945	8187	-0.018372
all	totprob	glob_thin	base	0.016648	0.010144	0.10076	8187	0.015523
all	internal	grad_slope	base	-0.0011644	0.0084553	0.89046	8189	-0.0013016
all	internal	grad_slope	+global	-0.0072841	0.0087794	0.40672	8189	-0.0081419
all	internal	grad_slope	+global+CT	-0.013151	0.0090556	0.14642	8189	-0.0147
all	internal	grad_slope	+global+CT+QC	-0.012349	0.0091058	0.17505	8189	-0.013803
all	internal	grad_fit	base	-0.011207	0.010339	0.27837	8189	-0.012527
all	internal	grad_fit	+global	-0.01707	0.010637	0.10855	8189	-0.01908
all	internal	grad_fit	+global+CT	-0.016474	0.010626	0.12107	8189	-0.018414
all	internal	grad_fit	+global+CT+QC	-0.019345	0.010886	0.075552	8189	-0.021623
all	internal	pls2_beyond_grad	base	-0.007334	0.0080984	0.36514	8189	-0.0081977
all	internal	pls2_beyond_grad	+global	-0.0062058	0.0081031	0.44376	8189	-0.0069366
all	internal	pls2_beyond_grad	+global+CT	0.00057105	0.0085306	0.94663	8189	0.0006383
all	internal	pls2_beyond_grad	+global+CT+QC	0.00045432	0.0085296	0.95752	8189	0.00050782
all	internal	ct_grad_slope	base	-0.013647	0.0087316	0.11807	8189	-0.015254
all	internal	ct_grad_slope	+global	-0.01873	0.0089909	0.037226	8189	-0.020936
all	internal	glob_thin	base	0.01956	0.0090712	0.031067	8189	0.021863
all	external	grad_slope	base	-0.0051156	0.0080031	0.52269	8185	-0.0058674
all	external	grad_slope	+global	-0.0099655	0.0084453	0.238	8185	-0.01143
