outcome	spec	term	beta	se	p	y_sd_beta	n
totprob	low alone	C3-low	0.016485	0.0099523	0.097636	0.015372	8187
totprob	mid alone	C3-mid	0.011535	0.010157	0.2561	0.010756	8187
totprob	high alone	C3-high	0.015494	0.010085	0.12446	0.014448	8187
totprob	low + high	C3-low	0.011193	0.01326	0.39863	0.010437	8187
totprob	low + high	C3-high	0.00803	0.013441	0.55022	0.0074877	8187
totprob	low + high	low - high	0.0031628	0.024331	0.89658	0.0029492	8187
totprob	low + high | CT, QC	C3-low	0.0083684	0.013453	0.5339	0.0078033	8187
totprob	low + high | CT, QC	C3-high	0.00045486	0.015517	0.97661	0.00042414	8187
totprob	low + high | CT, QC	low - high	0.0079136	0.024944	0.75105	0.0073791	8187
internal	low alone	C3-low	0.017846	0.0088277	0.043219	0.019947	8189
internal	mid alone	C3-mid	0.016011	0.0090916	0.078233	0.017896	8189
internal	high alone	C3-high	0.019655	0.0089245	0.027643	0.021969	8189
internal	low + high	C3-low	0.0087474	0.011538	0.44838	0.0097774	8189
internal	low + high	C3-high	0.013814	0.011665	0.2363	0.015441	8189
internal	low + high	low - high	-0.0050671	0.021037	0.80966	-0.0056638	8189
internal	low + high | CT, QC	C3-low	0.0064157	0.011718	0.58404	0.0071713	8189
internal	low + high | CT, QC	C3-high	0.0065298	0.013482	0.62816	0.0072987	8189
internal	low + high | CT, QC	low - high	-0.00011406	0.021576	0.99578	-0.00012749	8189
external	low alone	C3-low	0.014927	0.0085237	0.079913	0.01712	8185
external	mid alone	C3-mid	0.01034	0.0085403	0.22598	0.01186	8185
external	high alone	C3-high	0.014286	0.0084357	0.090366	0.016385	8185
external	low + high	C3-low	0.0098344	0.011357	0.38654	0.01128	8185
external	low + high	C3-high	0.0077243	0.011243	0.49207	0.0088595	8185
external	low + high	low - high	0.0021101	0.020594	0.91839	0.0024202	8185
external	low + high | CT, QC	C3-low	0.012423	0.011487	0.27947	0.014249	8185
external	low + high | CT, QC	C3-high	0.014966	0.01317	0.25581	0.017166	8185
external	low + high | CT, QC	low - high	-0.0025429	0.021166	0.90437	-0.0029166	8185
depress	low alone	C3-low	0.017278	0.0074263	0.019983	0.024464	8181
depress	mid alone	C3-mid	0.020599	0.007644	0.0070433	0.029165	8181
depress	high alone	C3-high	0.019066	0.0077559	0.013961	0.026995	8181
depress	low + high	C3-low	0.0084082	0.0097269	0.38736	0.011905	8181
depress	low + high	C3-high	0.013463	0.010167	0.18544	0.019061	8181
depress	low + high	low - high	-0.0050548	0.018052	0.77947	-0.0071568	8181
depress	low + high | CT, QC	C3-low	0.009515	0.0099095	0.33696	0.013472	8181
depress	low + high | CT, QC	C3-high	0.016987	0.011708	0.1468	0.024052	8181
depress	low + high | CT, QC	low - high	-0.0074725	0.018502	0.6863	-0.01058	8181
anxdisord	low alone	C3-low	0.015165	0.0065901	0.021381	0.023358	8185
