outcome	spec	term	beta	se	p	y_sd_beta	n
totprob	low alone	C3-low	0.01524	0.010002	0.12758	0.014211	8187
totprob	mid alone	C3-mid	0.010878	0.010096	0.28129	0.010143	8187
totprob	high alone	C3-high	0.01438	0.01011	0.15494	0.013409	8187
totprob	low + high	C3-low	0.010359	0.015624	0.50731	0.0096596	8187
totprob	low + high	C3-high	0.0063655	0.015798	0.68699	0.0059356	8187
totprob	low + high	low - high	0.0039938	0.029545	0.89247	0.003724	8187
totprob	low + high | CT, QC	C3-low	0.0044162	0.016068	0.78344	0.0041179	8187
totprob	low + high | CT, QC	C3-high	-0.00055535	0.016913	0.97381	-0.00051784	8187
totprob	low + high | CT, QC	low - high	0.0049715	0.02966	0.86689	0.0046357	8187
internal	low alone	C3-low	0.019588	0.0088609	0.027065	0.021894	8189
internal	mid alone	C3-mid	0.013953	0.0090768	0.12424	0.015596	8189
internal	high alone	C3-high	0.018425	0.0089917	0.040452	0.020595	8189
internal	low + high	C3-low	0.013444	0.013521	0.32008	0.015027	8189
internal	low + high	C3-high	0.0080162	0.013728	0.55926	0.0089602	8189
internal	low + high	low - high	0.0054281	0.02553	0.83162	0.0060673	8189
internal	low + high | CT, QC	C3-low	0.0085853	0.013893	0.53661	0.0095963	8189
internal	low + high | CT, QC	C3-high	0.0015558	0.014742	0.91595	0.0017391	8189
internal	low + high | CT, QC	low - high	0.0070294	0.025663	0.78415	0.0078572	8189
external	low alone	C3-low	0.011948	0.0085337	0.16148	0.013704	8185
external	mid alone	C3-mid	0.010477	0.008493	0.21736	0.012016	8185
external	high alone	C3-high	0.013935	0.0084674	0.099816	0.015983	8185
external	low + high	C3-low	0.0031054	0.013317	0.81561	0.0035618	8185
external	low + high	C3-high	0.011532	0.013211	0.3827	0.013227	8185
external	low + high	low - high	-0.0084264	0.024938	0.73545	-0.0096648	8185
external	low + high | CT, QC	C3-low	0.0060711	0.013621	0.65581	0.0069633	8185
external	low + high | CT, QC	C3-high	0.016072	0.01435	0.2627	0.018434	8185
external	low + high | CT, QC	low - high	-0.010001	0.025082	0.69009	-0.011471	8185
depress	low alone	C3-low	0.020733	0.0074781	0.0055633	0.029354	8181
depress	mid alone	C3-mid	0.018461	0.0075235	0.014136	0.026138	8181
depress	high alone	C3-high	0.019605	0.0078114	0.012082	0.027757	8181
depress	low + high	C3-low	0.014006	0.011291	0.21482	0.01983	8181
depress	low + high	C3-high	0.0087737	0.011823	0.45804	0.012422	8181
depress	low + high	low - high	0.0052323	0.021627	0.80884	0.007408	8181
depress	low + high | CT, QC	C3-low	0.015379	0.011616	0.18552	0.021774	8181
depress	low + high | CT, QC	C3-high	0.01193	0.012731	0.3487	0.016892	8181
depress	low + high | CT, QC	low - high	0.0034483	0.02177	0.87414	0.0048822	8181
anxdisord	low alone	C3-low	0.017161	0.0066145	0.0094731	0.026432	8185
anxdisord	mid alone	C3-mid	0.013591	0.0068191	0.046248	0.020934	8185
