outcome	spec	term	beta	se	p	y_sd_beta	n
totprob	fast alone	thin_fast	0.0038152	0.0099569	0.7016	0.0035575	8187
totprob	mid alone	thin_mid	0.020972	0.010087	0.037594	0.019556	8187
totprob	slow alone	thin_slow	0.023871	0.010315	0.020657	0.022259	8187
totprob	fast + slow	thin_fast	-0.031485	0.01529	0.039468	-0.029359	8187
totprob	fast + slow	thin_slow	0.048331	0.015847	0.0022894	0.045067	8187
totprob	fast + slow	slow - fast	0.079816	0.029205	0.0062762	0.074426	8187
totprob	fast + slow | CT, QC	thin_fast	-0.051477	0.017596	0.0034388	-0.048	8187
totprob	fast + slow | CT, QC	thin_slow	0.049965	0.016091	0.0019024	0.04659	8187
totprob	fast + slow | CT, QC	slow - fast	0.10144	0.030328	0.00082327	0.09459	8187
internal	fast alone	thin_fast	0.012	0.0089427	0.17964	0.013413	8189
internal	mid alone	thin_mid	0.022094	0.0089819	0.013899	0.024696	8189
internal	slow alone	thin_slow	0.021464	0.0091393	0.018846	0.023992	8189
internal	fast + slow	thin_fast	-0.0085258	0.013554	0.52933	-0.0095297	8189
internal	fast + slow	thin_slow	0.028086	0.013859	0.04271	0.031394	8189
internal	fast + slow	slow - fast	0.036612	0.025656	0.15357	0.040923	8189
internal	fast + slow | CT, QC	thin_fast	-0.024133	0.015497	0.1194	-0.026975	8189
internal	fast + slow | CT, QC	thin_slow	0.028913	0.01409	0.040169	0.032318	8189
internal	fast + slow | CT, QC	slow - fast	0.053046	0.026594	0.046085	0.059292	8189
external	fast alone	thin_fast	0.0093304	0.0083119	0.26164	0.010702	8185
external	mid alone	thin_mid	0.014942	0.0085005	0.078791	0.017138	8185
external	slow alone	thin_slow	0.015945	0.0087712	0.069089	0.018288	8185
external	fast + slow	thin_fast	-0.0053685	0.012721	0.67301	-0.0061575	8185
external	fast + slow	thin_slow	0.020116	0.013424	0.134	0.023072	8185
external	fast + slow	slow - fast	0.025484	0.024508	0.29843	0.029229	8185
external	fast + slow | CT, QC	thin_fast	-0.0015219	0.01458	0.91686	-0.0017456	8185
external	fast + slow | CT, QC	thin_slow	0.022295	0.013683	0.10323	0.025572	8185
external	fast + slow | CT, QC	slow - fast	0.023817	0.025359	0.34763	0.027318	8185
depress	fast alone	thin_fast	0.015968	0.0074935	0.033093	0.022609	8181
