,thinning_score,C1,C2,C3,dCT,CT
lh_V1,-17.4542,2.12011,-2.12656,-1.90591,-0.00981564,1.83775
lh_V2,-19.0463,2.04986,-1.77458,-1.48774,-0.0205381,2.03599
lh_V3,-4.81633,2.03484,-1.89912,-1.29937,-0.0203401,2.24711
lh_V4,-7.32205,1.62756,-1.54241,-0.480772,-0.0185602,2.34854
lh_4,-56.9944,1.26505,1.48297,-2.01289,-0.00660797,2.76368
lh_3b,-50.176,1.74933,-0.276022,-2.38483,-0.0152141,1.71094
lh_FEF,-28.9831,0.368128,1.88927,-0.605317,-0.00356862,2.71778
lh_55b,-40.4449,0.482588,2.35455,-0.750999,-0.00523114,2.95507
lh_V3A,1.18549,1.92001,-1.45017,-0.46184,-0.0201431,2.26042
lh_RSC,-8.44101,0.721925,-0.189659,-0.611172,-0.01463,2.39675
lh_POS2,21.44,1.10881,-0.216043,1.10435,-0.0232633,2.48049
lh_IPS1,-18.5615,1.41622,-0.773098,-1.25222,-0.0249624,2.3532
lh_FFC,0.307953,0.242502,-0.834811,0.980555,-0.0188821,2.89481
lh_A1,-32.587,1.65139,-0.869557,-2.01302,-0.0211351,2.69328
lh_PSL,13.0893,0.306398,0.0802686,1.44304,-0.0187853,2.9433
lh_SFL,-35.1074,0.0286624,2.1207,-0.799577,-0.0197293,3.29346
lh_PCV,12.0633,0.699377,-0.0868621,0.319168,-0.0244587,2.62721
lh_STV,7.89605,0.0656365,0.268824,1.22222,-0.0203689,2.91832
lh_7Pm,18.8665,1.09123,0.229345,0.999146,-0.0295698,2.67236
lh_7m,2.83627,1.28124,-0.508344,-0.260952,-0.0276757,2.78536
lh_POS1,17.7395,0.431601,-0.585838,0.949841,-0.0248085,2.86407
lh_23d,9.63533,-0.370406,0.36852,0.231694,-0.0321608,3.18381
lh_d23ab,12.4446,0.275201,-0.570582,-0.533134,-0.0314734,3.24947
lh_31pv,23.5774,0.738355,-0.358806,0.981548,-0.0269511,2.61569
lh_5mv,16.9608,0.537936,-0.525107,0.000728977,-0.0272194,2.44569
lh_23c,4.9774,-0.348565,0.541031,-0.102357,-0.0257388,2.61472
lh_5L,-3.69986,0.636314,-0.0189418,-0.378335,-0.0276613,2.5032
lh_24dd,-30.9689,0.596163,1.53712,-1.23126,-0.0179946,2.95261
lh_24dv,-3.37969,-0.795558,0.533877,-1.02538,-0.0206271,2.81989
lh_7AL,1.84046,0.741154,-0.0425223,0.299826,-0.0229897,2.46937
lh_SCEF,-29.0207,0.115468,2.00374,-0.710137,-0.0166387,3.08396
lh_6ma,-22.6083,-0.15871,1.71415,-0.195281,-0.0148737,3.03817
lh_7Am,4.57276,0.695755,0.0555892,0.00292805,-0.0282461,2.60093
lh_7PC,-18.5002,0.813794,0.368993,-0.66671,-0.0202317,2.59027
lh_LIPv,-14.8268,1.15483,-0.0274485,0.252415,-0.0184816,2.33669
lh_VIP,-1.97434,0.994613,0.0253128,-0.243781,-0.0245642,2.61881
lh_MIP,-1.7614,1.13342,-0.232836,-0.283009,-0.0216636,2.36104
lh_1,-35.1542,1.45968,0.540315,-0.947251,-0.0170269,2.53043
lh_2,2.37978,0.824149,-0.0993113,0.601066,-0.0212824,2.30228
lh_3a,-55.5972,1.66199,0.33918,-2.44576,-0.0173819,2.04408
lh_6d,-66.8572,0.89311,2.00656,-2.13149,0.000139984,3.01413
lh_6mp,-57.5458,0.431711,2.28328,-1.73448,-0.00986591,2.87135
lh_p24pr,-5.50603,-0.928579,0.912614,-0.633267,-0.0286572,3.02727
lh_33pr,-36.4474,-1.42878,-0.0500816,-2.78562,-0.0111629,2.39226
lh_a24pr,-14.0496,-1.40209,0.256524,-1.9079,-0.0273832,3.07957
lh_p32pr,3.44508,-0.53642,1.60712,-0.0325678,-0.020462,2.89105
lh_a24,25.5326,-1.78344,-0.707602,-1.13557,-0.0232392,2.96317
lh_d32,15.5024,-1.14663,0.530672,-0.251635,-0.023817,3.01528
lh_8BM,2.08427,-0.302781,1.67262,0.276188,-0.0242287,3.26041
lh_p32,31.2239,-1.30067,-0.0244998,-0.0990243,-0.0264717,2.62582
lh_10r,42.3322,-0.68931,-0.149172,1.10293,-0.0318515,2.4979
lh_8Av,-19.034,0.0939365,1.8122,-0.292834,-0.0198954,2.97849
lh_8Ad,-3.24342,-0.0616636,1.65575,0.30109,-0.0153202,2.70967
lh_9m,16.3423,-0.895001,0.776831,0.363464,-0.029477,3.10591
lh_8BL,-16.1198,-0.393402,1.56534,-0.263895,-0.0251587,3.28653
lh_9p,5.10335,-0.398069,1.13713,0.346828,-0.0198356,2.82267
lh_8C,2.60227,0.237464,1.66102,0.387725,-0.0166686,2.69287
lh_44,0.468771,-0.54118,0.986562,0.591689,-0.0149314,2.89331
lh_45,7.02616,-0.0695963,1.30365,1.06861,-0.022027,2.81782
lh_47l,8.21882,-0.22174,1.15525,0.782946,-0.0232615,2.96417
lh_a47r,16.6339,-0.295698,0.453138,1.00363,-0.0289379,2.83746
lh_IFSp,10.4537,0.512682,1.16551,0.743701,-0.0198235,2.65659
lh_IFSa,26.0497,-0.00776582,0.977071,0.870521,-0.0233668,2.62172
lh_p9-46v,11.0947,0.48793,1.1382,0.552504,-0.0227944,2.6451
lh_46,24.7857,-0.205208,1.21769,1.11654,-0.0224733,2.67113
lh_a9-46v,42.6755,-0.059806,0.420775,1.18985,-0.028051,2.58131
lh_9-46d,15.1251,-0.205744,0.35734,0.350561,-0.0231005,2.5152
lh_9a,37.8445,-0.198649,0.202332,1.47316,-0.0238084,2.72054
lh_10v,23.2921,-1.06211,-0.015648,0.16848,-0.0305087,2.88857
lh_11l,29.2298,-0.385458,0.135688,0.850562,-0.0332088,2.85723
lh_13l,23.4961,-0.79279,0.495927,0.831419,-0.0247897,2.84014
lh_OFC,28.2661,-1.38138,-0.213332,0.591579,-0.022334,2.44086
lh_47s,13.6706,-1.36913,0.148166,0.329757,-0.0212292,3.19825
lh_6a,-22.9264,0.0162966,2.02527,-0.399385,-0.00855224,2.67487
lh_i6-8,-28.721,0.339133,2.092,-0.637269,-0.0143711,2.92294
lh_43,-8.47092,0.0605869,1.23126,0.456511,-0.0148337,2.99919
lh_OP4,-16.0594,0.385299,0.188984,-0.106502,-0.0216144,2.91696
lh_52,9.96633,-0.628875,-1.06833,0.0592361,-0.0177845,2.55006
lh_PoI2,-1.40561,-1.90057,-1.0657,-1.585,-0.021851,3.6012
lh_TA2,13.2289,-1.10928,-1.45886,0.457959,-0.00968675,3.05921
lh_FOP4,-6.19472,-0.94216,0.83695,-0.0429287,-0.0154116,2.94971
lh_MI,17.4505,-1.80147,-0.269677,-0.582666,-0.0245597,3.29268
lh_AVI,4.14119,-0.733992,0.868453,0.361394,-0.0202737,2.99492
lh_FOP3,3.24159,-1.01572,-0.459612,-0.48484,-0.0138089,2.67904
lh_PFt,-15.2201,0.419426,0.202429,-0.0675265,-0.0197014,2.63247
lh_AIP,4.26708,0.867618,0.244189,0.712809,-0.0225761,2.44343
lh_EC,-67.8732,-1.24921,-0.446828,-2.63237,-0.0101802,2.44297
lh_PreS,-27.0816,-0.971794,-1.56112,-1.85018,-0.0123012,1.71568
lh_PeEc,-29.4731,-1.89739,-1.13531,-1.79619,-0.00611116,3.07549
lh_STGa,4.90002,-1.67887,-1.35514,-0.112868,-0.0132046,3.62924
lh_PBelt,-23.2083,1.15985,-1.01663,-1.04465,-0.014228,2.70257
lh_A5,3.8913,-0.239209,-0.21176,1.06523,-0.0208073,3.25029
lh_PHA1,-28.4508,-1.03757,-1.12265,-1.65863,-0.014748,2.98954
lh_PHA3,12.5089,-1.06958,-1.6234,0.474079,-0.0173819,2.71116
lh_STSdp,5.02521,0.313021,-0.136688,1.10998,-0.024373,2.72799
lh_STSvp,-1.43138,-0.279481,-0.217973,0.48085,-0.0247548,2.87842
lh_TGd,-9.91451,-1.91955,-1.14749,-0.963901,-0.0123498,3.48697
lh_TE1a,-0.0781364,-1.02731,-0.68102,0.0774407,-0.0177876,3.39257
lh_TE1p,4.3506,-0.486758,-0.524446,1.25773,-0.0185541,3.05063
lh_TE2a,3.07533,-1.14865,-0.725245,0.321337,-0.0183784,2.92012
lh_TF,5.67362,-1.23328,-1.12081,0.712786,-0.017189,2.92048
lh_TE2p,14.8491,-0.645703,-0.928115,1.3367,-0.0180383,2.78149
lh_PHT,1.61244,0.110119,-0.283059,1.02473,-0.0209012,2.99016
lh_PH,11.8136,0.671717,-0.908776,0.872097,-0.0199007,2.69114
lh_TPOJ1,9.74351,0.317889,-0.122045,1.22209,-0.0214571,2.75452
lh_TPOJ2,-5.50382,0.498947,-0.363383,0.760364,-0.0223871,2.70595
lh_DVT,3.89129,1.16893,-0.827504,-0.46209,-0.0254812,2.43308
lh_PGp,8.44056,0.870767,-0.769617,0.339318,-0.0262017,2.82087
lh_IP2,2.39585,0.784298,0.288438,0.694965,-0.0228247,2.49969
lh_IP1,0.480161,1.18664,-0.264865,0.614343,-0.0237197,2.49944
lh_IP0,21.5605,1.14751,-1.01407,0.675677,-0.022748,2.43312
lh_PFop,8.66308,-0.0308032,0.293907,1.14219,-0.0192018,2.93359
lh_PF,7.95802,0.319679,-0.0855875,1.27399,-0.0199577,2.8935
lh_PFm,8.70973,0.46308,0.06399,1.39265,-0.0232995,2.80667
lh_PGi,7.75503,0.450138,-0.243259,0.824966,-0.0245394,2.68847
lh_PGs,17.2777,0.926209,-0.51764,1.21282,-0.0285535,2.8637
lh_VMV1,0.181885,1.25355,-1.47854,0.27371,-0.0199384,2.56941
lh_VMV3,-0.0384107,0.790039,-1.60414,0.658477,-0.0212062,2.63353
lh_PHA2,26.185,-1.36733,-1.50389,0.57116,-0.0188556,2.43973
lh_FST,17.6108,1.03204,-0.939531,1.0996,-0.0205643,2.57203
lh_LO3,10.3188,1.15882,-0.634479,0.92301,-0.0211418,2.53783
