gene_analysis	VARIABLE	NGENES	BETA	BETA_STD	SE	se_std	P
SCZ25_META	ABCD_PLS1_HCP	13887	0.0030477	0.016633	0.001713	0.0093488	0.075237
SCZ25_META	ABCD_PLS2_HCP	13887	0.015916	0.035478	0.0042631	0.0095028	0.00018982
SCZ25_META	AHBA_C1	7002	0.081061	0.047284	0.025729	0.015008	0.0016367
SCZ25_META	AHBA_C3	7002	0.23251	0.060429	0.059155	0.015374	8.5632e-05
MDD_div	ABCD_PLS1_HCP	14339	0.0019561	0.010669	0.0017934	0.0097816	0.27541
MDD_div	ABCD_PLS2_HCP	14339	0.019189	0.042786	0.0044383	0.0098961	1.5484e-05
MDD_div	AHBA_C1	7235	0.02165	0.012644	0.025128	0.014675	0.38895
MDD_div	AHBA_C3	7235	0.27703	0.071897	0.057561	0.014939	1.5218e-06
ASD	ABCD_PLS1_HCP	13810	0.0022896	0.012484	0.0014548	0.0079323	0.11555
ASD	ABCD_PLS2_HCP	13810	0.0013775	0.0030698	0.0035829	0.0079846	0.70065
ASD	AHBA_C1	6963	0.030661	0.017886	0.019855	0.011582	0.12258
ASD	AHBA_C3	6963	0.053216	0.013834	0.045193	0.011748	0.23903
BIP	ABCD_PLS1_HCP	13848	0.00036008	0.001963	0.0017067	0.0093042	0.83291
BIP	ABCD_PLS2_HCP	13848	0.012465	0.027769	0.0041625	0.009273	0.0027536
BIP	AHBA_C1	6979	0.032793	0.019131	0.023956	0.013976	0.17108
BIP	AHBA_C3	6979	0.18037	0.046863	0.054238	0.014092	0.00088757
ADHD	ABCD_PLS1_HCP	13781	0.0017315	0.0094405	0.0015879	0.0086576	0.27553
ADHD	ABCD_PLS2_HCP	13781	0.010693	0.023829	0.0039465	0.0087946	0.0067507
ADHD	AHBA_C1	6955	-0.0023136	-0.0013494	0.021985	0.012823	0.9162
ADHD	AHBA_C3	6955	0.18932	0.049215	0.050589	0.013151	0.00018396
ALZ	ABCD_PLS1_HCP	13866	0.00069172	0.0037732	0.0014955	0.0081577	0.64372
ALZ	ABCD_PLS2_HCP	13866	-0.005216	-0.011621	0.0036879	0.0082165	0.15728
ALZ	AHBA_C1	6988	0.022355	0.013043	0.02162	0.012614	0.30118
ALZ	AHBA_C3	6988	-0.037699	-0.0097964	0.048831	0.012689	0.44013
EA	ABCD_PLS1_HCP	13859	0.0038947	0.021237	0.0017181	0.0093684	0.02342
EA	ABCD_PLS2_HCP	13859	0.0010699	0.0023846	0.0042443	0.0094597	0.80098
EA	AHBA_C1	6985	0.032998	0.01925	0.023986	0.013993	0.16896
EA	AHBA_C3	6985	0.16329	0.042433	0.055981	0.014547	0.0035488
INT	ABCD_PLS1_HCP	14361	0.0019709	0.010753	0.0017388	0.0094867	0.25703
INT	ABCD_PLS2_HCP	14361	0.01527	0.034052	0.0042375	0.0094496	0.0003153
INT	AHBA_C1	7245	0.011417	0.0066681	0.024931	0.014561	0.64702
INT	AHBA_C3	7245	0.26509	0.068808	0.05691	0.014772	3.2542e-06
global_slope_1lmm_hcp	ABCD_PLS1_HCP	13845	-0.00022248	-0.0012141	0.0013638	0.0074424	0.87042
global_slope_1lmm_hcp	ABCD_PLS2_HCP	13845	-0.0015128	-0.0033726	0.0033448	0.0074568	0.65108
global_slope_1lmm_hcp	AHBA_C1	6984	-0.0089697	-0.0052339	0.018384	0.010727	0.62563
global_slope_1lmm_hcp	AHBA_C3	6984	-0.044633	-0.011598	0.042008	0.010916	0.28806
global_slope_1lmm_dk	ABCD_PLS1_HCP	13845	-0.00039916	-0.0021782	0.0013623	0.007434	0.76952
global_slope_1lmm_dk	ABCD_PLS2_HCP	13845	-0.00050854	-0.0011337	0.0033411	0.0074484	0.87903
global_slope_1lmm_dk	AHBA_C1	6984	-0.008095	-0.0047235	0.018347	0.010706	0.65907
global_slope_1lmm_dk	AHBA_C3	6984	-0.038581	-0.010025	0.041925	0.010894	0.35749
global_slope_perregion_hcp	ABCD_PLS1_HCP	13837	-0.00018861	-0.001029	0.0013691	0.0074694	0.89043
global_slope_perregion_hcp	ABCD_PLS2_HCP	13837	0.0036266	0.0080815	0.0033583	0.0074836	0.28021
global_slope_perregion_hcp	AHBA_C1	6978	0.0010662	0.00062212	0.01819	0.010614	0.95326
global_slope_perregion_hcp	AHBA_C3	6978	0.0023217	0.00060321	0.041573	0.010801	0.95547
global_slope_perregion_dk	ABCD_PLS1_HCP	13837	0.00024715	0.0013484	0.0013776	0.0075159	0.85762
global_slope_perregion_dk	ABCD_PLS2_HCP	13837	0.00076857	0.0017127	0.0033791	0.0075301	0.82008
global_slope_perregion_dk	AHBA_C1	6978	-0.0082926	-0.0048387	0.018477	0.010781	0.65359
global_slope_perregion_dk	AHBA_C3	6978	-0.027688	-0.0071938	0.042228	0.010972	0.51205
