gene_analysis	VARIABLE	NGENES	BETA	BETA_STD	SE	se_std	P
SCZ25_META	ABCD_PLS1_HCP	13638	0.0038415	0.019499	0.0018699	0.0094914	0.03996
SCZ25_META	ABCD_PLS2_HCP	13638	0.014321	0.033198	0.0041739	0.0096757	0.00060294
SCZ25_META	AHBA_C1	7002	0.081061	0.047284	0.025729	0.015008	0.0016367
SCZ25_META	AHBA_C3	7002	0.23251	0.060429	0.059155	0.015374	8.5632e-05
MDD_div	ABCD_PLS1_HCP	14084	0.0015416	0.007826	0.0019417	0.0098571	0.42724
MDD_div	ABCD_PLS2_HCP	14084	0.01725	0.039973	0.0043394	0.010056	7.0749e-05
MDD_div	AHBA_C1	7235	0.02165	0.012644	0.025128	0.014675	0.38895
MDD_div	AHBA_C3	7235	0.27703	0.071897	0.057561	0.014939	1.5218e-06
global_slope_1lmm_hcp	ABCD_PLS1_HCP	13596	-0.0012623	-0.006406	0.0014814	0.0075179	0.39419
global_slope_1lmm_hcp	ABCD_PLS2_HCP	13596	-0.0023003	-0.0053321	0.0032604	0.0075576	0.48049
global_slope_1lmm_hcp	AHBA_C1	6984	-0.0089697	-0.0052339	0.018384	0.010727	0.62563
global_slope_1lmm_hcp	AHBA_C3	6984	-0.044633	-0.011598	0.042008	0.010916	0.28806
global_slope_1lmm_dk	ABCD_PLS1_HCP	13596	-0.001552	-0.0078762	0.0014792	0.0075067	0.29411
global_slope_1lmm_dk	ABCD_PLS2_HCP	13596	-0.001888	-0.0043763	0.0032555	0.0075461	0.56197
global_slope_1lmm_dk	AHBA_C1	6984	-0.008095	-0.0047235	0.018347	0.010706	0.65907
global_slope_1lmm_dk	AHBA_C3	6984	-0.038581	-0.010025	0.041925	0.010894	0.35749
global_slope_perregion_hcp	ABCD_PLS1_HCP	13588	-0.0010009	-0.0050778	0.0014876	0.0075469	0.50106
global_slope_perregion_hcp	ABCD_PLS2_HCP	13588	0.0017956	0.0041609	0.0032738	0.0075863	0.58338
global_slope_perregion_hcp	AHBA_C1	6978	0.0010662	0.00062212	0.01819	0.010614	0.95326
global_slope_perregion_hcp	AHBA_C3	6978	0.0023217	0.00060321	0.041573	0.010801	0.95547
global_slope_perregion_dk	ABCD_PLS1_HCP	13588	-0.0008825	-0.0044771	0.0014955	0.007587	0.55515
global_slope_perregion_dk	ABCD_PLS2_HCP	13588	-0.00054089	-0.0012534	0.0032914	0.0076271	0.86947
global_slope_perregion_dk	AHBA_C1	6978	-0.0082926	-0.0048387	0.018477	0.010781	0.65359
global_slope_perregion_dk	AHBA_C3	6978	-0.027688	-0.0071938	0.042228	0.010972	0.51205
