label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_1,2.52381,-0.0163345,49.7786,-24.4304,1.45968,-0.947251,sensorimotor,Somatosensory_and_Motor
lh_10d,2.85808,-0.0320266,-14.6756,28.3288,,,association,Orbital_and_Polar_Frontal
lh_10pp,2.8446,-0.0302634,-10.4563,14.0478,,,association,Orbital_and_Polar_Frontal
lh_10r,2.48747,-0.0314463,-20.9669,51.4298,-0.68931,1.10293,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_10v,2.87984,-0.0305893,-43.341,23.7625,-1.06211,0.16848,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_11l,2.85041,-0.0325227,-8.3895,27.961,-0.385458,0.850562,association,Orbital_and_Polar_Frontal
lh_13l,2.83527,-0.0241281,-32.0482,29.4447,-0.79279,0.831419,association,Orbital_and_Polar_Frontal
lh_2,2.29694,-0.0207786,27.2246,5.89019,0.824149,0.601066,sensorimotor,Somatosensory_and_Motor
lh_23c,2.60317,-0.0256836,-15.8557,10.0958,-0.348565,-0.102357,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_23d,3.17075,-0.0320542,-28.6942,11.2211,-0.370406,0.231694,association,Posterior_Cingulate
lh_24dd,2.94393,-0.0181253,13.2506,-31.5951,0.596163,-1.23126,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_24dv,2.81054,-0.0206152,-30.6752,-7.19088,-0.795558,-1.02538,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_25,3.13868,-0.0245783,-81.553,16.3626,-1.86941,-1.50988,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_31a,2.84622,-0.0284143,5.50683,26.4591,0.442648,0.866428,association,Posterior_Cingulate
lh_31pd,2.48288,-0.0263172,40.3278,-12.4912,0.951625,-0.655135,association,Posterior_Cingulate
lh_31pv,2.60707,-0.0268147,14.0594,30.0296,0.738355,0.981548,association,Posterior_Cingulate
lh_33pr,2.38636,-0.0110197,-62.1622,-46.7174,-1.42878,-2.78562,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_3a,2.0391,-0.0171841,73.211,-57.443,1.66199,-2.44576,sensorimotor,Somatosensory_and_Motor
lh_3b,1.70903,-0.0147493,79.1412,-50.2472,1.74933,-2.38483,sensorimotor,Somatosensory_and_Motor
lh_4,2.75954,-0.00657174,36.7635,-53.1301,1.26505,-2.01289,sensorimotor,Somatosensory_and_Motor
lh_43,2.99019,-0.0151529,-14.2662,2.02923,0.0605869,0.456511,sensorimotor,Posterior_Opercular
