gene	PLS1	PLS2	C1	C3
A1BG	-12.4517	-0.937359	-0.80617	-0.0179386
A1BG-AS1	-11.0147	2.91308	-0.62448	0.377001
AAAS	7.17148	-0.0922506	0.600656	-0.0597516
AAED1	-5.34816	0.784159	-0.722689	-0.190459
AAGAB	-3.84719	3.51826	-0.261427	0.345811
AAK1	3.44566	1.00554	0.696944	0.0572984
AARD	6.76313	3.09089	0.682209	0.173586
AARS	2.86744	1.29711	0.515276	0.265406
AASDH	5.86097	-1.34697	0.530151	-0.13053
AATF	-0.242065	-3.18688	0.128207	-0.226538
ABCA1	-1.10275	-0.222917	-0.475041	-0.306279
ABCA5	5.71932	0.599235	0.470729	0.12614
ABCA6	12.7587	-2.94799	0.758867	-0.315624
ABCA7	5.16447	-1.47722	0.673997	-0.0413689
ABCA9	9.68249	-0.480428	0.750631	-0.116211
ABCB10	6.7512	2.06135	0.616839	0.071163
ABCB6	-8.00468	0.710171	-0.601047	0.169295
ABCB7	3.79713	-1.08224	0.690748	-0.312074
ABCC1	7.98382	-0.286793	0.701201	-0.0910659
ABCC12	-2.42833	4.35724	-0.24575	0.678279
ABCC4	-4.9236	-1.3251	-0.547624	-0.327071
ABCC5	7.931	1.74634	0.379108	0.0416007
ABCC6	-6.1689	0.825071	-0.554626	0.221514
ABCC8	10.6135	3.30087	0.718035	0.163867
ABCC9	-1.11697	0.225089	0.0873493	-0.394839
ABCD2	4.95563	-2.03999	0.692192	-0.135956
ABCD4	5.32639	1.13231	0.282769	-0.30212
ABCG1	2.02898	-0.535739	0.0746489	-0.185828
ABCG2	1.4094	-4.03178	0.435856	-0.382087
ABCG4	4.60595	-0.827857	0.772939	-0.01732
ABCG5	-4.74262	2.0595	-0.345572	0.0156461
ABHD1	-2.19778	0.652443	-0.611109	-0.227466
ABHD11	7.64096	1.58659	0.665235	0.0728397
ABHD12	4.25344	-3.28892	0.653025	-0.334819
ABHD12B	-2.70914	2.89209	-0.151069	0.230492
ABHD13	3.27256	2.18635	0.611648	0.119059
ABHD17A	9.85339	0.185368	0.73865	-0.103075
ABHD17B	6.92784	-4.40068	0.704721	-0.2911
ABHD17C	-6.33094	3.0437	-0.672876	0.17741
ABHD3	2.54514	-0.446496	0.398281	-0.406747
ABHD6	5.35918	-6.17516	0.566422	-0.332734
ABI1	-7.75846	1.60775	-0.711491	0.172042
ABI2	-4.36148	0.974837	-0.493053	0.292609
ABL2	5.02813	2.12721	0.481091	0.256441
ABLIM1	1.73915	-0.650946	0.0414134	-0.387981
ABLIM2	-6.90798	1.59913	-0.770465	0.348891
ABLIM3	-11.5634	2.84672	-0.819999	0.0610266
ABR	-3.46941	0.543201	-0.464917	0.131019
ABRACL	4.19134	1.65007	0.574116	0.400472
ABTB1	5.84408	2.3412	0.740217	0.31366
ABTB2	7.93995	-12.3916	0.648505	-0.54308
ACADL	-6.32975	0.711269	-0.775234	-0.0871907
ACADS	-1.67502	1.86443	-0.468646	-0.0637896
ACADSB	7.87927	0.922277	0.468628	-0.211225
ACAN	10.5637	-8.16232	0.902666	-0.26536
ACAP3	-1.92883	0.84422	-0.266916	0.141286
ACAT2	-5.84693	-1.20381	-0.538292	0.138622
ACER3	4.87833	-0.0304746	0.506823	-0.167412
ACHE	-2.08263	-1.05848	0.219395	0.0495481
ACKR1	-2.31347	-2.44345	-0.275676	0.343167
ACKR3	-6.84713	3.1927	-0.77645	0.00417917
ACO1	0.00934206	-3.95991	-0.0145445	-0.494857
ACO2	-1.78527	-0.729759	-0.361834	-0.231314
ACOT13	-4.22264	-2.31418	-0.195518	-0.0880461
ACOT2	-16.518	1.61258	-0.887183	0.0494165
ACOT8	-10.0866	-0.022521	-0.645634	0.0956993
ACOX2	-3.45903	2.28439	-0.558195	-0.157822
ACOX3	-4.5848	3.70905	-0.697314	0.154876
ACP1	-11.4815	0.0756132	-0.817768	0.116133
ACSF2	-5.41236	-1.05988	-0.599923	-0.127451
ACSF3	2.98499	1.24063	0.713036	0.108143
ACSL1	2.65422	-0.567418	0.106712	-0.302196
ACSL3	6.10673	4.80026	0.636498	0.435091
ACSL4	-9.72631	2.41104	-0.799368	0.254717
ACSL6	9.61304	-4.84303	0.887439	-0.137818
ACSS2	4.76312	-1.11282	0.601315	-0.12045
ACSS3	-2.25385	0.880072	-0.413957	-0.117827
ACTA1	-7.2098	1.3299	-0.480078	0.150651
ACTB	-9.81265	0.393522	-0.696017	0.0661299
ACTC1	-7.98864	2.85333	-0.579401	0.113429
ACTG1	-3.82159	0.191208	-0.820902	0.0670056
ACTG1P4	-11.2267	-1.73985	-0.645906	-0.1248
ACTL6A	1.18218	-3.49681	-0.067252	-0.534981
ACTN1	-5.03718	1.73881	-0.361712	0.502475
ACTN2	-1.68377	4.33973	-0.196432	0.473425
ACTN4	8.48052	-0.917747	0.797521	0.155271
ACTR10	-15.1783	0.85273	-0.830775	0.110479
ACTR1A	-9.11398	-0.472233	-0.64792	0.198537
ACTR1B	6.66536	-0.141484	0.742778	0.358572
ACTR3	-4.09785	-1.20441	-0.580938	-0.0450955
ACTR3B	-14.5871	1.58407	-0.8387	0.140261
ACTR3C	-3.68136	-5.31296	-0.40153	-0.442554
ACTR5	2.93641	3.15853	0.0794278	0.232855
ACVR1	2.48547	-5.14632	0.407023	-0.355435
ACVR1C	8.89801	-0.0467706	0.787935	-0.142884
ACVR2A	-4.70927	2.63854	-0.756903	0.147479
ACVR2B	-1.74777	2.17922	-0.647233	0.212031
ACVRL1	3.14241	-0.349918	0.331372	-0.221023
ACY3	-2.81043	-1.14727	-0.495626	-0.292042
ACYP2	3.07765	-1.72941	0.777631	-0.167938
ADAD2	-1.27803	-1.50594	0.00395687	-0.272415
ADAL	2.05037	-1.57057	0.380273	-0.297926
ADAM15	2.84113	-3.4289	0.512135	-0.472678
ADAM17	2.31526	0.358734	-0.076727	-0.176891
ADAM20P1	6.69393	8.42949	0.451065	0.34942
ADAM22	6.34328	-0.13366	0.833377	0.196637
ADAM23	9.44186	-0.846961	0.913926	0.0755002
ADAM28	-6.58597	-2.68977	-0.596368	-0.323316
ADAM8	9.77389	1.34765	0.563286	0.138386
ADAM9	5.94361	0.779249	0.57436	-0.020966
ADAMTS13	10.6344	0.493398	0.735127	0.0618925
ADAMTS19	-6.49858	4.32386	-0.673827	-0.0687181
ADAMTS2	-0.0964088	0.43744	0.173925	-0.0467557
ADAMTS3	-12.9003	5.45629	-0.734238	0.409143
ADAMTS4	2.85626	-4.17361	0.231847	-0.398959
ADAMTS5	6.29018	-0.80424	0.764815	0.142284
ADAMTS8	-5.62905	0.0575096	-0.535517	0.427525
