gene_analysis	VARIABLE	NGENES	BETA	BETA_STD	SE	se_std	P
SCZ25_META	ABCD_PLS1_HCP	7007	0.0042425	0.030094	0.0021163	0.015012	0.045034
SCZ25_META	ABCD_PLS2_HCP	7007	0.013766	0.036393	0.0057618	0.015232	0.016913
SCZ25_META	AHBA_C1	7002	0.081061	0.047284	0.025729	0.015008	0.0016367
SCZ25_META	AHBA_C3	7002	0.23251	0.060429	0.059155	0.015374	8.5632e-05
MDD_div	ABCD_PLS1_HCP	7237	0.00099291	0.007044	0.0020567	0.014591	0.62927
MDD_div	ABCD_PLS2_HCP	7237	0.020515	0.054104	0.0056305	0.014849	0.000271
MDD_div	AHBA_C1	7235	0.02165	0.012644	0.025128	0.014675	0.38895
MDD_div	AHBA_C3	7235	0.27703	0.071897	0.057561	0.014939	1.5218e-06
global_slope_1lmm_hcp	ABCD_PLS1_HCP	6990	-0.00062792	-0.0044532	0.0015002	0.010639	0.67556
global_slope_1lmm_hcp	ABCD_PLS2_HCP	6990	-0.00090959	-0.0024043	0.0040954	0.010825	0.82424
global_slope_1lmm_hcp	AHBA_C1	6984	-0.0089697	-0.0052339	0.018384	0.010727	0.62563
global_slope_1lmm_hcp	AHBA_C3	6984	-0.044633	-0.011598	0.042008	0.010916	0.28806
global_slope_1lmm_dk	ABCD_PLS1_HCP	6990	-0.00071069	-0.0050401	0.0014989	0.01063	0.63541
global_slope_1lmm_dk	ABCD_PLS2_HCP	6990	0.0011114	0.0029376	0.0040916	0.010815	0.78593
global_slope_1lmm_dk	AHBA_C1	6984	-0.008095	-0.0047235	0.018347	0.010706	0.65907
global_slope_1lmm_dk	AHBA_C3	6984	-0.038581	-0.010025	0.041925	0.010894	0.35749
global_slope_perregion_hcp	ABCD_PLS1_HCP	6984	-0.00018725	-0.0013276	0.0014881	0.010551	0.89987
global_slope_perregion_hcp	ABCD_PLS2_HCP	6984	0.0022378	0.0059123	0.0040629	0.010734	0.58179
global_slope_perregion_hcp	AHBA_C1	6978	0.0010662	0.00062212	0.01819	0.010614	0.95326
global_slope_perregion_hcp	AHBA_C3	6978	0.0023217	0.00060321	0.041573	0.010801	0.95547
global_slope_perregion_dk	ABCD_PLS1_HCP	6984	-0.00083067	-0.0058891	0.0015104	0.010708	0.58235
global_slope_perregion_dk	ABCD_PLS2_HCP	6984	0.0018782	0.0049624	0.0041237	0.010895	0.64878
global_slope_perregion_dk	AHBA_C1	6978	-0.0082926	-0.0048387	0.018477	0.010781	0.65359
global_slope_perregion_dk	AHBA_C3	6978	-0.027688	-0.0071938	0.042228	0.010972	0.51205
