label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_1,2.52381,-0.0163345,53.4012,-26.6861,1.45968,-0.947251,sensorimotor,Somatosensory_and_Motor
lh_10d,2.85808,-0.0320266,-20.7606,25.7832,,,association,Orbital_and_Polar_Frontal
lh_10pp,2.8446,-0.0302634,-17.6605,17.4651,,,association,Orbital_and_Polar_Frontal
lh_10r,2.48747,-0.0314463,-24.173,39.1113,-0.68931,1.10293,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_10v,2.87984,-0.0305893,-44.4556,22.422,-1.06211,0.16848,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_11l,2.85041,-0.0325227,-13.3815,25.8211,-0.385458,0.850562,association,Orbital_and_Polar_Frontal
lh_13l,2.83527,-0.0241281,-34.3323,22.3239,-0.79279,0.831419,association,Orbital_and_Polar_Frontal
lh_2,2.29694,-0.0207786,25.9863,4.12534,0.824149,0.601066,sensorimotor,Somatosensory_and_Motor
lh_23c,2.60317,-0.0256836,-17.2354,4.65872,-0.348565,-0.102357,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_23d,3.17075,-0.0320542,-22.2518,9.05571,-0.370406,0.231694,association,Posterior_Cingulate
lh_24dd,2.94393,-0.0181253,15.8167,-27.3171,0.596163,-1.23126,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_24dv,2.81054,-0.0206152,-33.5745,-5.45325,-0.795558,-1.02538,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_25,3.13868,-0.0245783,-86.5101,13.265,-1.86941,-1.50988,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_31a,2.84622,-0.0284143,12.3545,25.5218,0.442648,0.866428,association,Posterior_Cingulate
lh_31pd,2.48288,-0.0263172,38.637,-6.34128,0.951625,-0.655135,association,Posterior_Cingulate
lh_31pv,2.60707,-0.0268147,23.3292,24.0428,0.738355,0.981548,association,Posterior_Cingulate
lh_33pr,2.38636,-0.0110197,-65.894,-34.1588,-1.42878,-2.78562,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_3a,2.0391,-0.0171841,75.0291,-47.8459,1.66199,-2.44576,sensorimotor,Somatosensory_and_Motor
lh_3b,1.70903,-0.0147493,79.4074,-43.8625,1.74933,-2.38483,sensorimotor,Somatosensory_and_Motor
lh_4,2.75954,-0.00657174,41.7992,-48.6591,1.26505,-2.01289,sensorimotor,Somatosensory_and_Motor
lh_43,2.99019,-0.0151529,-10.0564,-4.51103,0.0605869,0.456511,sensorimotor,Posterior_Opercular
lh_44,2.88459,-0.0148045,-36.6521,4.26994,-0.54118,0.591689,association,Inferior_Frontal
lh_45,2.80829,-0.0218987,-12.7896,9.17472,-0.0695963,1.06861,association,Inferior_Frontal
lh_46,2.66199,-0.0223157,-15.7483,23.5289,-0.205208,1.11654,association,Dorsolateral_Prefrontal
lh_47l,2.95451,-0.0230997,-19.8582,9.96915,-0.22174,0.782946,association,Inferior_Frontal
lh_47m,2.71971,-0.0249553,10.8638,7.17577,,,association,Orbital_and_Polar_Frontal
lh_47s,3.18915,-0.0206537,-69.3884,14.8128,-1.36913,0.329757,association,Orbital_and_Polar_Frontal
lh_52,2.54561,-0.0174913,-18.9852,6.9748,-0.628875,0.0592361,auditory,Early_Auditory
lh_55b,2.95,-0.00517589,-0.530098,-32.5326,0.482588,-0.750999,sensorimotor,Premotor
