kind	set	vector	n_genes	mean_z	z	p_perm	q_bh
cell class	Astro	PLS1	462	-0.3342	-7.318	5e-05	0.0001
cell class	Astro	PLS2	462	0.1749	3.865	0.0001	0.0001333
cell class	Astro	C1	462	-0.5158	-11.31	5e-05	0.0001333
cell class	Astro	C3	462	-0.3825	-8.489	5e-05	6.154e-05
cell class	Endo	PLS1	531	0.06012	1.447	0.1493	0.1838
cell class	Endo	PLS2	531	-0.3131	-7.41	5e-05	7.272e-05
cell class	Endo	C1	531	0.102	2.45	0.01475	0.0236
cell class	Endo	C3	531	-0.3857	-9.179	5e-05	6.154e-05
cell class	Micro	PLS1	386	-0.1675	-3.381	0.00095	0.001689
cell class	Micro	PLS2	386	-0.4863	-9.862	5e-05	7.272e-05
cell class	Micro	C1	386	-0.1982	-4.02	0.0001	0.0002286
cell class	Micro	C3	386	-0.419	-8.465	5e-05	6.154e-05
cell class	Neuro	PLS1	597	-0.02946	-0.7568	0.4535	0.4535
cell class	Neuro	PLS2	597	0.5144	13.09	5e-05	7.272e-05
cell class	Neuro	C1	597	0.05433	1.375	0.1696	0.1809
cell class	Neuro	C3	597	0.6547	16.52	5e-05	6.154e-05
cell class	Neuro-Ex	PLS1	855	0.04849	1.508	0.1326	0.1768
cell class	Neuro-Ex	PLS2	855	0.4738	14.74	5e-05	7.272e-05
cell class	Neuro-Ex	C1	855	0.09348	2.896	0.0039	0.006933
cell class	Neuro-Ex	C3	855	0.6433	20.02	5e-05	6.154e-05
cell class	Neuro-In	PLS1	635	0.04836	1.281	0.2009	0.2296
cell class	Neuro-In	PLS2	635	0.3409	9.018	5e-05	7.272e-05
cell class	Neuro-In	C1	635	0.05756	1.522	0.129	0.1475
cell class	Neuro-In	C3	635	0.369	9.733	5e-05	6.154e-05
cell class	OPC	PLS1	93	-0.2961	-2.874	0.004	0.0064
cell class	OPC	PLS2	93	-0.0002466	-0.002131	0.9982	0.9982
cell class	OPC	C1	93	-0.3938	-3.842	0.00015	0.0003
cell class	OPC	C3	93	-0.1893	-1.838	0.06475	0.06906
cell class	Oligo	PLS1	394	0.3149	6.448	5e-05	0.0001
cell class	Oligo	PLS2	394	-0.7803	-15.77	5e-05	7.272e-05
cell class	Oligo	C1	394	0.2978	6.092	5e-05	0.0001333
cell class	Oligo	C3	394	-0.7458	-15.12	5e-05	6.154e-05
cell class	Per	PLS1	38	0.183	1.118	0.2638	0.2814
cell class	Per	PLS2	38	-0.08921	-0.5545	0.5823	0.6655
cell class	Per	C1	38	0.1558	0.9562	0.343	0.343
cell class	Per	C3	38	-0.2737	-1.695	0.09145	0.09145
layer	L1	PLS1	632	-0.297	-7.817	5e-05	0.0001
layer	L1	PLS2	632	-0.2247	-5.899	5e-05	7.272e-05
layer	L1	C1	632	-0.4463	-11.68	5e-05	0.0001333
layer	L1	C3	632	-0.6513	-17.15	5e-05	6.154e-05
layer	L2	PLS1	683	-0.3633	-9.923	5e-05	0.0001
layer	L2	PLS2	683	0.6103	16.81	5e-05	7.272e-05
layer	L2	C1	683	-0.3904	-10.64	5e-05	0.0001333
layer	L2	C3	683	0.7818	21.43	5e-05	6.154e-05
layer	L3	PLS1	85	-0.2224	-2.08	0.0376	0.05469
layer	L3	PLS2	85	1.095	10.08	5e-05	7.272e-05
layer	L3	C1	85	-0.1757	-1.637	0.0984	0.1211
layer	L3	C3	85	1.223	11.34	5e-05	6.154e-05
layer	L4	PLS1	222	0.5171	7.851	5e-05	0.0001
layer	L4	PLS2	222	0.156	2.36	0.01805	0.02221
layer	L4	C1	222	0.7974	12.06	5e-05	0.0001333
layer	L4	C3	222	0.4536	6.871	5e-05	6.154e-05
layer	L5	PLS1	310	-0.3032	-5.451	5e-05	0.0001
layer	L5	PLS2	310	0.3593	6.381	5e-05	7.272e-05
layer	L5	C1	310	-0.1149	-2.051	0.0411	0.05978
layer	L5	C3	310	0.5628	10.09	5e-05	6.154e-05
layer	L6	PLS1	189	-0.6592	-9.22	5e-05	0.0001
layer	L6	PLS2	189	-0.01582	-0.2105	0.8321	0.8875
layer	L6	C1	189	-0.4312	-6.038	5e-05	0.0001333
layer	L6	C3	189	0.2561	3.546	0.00045	0.0005143
layer	WM	PLS1	1730	0.09094	4.29	5e-05	0.0001
layer	WM	PLS2	1730	-0.5497	-25.94	5e-05	7.272e-05
layer	WM	C1	1730	-0.035	-1.655	0.0975	0.1211
layer	WM	C3	1730	-0.7608	-35.47	5e-05	6.154e-05
