gene	PLS1	PLS2	C1	C3
A1BG	-11.8305	-0.819697	-0.80617	-0.0179386
A1BG-AS1	-9.98029	2.41419	-0.62448	0.377001
AAAS	5.81225	0.754189	0.600656	-0.0597516
AAED1	-5.73309	-0.461101	-0.722689	-0.190459
AAGAB	-3.49092	3.58287	-0.261427	0.345811
AAK1	6.68532	0.417943	0.696944	0.0572984
AARD	8.85081	3.40598	0.682209	0.173586
AARS	2.46502	0.973932	0.515276	0.265406
AASDH	5.18059	-1.59533	0.530151	-0.13053
AATF	-0.567282	-2.85165	0.128207	-0.226538
ABCA1	-1.40495	-0.367997	-0.475041	-0.306279
ABCA5	5.1808	0.767865	0.470729	0.12614
ABCA6	11.1345	-3.90376	0.758867	-0.315624
ABCA7	5.28012	-2.17243	0.673997	-0.0413689
ABCA9	8.99929	-1.28286	0.750631	-0.116211
ABCB10	7.26781	1.47826	0.616839	0.071163
ABCB6	-7.3378	0.779339	-0.601047	0.169295
ABCB7	12.149	-1.31545	0.690748	-0.312074
ABCC1	7.74563	0.301938	0.701201	-0.0910659
ABCC12	-3.37767	3.11553	-0.24575	0.678279
ABCC4	-3.29836	-1.02736	-0.547624	-0.327071
ABCC5	5.90475	1.85793	0.379108	0.0416007
ABCC6	-5.54566	0.788346	-0.554626	0.221514
ABCC8	8.82292	3.06829	0.718035	0.163867
ABCC9	-0.0256165	0.416226	0.0873493	-0.394839
ABCD2	5.12952	-2.17245	0.692192	-0.135956
ABCD4	3.9463	0.703838	0.282769	-0.30212
ABCG1	2.64053	-0.74938	0.0746489	-0.185828
ABCG2	2.03948	-3.12729	0.435856	-0.382087
ABCG4	5.04163	-0.901856	0.772939	-0.01732
ABCG5	-3.34667	2.14875	-0.345572	0.0156461
ABHD1	-4.01319	0.429148	-0.611109	-0.227466
ABHD11	6.23711	1.42752	0.665235	0.0728397
ABHD12	3.98015	-3.4334	0.653025	-0.334819
ABHD12B	-2.7077	2.50621	-0.151069	0.230492
ABHD13	9.55452	3.60071	0.611648	0.119059
ABHD17A	8.99116	-0.708998	0.73865	-0.103075
ABHD17B	8.7171	-3.93979	0.704721	-0.2911
ABHD17C	-5.98049	2.41618	-0.672876	0.17741
ABHD3	5.22936	-0.927034	0.398281	-0.406747
ABHD6	4.67416	-3.91075	0.566422	-0.332734
ABI1	-9.20178	2.30534	-0.711491	0.172042
ABI2	-3.99849	0.677106	-0.493053	0.292609
ABL2	5.1549	2.89932	0.481091	0.256441
ABLIM1	1.531	0.44728	0.0414134	-0.387981
ABLIM2	-10.6067	0.760978	-0.770465	0.348891
ABLIM3	-10.669	4.01509	-0.819999	0.0610266
ABR	-2.54411	0.567683	-0.464917	0.131019
ABRACL	5.19889	1.2984	0.574116	0.400472
ABTB1	5.63604	3.83995	0.740217	0.31366
ABTB2	5.9492	-8.11101	0.648505	-0.54308
ACADL	-5.14951	1.07688	-0.775234	-0.0871907
ACADS	-2.41886	2.5693	-0.468646	-0.0637896
ACADSB	7.47682	0.92605	0.468628	-0.211225
ACAN	12.3794	-6.64969	0.902666	-0.26536
ACAP3	-1.40498	0.719613	-0.266916	0.141286
ACAT2	-7.7528	-0.994082	-0.538292	0.138622
ACER3	3.36377	0.0328652	0.506823	-0.167412
ACHE	-1.24403	-0.124093	0.219395	0.0495481
ACKR1	-3.76671	-1.52372	-0.275676	0.343167
ACKR3	-6.5404	3.5907	-0.77645	0.00417917
ACO1	0.44818	-2.14649	-0.0145445	-0.494857
ACO2	-3.2884	-0.577748	-0.361834	-0.231314
ACOT13	-4.19199	-2.46011	-0.195518	-0.0880461
ACOT2	-15.8296	2.4343	-0.887183	0.0494165
ACOT8	-10.3807	-0.130269	-0.645634	0.0956993
ACOX2	-3.50368	2.19974	-0.558195	-0.157822
ACOX3	-7.68888	3.48583	-0.697314	0.154876
ACP1	-14.1756	-0.217807	-0.817768	0.116133
ACSF2	-6.33389	0.0193034	-0.599923	-0.127451
ACSF3	5.22109	0.76789	0.713036	0.108143
ACSL1	2.13415	-0.844167	0.106712	-0.302196
ACSL3	6.74298	3.94337	0.636498	0.435091
ACSL4	-8.63051	3.89835	-0.799368	0.254717
ACSL6	10.2871	-3.0262	0.887439	-0.137818
ACSS2	3.23069	-0.138813	0.601315	-0.12045
ACSS3	-2.14875	1.30822	-0.413957	-0.117827
ACTA1	-6.46551	1.56349	-0.480078	0.150651
ACTB	-10.803	1.30162	-0.696017	0.0661299
ACTC1	-6.8114	2.92999	-0.579401	0.113429
ACTG1	-13.5963	-0.00901806	-0.820902	0.0670056
ACTG1P4	-9.49083	-1.99406	-0.645906	-0.1248
ACTL6A	0.877373	-2.76657	-0.067252	-0.534981
ACTN1	-3.86986	1.31544	-0.361712	0.502475
ACTN2	-3.21024	3.96528	-0.196432	0.473425
ACTN4	6.73506	0.216742	0.797521	0.155271
ACTR10	-14.4491	0.29737	-0.830775	0.110479
ACTR1A	-9.3501	-0.277518	-0.64792	0.198537
ACTR1B	6.28112	0.404927	0.742778	0.358572
ACTR3	-8.09365	-3.25503	-0.580938	-0.0450955
ACTR3B	-12.5751	1.09836	-0.8387	0.140261
ACTR3C	-3.69601	-5.29568	-0.40153	-0.442554
ACTR5	2.34381	2.6135	0.0794278	0.232855
ACVR1	4.56588	-5.65793	0.407023	-0.355435
ACVR1C	9.64011	-0.556379	0.787935	-0.142884
ACVR2A	-3.30638	2.00484	-0.756903	0.147479
ACVR2B	-5.40021	1.52656	-0.647233	0.212031
ACVRL1	1.59286	0.0745979	0.331372	-0.221023
ACY3	-2.94279	-1.43925	-0.495626	-0.292042
ACYP2	5.86928	-2.56955	0.777631	-0.167938
ADAD2	-0.877106	-2.29962	0.00395687	-0.272415
ADAL	2.5667	-2.38238	0.380273	-0.297926
ADAM15	7.74172	-3.0538	0.512135	-0.472678
ADAM17	1.46144	1.35501	-0.076727	-0.176891
ADAM20P1	5.75512	7.16976	0.451065	0.34942
ADAM22	6.02211	-0.0563485	0.833377	0.196637
ADAM23	8.01797	-1.33304	0.913926	0.0755002
ADAM28	-6.00204	-3.56713	-0.596368	-0.323316
ADAM8	7.76994	1.22817	0.563286	0.138386
ADAM9	7.53544	0.441344	0.57436	-0.020966
ADAMTS13	7.02921	0.402615	0.735127	0.0618925
ADAMTS19	-4.1811	3.7733	-0.673827	-0.0687181
ADAMTS2	0.21423	1.00836	0.173925	-0.0467557
ADAMTS3	-12.0709	5.3485	-0.734238	0.409143
ADAMTS4	1.97472	-3.10422	0.231847	-0.398959
ADAMTS5	8.52321	-0.654852	0.764815	0.142284
ADAMTS8	-5.47554	-0.0337663	-0.535517	0.427525
ADAMTS9	-7.5346	-1.14315	-0.658853	-0.390413
ADAMTSL1	3.83679	-0.445099	0.439783	-0.0930404
ADAMTSL2	-5.13841	-0.236014	-0.43747	-0.14765
ADAMTSL3	-3.11384	-2.90083	-0.34149	-0.451108
ADAP2	-11.2246	-3.90927	-0.740865	-0.290196
ADARB2-AS1	0.843314	-1.87231	0.130337	-0.48189
ADCY1	4.30443	-0.68907	0.506102	-0.0140702
ADCY2	-10.0496	2.3488	-0.69	0.133309
ADCY3	6.26083	0.0837223	0.511449	0.0473823
ADCY4	1.70093	-0.59135	0.315607	-0.253863
ADCY7	-9.34358	2.08809	-0.63252	0.330942
ADCY8	2.19501	-2.52386	0.104374	-0.488356
ADCY9	8.12294	-2.43386	0.864683	0.0815737
ADCYAP1	-0.5489	6.08753	-0.0396313	0.397807
ADCYAP1R1	-1.43882	0.713432	-0.622315	-0.381862
ADD1	7.47922	-0.634149	0.71736	-0.0163958
ADGRA1	4.72168	1.85912	0.434396	0.202217
ADGRA2	3.35356	1.98227	0.507929	0.178269
ADGRA3	-4.77203	1.57975	-0.676001	-0.290484
ADGRB3	-13.2107	4.23349	-0.775613	0.329601
ADGRE5	0.894318	-0.728999	0.0520646	-0.348011
ADGRF5	-4.15127	2.85314	-0.393956	0.191493
ADGRG1	-7.67247	2.27383	-0.785412	-0.0567319
ADGRG6	-0.580076	0.234868	-0.371827	-0.188797
ADGRL2	5.83295	0.398545	0.595962	0.110577
ADGRL3	-7.2373	1.3203	-0.737807	0.240515
ADGRL4	3.20321	-0.798885	0.508195	-0.15676
ADGRV1	-6.96518	1.07395	-0.79616	-0.126697
ADH5	-6.40704	2.68135	-0.721481	-0.0142321
ADI1	-6.40267	-0.885279	-0.685683	-0.293342
ADIPOR1	-10.255	-1.45148	-0.737748	-0.0788071
ADIRF	-6.67195	-0.365862	-0.820681	-0.289053
ADK	-7.25901	-2.08683	-0.461119	0.0146368
ADM	4.64903	-5.75499	0.71602	-0.248786
ADM5	-8.79669	0.602766	-0.78006	0.246115
ADNP	-2.40014	4.21497	-0.298227	0.531446
ADNP2	5.58932	2.3935	0.372812	0.196044
ADO	6.36418	0.230423	0.798408	0.160328
ADORA2B	-3.27308	2.19629	-0.599693	-0.199153
ADPRHL1	2.80523	2.92705	0.553551	0.207226
ADPRHL2	-4.2355	-0.375326	-0.432508	0.0477849
ADRA1A	0.390828	0.466353	-0.18281	-0.381319
ADRA1B	-11.0735	0.445403	-0.749232	0.0617279
ADRA1D	0.220462	0.832047	0.462747	0.366923
ADRA2A	1.05386	1.08308	0.100507	0.0149112
ADRA2C	-10.9457	-0.342221	-0.740683	0.00535739
ADRB1	6.86073	1.85731	0.585474	0.379999
ADRB2	-9.16731	-0.813434	-0.715454	-0.266261
ADSSL1	5.22585	-1.97243	0.627041	-0.346426
ADTRP	-9.3827	3.46267	-0.6488	0.290633
AEBP1	0.0139925	2.5333	-0.426058	-0.313069
AEBP2	8.73289	2.96597	0.526159	0.222586
AFAP1L1	2.22946	0.916366	0.504788	0.147837
AFAP1L2	1.4027	1.93994	0.100135	0.195606
AFDN	-2.05745	-0.641102	-0.412735	-0.530356
AFDN-DT	-1.33955	-4.70202	-0.216931	-0.619495
AFF1	6.08467	-1.92103	0.624139	-0.381911
AFF2	-3.37039	-1.65519	-0.492382	-0.0410934
AFTPH	12.6729	2.03731	0.737661	0.202639
AGA	-5.671	-3.23461	-0.557012	-0.381225
AGAP1	0.407567	0.153834	-0.150597	-0.0674328
AGAP2	-7.98499	2.00167	-0.738333	0.0545471
AGAP3	-7.28394	-0.460371	-0.555546	0.0999883
AGFG2	-2.73863	-1.4944	-0.312469	-0.309244
AGK	1.80071	0.166086	0.232386	0.335367
AGMAT	-3.39583	-1.1273	-0.0895216	0.00570623
AGO1	22.9937	2.48684	0.929031	0.024454
AGO3	7.77185	-0.889208	0.467771	-0.358382
AGO4	5.6917	2.41131	0.303354	0.17865
AGPAT2	-7.29316	5.61479	-0.604241	0.353191
AGPAT3	3.06013	-1.97531	0.729551	0.0643142
AHCY	-6.93525	-3.11104	-0.621673	-0.0170414
AHI1	16.1373	0.758723	0.839257	0.11743
AHNAK	-6.56304	0.652693	-0.839231	-0.199723
AHNAK2	-2.86411	0.313281	-0.0938377	0.1262
AHR	-2.16945	1.17275	-0.488146	0.0359114
AHRR	-12.5438	3.91473	-0.844312	0.153513
AHSG	-2.51797	2.59671	-0.297004	0.352333
AIF1	-10.4045	-3.09993	-0.717447	-0.182358
AIFM2	-5.92285	4.77966	-0.580932	0.23537
AIFM3	6.07067	-0.925158	0.793417	-0.198786
AIG1	-2.12144	4.27439	-0.430827	-0.0397723
AIM2	-0.0848269	-1.95171	-0.296418	-0.278604
AIP	5.51825	0.395762	0.413721	0.0985757
AIRE	-0.717168	0.0715442	0.0443398	-0.335388
AJAP1	-1.88851	3.89695	-0.488595	0.153687
AK1	2.57459	-0.850972	0.542917	-0.127999
AK2	5.23447	-2.76043	0.708993	-0.303985
AK4	-6.47495	1.75819	-0.84871	-0.0869587
AK5	-5.91441	0.861668	-0.602879	0.229762
AK9	4.02352	1.37433	0.488096	-0.104404
AKAIN1	5.92187	-2.26454	0.698078	-0.0150688
AKAP1	3.25721	-0.151837	0.274563	-0.123807
AKAP10	5.06344	2.14584	0.332773	0.379003
AKAP12	1.24885	0.477425	0.419957	0.0514967
AKAP13	2.71742	0.863218	0.322857	0.219441
AKAP14	-12.084	-3.42153	-0.865651	-0.0358035
AKAP17A	3.52853	0.702663	0.289488	-0.214552
AKAP5	-6.10691	0.597904	-0.698586	0.3096
AKAP7	4.29391	-0.0881761	0.1569	-0.167028
AKAP8	-6.77644	0.815346	-0.468718	0.325915
AKIRIN2	-14.6805	0.882472	-0.87636	0.254235
AKR1C1	-4.12595	-3.06787	-0.210721	-0.20712
AKR1C3	-5.59472	-1.72113	-0.377122	-0.123657
AKR1C4	-4.08871	-2.68253	-0.18918	-0.186256
AKR7A2	-9.14372	-1.97223	-0.692687	-0.244596
AKR7A2P1	-8.25972	-0.298976	-0.652679	-0.15931
AKR7A3	-10.3374	-1.68332	-0.694538	-0.195876
AKR7L	-10.1484	-0.779387	-0.744641	-0.209917
AKT1S1	4.98531	-3.41951	0.531974	-0.331913
AKT3	5.24474	0.232732	0.703083	0.0892405
ALCAM	-3.3086	-1.29749	-0.657369	-0.327435
ALDH1A1	3.46945	-0.0837896	0.562508	0.0375563
ALDH1A3	14.7805	2.65625	0.918084	0.0597401
ALDH1B1	2.97509	-2.18733	0.583444	-0.10888
ALDH1L1	-3.2741	0.882182	-0.467787	-0.108813
ALDH2	-5.28065	1.22041	-0.690232	-0.155941
ALDH3A2	-4.1347	-0.236212	-0.41406	0.401558
ALDH4A1	-3.59508	0.844716	-0.475379	-0.133752
ALDH6A1	-2.97705	0.772293	-0.466107	-0.299169
ALDH7A1	-4.72477	-0.777328	-0.608584	-0.232547
ALDH9A1	-8.41959	-1.8076	-0.735741	-0.296128
ALDOC	1.74756	-0.482357	0.44353	-0.145576
ALG10	2.78365	2.94795	0.00845838	0.0945414
ALG10B	3.4897	4.40285	0.159625	0.258315
ALG2	5.88552	1.23621	0.53521	-0.192379
ALG3	2.32214	-1.44827	0.455028	-0.0526651
ALG5	-4.99025	-3.30849	-0.364872	-0.389578
ALG8	-6.51373	-2.91275	-0.645232	-0.196981
ALK	-3.12256	-1.31017	-0.511257	-0.275989
ALKAL2	-18.1753	-4.05988	-0.902123	-0.171009
ALKBH2	4.73037	0.847345	0.459854	0.104709
ALKBH7	-5.17169	-0.0769966	-0.535787	-0.102944
ALKBH8	5.68134	-0.228214	0.578039	0.124611
ALOX5	-6.94577	-3.60896	-0.677425	-0.264248
ALOX5AP	-5.74544	-3.6449	-0.551257	-0.261236
ALPK1	-1.27636	-7.96099	-0.024583	-0.373127
ALPL	-8.14176	0.700834	-0.627067	0.313377
ALS2	5.03516	2.95104	0.459665	0.291746
ALS2CL	1.41646	5.18061	0.299319	0.444439
ALS2CR12	1.55807	0.0588709	0.106348	-0.237452
ALX3	9.78823	-1.7265	0.757813	-0.163222
ALYREF	-6.38224	0.895983	-0.75907	-0.0885435
AMD1	8.67477	-1.0074	0.646305	-0.0842477
AMDHD1	-0.272146	0.72788	-0.0357811	0.0046631
AMER1	5.04708	0.99992	0.654106	0.0738989
AMH	6.26227	0.344782	0.547075	0.11079
AMIGO2	-13.3305	4.52125	-0.884532	0.124867
AMMECR1	12.3069	0.518995	0.732492	-0.069065
AMN1	-11.3424	-0.724112	-0.660143	0.159617
AMPD3	4.25843	-2.85416	0.511665	-0.333184
AMT	5.11641	1.89272	0.406496	0.0400236
AMY2A	2.93719	1.06538	0.0733496	0.0216691
AMZ1	-10.2502	-4.15263	-0.718181	-0.260802
AMZ2P1	-6.69189	0.421	-0.615574	0.254536
ANAPC1	5.13916	2.66598	0.462656	0.112846
ANAPC10	6.31686	1.58189	0.454638	-0.0324624
ANAPC11	-7.6231	0.93414	-0.592111	0.0698991
ANAPC4	5.91173	1.21319	0.251376	-0.0126403
ANG	-2.16495	1.07859	-0.439029	-0.308869
ANGEL1	-1.19448	-1.0004	0.113537	-0.156629
ANGEL2	3.05263	0.843156	0.128377	0.0386017
ANGPT1	-2.47485	-1.06795	-0.447225	-0.496409
ANGPTL2	5.78483	-1.68743	0.487143	-0.265964
ANGPTL4	-4.36333	0.902637	-0.502777	-0.269987
ANGPTL8	3.98636	5.12753	0.54278	0.483104
ANK1	10.8219	-1.62064	0.953907	-0.0360068
ANK3	-6.83493	1.59822	-0.853882	0.0552266
ANKDD1A	-1.00529	0.993797	-0.584897	-0.24595
ANKH	12.3595	-0.0766854	0.86554	0.0143802
ANKLE2	-8.78973	1.57759	-0.729887	0.101074
ANKRA2	-1.26219	-0.801603	-0.509012	-0.273997
ANKRD13A	7.51977	-3.56713	0.579354	-0.424524
ANKRD16	2.81266	-1.45149	0.359317	0.0499512
ANKRD18A	0.143561	-5.4211	0.0241172	-0.67073
ANKRD18B	0.911978	-1.33034	-0.0936889	-0.271382
ANKRD18CP	2.26531	-1.93257	0.301663	-0.27277
ANKRD18DP	3.47533	0.902584	0.267693	-0.377192
ANKRD19P	-7.62871	0.0950691	-0.848269	-0.131093
ANKRD2	1.51564	-0.423245	0.568041	0.265358
ANKRD20A11P	-0.0316071	-2.37491	0.190547	0.10397
ANKRD20A12P	5.02647	-0.871428	0.537142	-0.166173
ANKRD20A4-ANKRD20A20P	6.47101	-1.0001	0.680017	-0.25747
ANKRD20A5P	-1.0583	-2.04101	0.00207738	0.161722
ANKRD20A8P	7.76998	1.75732	0.673641	-0.069631
