run	disorder	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	MODEL	se_std
none	SCZ	HCP_PLS2_thinning	COVAR	6063	0.017886	0.045086	0.0069189	0.0097612		0.017441
none	SCZ	DK_PLS2_matchedX	COVAR	6063	0.018129	0.046151	0.0067857	0.0075698		0.017274
none	SCZ	C3_shipped	COVAR	6063	0.27214	0.068475	0.069393	8.8959e-05		0.01746
none	MDD	HCP_PLS2_thinning	COVAR	6051	0.027447	0.069188	0.0065438	2.7791e-05		0.016496
none	MDD	DK_PLS2_matchedX	COVAR	6051	0.020706	0.052697	0.006373	0.0011647		0.016219
none	MDD	C3_shipped	COVAR	6051	0.32434	0.081583	0.065963	9.0375e-07		0.016592
cond_DK	SCZ	DK_PLS2_matchedX	COVAR	6063	0.01136	0.028919	0.010357	0.27277	1	0.026366
cond_DK	SCZ	HCP_PLS2_thinning	COVAR	6063	0.0091355	0.023029	0.01056	0.38703	1	0.02662
cond_DK	SCZ	DK_PLS2_matchedX	COVAR	6063	-0.0064532	-0.016428	0.010786	0.54967	2	0.027458
cond_DK	SCZ	C3_shipped	COVAR	6063	0.3235	0.081397	0.11038	0.0033958	2	0.027773
cond_DK	MDD	DK_PLS2_matchedX	COVAR	6051	0.0010782	0.0027439	0.0097645	0.91208	1	0.02485
cond_DK	MDD	HCP_PLS2_thinning	COVAR	6051	0.026607	0.067071	0.010033	0.008022	1	0.025291
cond_DK	MDD	DK_PLS2_matchedX	COVAR	6051	-0.0086363	-0.021979	0.010029	0.38919	2	0.025523
cond_DK	MDD	C3_shipped	COVAR	6051	0.3935	0.098979	0.10393	0.00015451	2	0.026142
cond_HCP	SCZ	HCP_PLS2_thinning	COVAR	6063	0.0091355	0.023029	0.01056	0.38703	1	0.02662
cond_HCP	SCZ	DK_PLS2_matchedX	COVAR	6063	0.01136	0.028919	0.010357	0.27277	1	0.026366
cond_HCP	SCZ	HCP_PLS2_thinning	COVAR	6063	-0.00071026	-0.0017904	0.0093592	0.93951	2	0.023592
cond_HCP	SCZ	C3_shipped	COVAR	6063	0.27695	0.069684	0.09394	0.0032103	2	0.023636
cond_HCP	MDD	HCP_PLS2_thinning	COVAR	6051	0.026607	0.067071	0.010033	0.008022	1	0.025291
cond_HCP	MDD	DK_PLS2_matchedX	COVAR	6051	0.0010782	0.0027439	0.0097645	0.91208	1	0.02485
cond_HCP	MDD	HCP_PLS2_thinning	COVAR	6051	0.010578	0.026664	0.0088529	0.23221	2	0.022316
cond_HCP	MDD	C3_shipped	COVAR	6051	0.25243	0.063495	0.089292	0.0047143	2	0.02246
cond_C3	SCZ	C3_shipped	COVAR	6063	0.27695	0.069684	0.09394	0.0032103	1	0.023636
cond_C3	SCZ	HCP_PLS2_thinning	COVAR	6063	-0.00071026	-0.0017904	0.0093592	0.93951	1	0.023592
cond_C3	SCZ	C3_shipped	COVAR	6063	0.3235	0.081397	0.11038	0.0033958	2	0.027773
cond_C3	SCZ	DK_PLS2_matchedX	COVAR	6063	-0.0064532	-0.016428	0.010786	0.54967	2	0.027458
cond_C3	MDD	C3_shipped	COVAR	6051	0.25243	0.063495	0.089292	0.0047143	1	0.02246
cond_C3	MDD	HCP_PLS2_thinning	COVAR	6051	0.010578	0.026664	0.0088529	0.23221	1	0.022316
cond_C3	MDD	C3_shipped	COVAR	6051	0.3935	0.098979	0.10393	0.00015451	2	0.026142
cond_C3	MDD	DK_PLS2_matchedX	COVAR	6051	-0.0086363	-0.021979	0.010029	0.38919	2	0.025523
