disorder	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	se_std
SCZ	HCP_PLS2_thinning	COVAR	6063	0.017374	0.043838	0.006913	0.011991	0.017443
SCZ	HCP_PLS1_dCTonly	COVAR	6063	0.022805	0.053212	0.0074454	0.0022018	0.017373
SCZ	DK_PLS2_matchedX	COVAR	6063	0.018165	0.046324	0.0067699	0.0073117	0.017264
SCZ	DK_PLS2_ds0	COVAR	6063	0.012195	0.032064	0.0065829	0.063997	0.017308
SCZ	DK_PLS2_ds25	COVAR	6063	0.013879	0.035743	0.0067188	0.038901	0.017303
SCZ	DK_PLS2_ds50	COVAR	6063	0.015694	0.039624	0.0068495	0.021982	0.017294
SCZ	C3_shipped	COVAR	6063	0.27214	0.068475	0.069393	8.8959e-05	0.01746
SCZ	C1_shipped	COVAR	6063	0.0613	0.037267	0.028132	0.029372	0.017103
MDD	HCP_PLS2_thinning	COVAR	6051	0.027867	0.070318	0.0065389	2.0616e-05	0.0165
MDD	HCP_PLS1_dCTonly	COVAR	6051	0.033675	0.078561	0.0070963	2.1328e-06	0.016555
MDD	DK_PLS2_matchedX	COVAR	6051	0.021508	0.054832	0.0063593	0.00072426	0.016212
MDD	DK_PLS2_ds0	COVAR	6051	0.016638	0.043741	0.0061768	0.00709	0.016239
MDD	DK_PLS2_ds25	COVAR	6051	0.017712	0.045609	0.0063107	0.0050237	0.01625
MDD	DK_PLS2_ds50	COVAR	6051	0.018674	0.047142	0.0064438	0.0037708	0.016267
MDD	C3_shipped	COVAR	6051	0.32434	0.081583	0.065963	9.0375e-07	0.016592
MDD	C1_shipped	COVAR	6051	0.016069	0.0097694	0.026946	0.55096	0.016382
