region,dCT,CT
lh_1,-0.0170269,2.53043
lh_10d,-0.0328125,2.87182
lh_10pp,-0.0304737,2.85571
lh_10r,-0.0318515,2.4979
lh_10v,-0.0305087,2.88857
lh_11l,-0.0332088,2.85723
lh_13l,-0.0247897,2.84014
lh_2,-0.0212824,2.30228
lh_23c,-0.0257388,2.61472
lh_23d,-0.0321608,3.18381
lh_24dd,-0.0179946,2.95261
lh_24dv,-0.0206271,2.81989
lh_25,-0.0252009,3.15075
lh_31a,-0.0285884,2.85577
lh_31pd,-0.026828,2.49343
lh_31pv,-0.0269511,2.61569
lh_33pr,-0.0111629,2.39226
lh_3a,-0.0173819,2.04408
lh_3b,-0.0152141,1.71094
lh_4,-0.00660797,2.76368
lh_43,-0.0148337,2.99919
lh_44,-0.0149314,2.89331
lh_45,-0.022027,2.81782
lh_46,-0.0224733,2.67113
lh_47l,-0.0232615,2.96417
lh_47m,-0.0261678,2.72573
lh_47s,-0.0212292,3.19825
lh_52,-0.0177845,2.55006
lh_55b,-0.00523114,2.95507
lh_5L,-0.0276613,2.5032
lh_5m,-0.0275482,2.52435
lh_5mv,-0.0272194,2.44569
lh_6a,-0.00855224,2.67487
lh_6d,0.000139984,3.01413
lh_6ma,-0.0148737,3.03817
lh_6mp,-0.00986591,2.87135
lh_6r,-0.0110295,2.81351
lh_6v,-0.00696185,3.24816
lh_7AL,-0.0229897,2.46937
lh_7Am,-0.0282461,2.60093
lh_7PC,-0.0202317,2.59027
lh_7PL,-0.0300649,2.6329
lh_7Pm,-0.0295698,2.67236
lh_7m,-0.0276757,2.78536
lh_8Ad,-0.0153202,2.70967
lh_8Av,-0.0198954,2.97849
lh_8BL,-0.0251587,3.28653
lh_8BM,-0.0242287,3.26041
lh_8C,-0.0166686,2.69287
lh_9-46d,-0.0231005,2.5152
lh_9a,-0.0238084,2.72054
lh_9m,-0.029477,3.10591
lh_9p,-0.0198356,2.82267
lh_A1,-0.0211351,2.69328
lh_A4,-0.0166222,3.12419
lh_A5,-0.0208073,3.25029
lh_AAIC,-0.0161934,3.76755
lh_AIP,-0.0225761,2.44343
lh_AVI,-0.0202737,2.99492
lh_DVT,-0.0254812,2.43308
lh_EC,-0.0101802,2.44297
lh_FEF,-0.00356862,2.71778
lh_FFC,-0.0188821,2.89481
lh_FOP1,-0.0168262,3.05909
lh_FOP2,-0.0191206,2.78522
lh_FOP3,-0.0138089,2.67904
lh_FOP4,-0.0154116,2.94971
lh_FOP5,-0.0175544,2.65338
lh_FST,-0.0205643,2.57203
lh_IFJa,-0.0162248,2.67393
lh_IFJp,-0.0117593,2.63401
lh_IFSa,-0.0233668,2.62172
lh_IFSp,-0.0198235,2.65659
lh_IP0,-0.022748,2.43312
lh_IP1,-0.0237197,2.49944
lh_IP2,-0.0228247,2.49969
lh_IPS1,-0.0249624,2.3532
lh_Ig,-0.0220576,2.88785
lh_LBelt,-0.0141274,2.63146
lh_LIPd,-0.0221626,2.3792
lh_LIPv,-0.0184816,2.33669
lh_LO1,-0.0178523,2.31337
lh_LO2,-0.0200161,2.73819
lh_LO3,-0.0211418,2.53783
lh_MBelt,-0.0170183,2.76033
lh_MI,-0.0245597,3.29268
lh_MIP,-0.0216636,2.36104
lh_MST,-0.0169045,2.4401
lh_MT,-0.0177662,2.50882
lh_OFC,-0.022334,2.44086
lh_OP1,-0.0197343,2.88538
lh_OP2-3,-0.020364,2.73048
lh_OP4,-0.0216144,2.91696
lh_PBelt,-0.014228,2.70257
lh_PCV,-0.0244587,2.62721
lh_PEF,-0.00639821,2.63512
lh_PF,-0.0199577,2.8935
lh_PFcm,-0.0202316,2.75433
lh_PFm,-0.0232995,2.80667
lh_PFop,-0.0192018,2.93359
lh_PFt,-0.0197014,2.63247
lh_PGi,-0.0245394,2.68847
lh_PGp,-0.0262017,2.82087
lh_PGs,-0.0285535,2.8637
lh_PH,-0.0199007,2.69114
lh_PHA1,-0.014748,2.98954
lh_PHA2,-0.0188556,2.43973
lh_PHA3,-0.0173819,2.71116
lh_PHT,-0.0209012,2.99016
lh_PI,-0.00994691,2.83422
lh_PIT,-0.0188482,2.71606
lh_POS1,-0.0248085,2.86407
lh_POS2,-0.0232633,2.48049
lh_PSL,-0.0187853,2.9433
lh_PeEc,-0.00611116,3.07549
lh_Pir,-0.00164475,2.99882
lh_PoI1,-0.0183122,3.3138
lh_PoI2,-0.021851,3.6012
lh_PreS,-0.0123012,1.71568
lh_ProS,-0.0277338,2.37217
lh_RI,-0.0205541,2.5962
lh_RSC,-0.01463,2.39675
lh_SCEF,-0.0166387,3.08396
lh_SFL,-0.0197293,3.29346
lh_STGa,-0.0132046,3.62924
lh_STSda,-0.0195213,2.96354
lh_STSdp,-0.024373,2.72799
lh_STSva,-0.0177899,2.74912
lh_STSvp,-0.0247548,2.87842
lh_STV,-0.0203689,2.91832
lh_TA2,-0.00968675,3.05921
lh_TE1a,-0.0177876,3.39257
lh_TE1m,-0.0179714,3.1009
lh_TE1p,-0.0185541,3.05063
lh_TE2a,-0.0183784,2.92012
lh_TE2p,-0.0180383,2.78149
lh_TF,-0.017189,2.92048
lh_TGd,-0.0123498,3.48697
lh_TGv,-0.0135803,3.36232
lh_TPOJ1,-0.0214571,2.75452
lh_TPOJ2,-0.0223871,2.70595
lh_TPOJ3,-0.0239433,2.53093
lh_V1,-0.00981564,1.83775
lh_V2,-0.0205381,2.03599
lh_V3,-0.0203401,2.24711
lh_V3A,-0.0201431,2.26042
lh_V3B,-0.0183062,2.27825
lh_V3CD,-0.0211298,2.44343
lh_V4,-0.0185602,2.34854
lh_V4t,-0.0197386,2.69564
lh_V6,-0.0201275,2.23467
lh_V6A,-0.0233163,2.54055
lh_V7,-0.0229577,2.43134
lh_V8,-0.0177241,2.61422
lh_VIP,-0.0245642,2.61881
lh_VMV1,-0.0199384,2.56941
lh_VMV2,-0.0198121,2.45086
lh_VMV3,-0.0212062,2.63353
lh_VVC,-0.0211778,2.97699
lh_a10p,-0.0276555,2.47602
lh_a24,-0.0232392,2.96317
lh_a24pr,-0.0273832,3.07957
lh_a32pr,-0.0227333,2.9092
lh_a47r,-0.0289379,2.83746
lh_a9-46v,-0.028051,2.58131
lh_d23ab,-0.0314734,3.24947
lh_d32,-0.023817,3.01528
lh_i6-8,-0.0143711,2.92294
lh_p10p,-0.0282303,2.45469
lh_p24,-0.0248022,3.20932
lh_p24pr,-0.0286572,3.02727
lh_p32,-0.0264717,2.62582
lh_p32pr,-0.020462,2.89105
lh_p47r,-0.023172,2.55337
lh_p9-46v,-0.0227944,2.6451
lh_pOFC,-0.0045449,2.83458
lh_s32,-0.0288386,2.57398
lh_s6-8,-0.0159692,3.02806
lh_v23ab,-0.0241026,3.07362
