gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
AGBL4	11.917	11.352		0.025906	1	10
PRSS12	10.543	10.024	9.7174	0.025511	2	10
LKAAEAR1	10.473	9.9949	9.5003	0.025836	3	10
CHRM3	10.512	9.9031	9.3272	0.023781	4	10
SEC24D	10.071	9.8914	9.6683	0.022797	5	10
WIPF2	10.351	9.855	9.4981	0.024554	6	10
CPNE8	9.7198	9.7225	9.683	0.026471	7	10
KIAA1549L	10.034	9.5745	9.1105	0.02382	8	10
KIAA1549	9.7372	9.4079	8.9727	0.025694	9	10
HSF2	9.4326	9.2544		0.023655	10	10
PPP1R14C	9.2811	9.084	8.8704	0.021408	11	10
MAL2	9.1054	8.8295	8.4697	0.022566	12	10
LRRTM4	8.8907	8.8006	8.6652	0.022692	13	10
RUNDC1	9.0089	8.7622	8.3344	0.023873	14	10
MCHR2	8.7669	8.7376	8.5272	0.022856	15	10
CCK	8.9127	8.734	8.2213	0.023897	16	10
HDAC9	8.8034	8.7033	8.598	0.0223	17	10
RAPGEF2	8.95	8.6924	8.3498	0.02204	18	10
KLHL25	8.8366	8.6728	8.4391	0.022735	19	10
SMIM24	8.6514	8.598	8.4492	0.021858	20	10
KCNJ12	8.5749	8.5299	8.163	0.021887	21	10
TPD52	8.6909	8.4366	8.0252	0.022582	22	10
LRRC2	8.695	8.4278	8.1905	0.015961	23	10
COL23A1	8.4054	8.4208	8.2576	0.023057	24	10
SH2D5	8.4042	8.3686	8.2349	0.02207	25	10
CRYM	8.4489	8.3334	8.3627	0.01707	26	10
GRIPAP1	8.7092	8.3229		0.026261	27	10
FAM133A	8.6335	8.3014	7.9672	0.021563	28	10
MED12L	8.8691	8.2882		0.024559	29	10
DCP2	8.5751	8.2347	7.7393	0.018386	30	10
FFAR4	8.1768	8.2269	8.4052	0.015346	31	10
CNTNAP2	8.4122	8.2179	8.0639	0.023754	32	10
UMODL1-AS1	8.147	8.1609	8.1205	0.022822	33	10
SYT13	8.5409	8.1415	7.8634	0.02383	34	10
NEU1	8.4747	8.1354		0.022333	35	10
SLCO4C1	8.4083	8.1116	7.6007	0.019887	36	10
AGPAT2	8.3115	8.0518	7.904	0.017983	37	10
TMEM132B	8.2763	8.0508	7.6179	0.021514	38	10
OSCP1	8.1311	8.0181		0.02081	39	10
LTK	8.1904	7.9444	7.7148	0.022063	40	10
DENND3	8.0912	7.9339	7.6272	0.023349	41	10
SYCE1	8.3472	7.9267		0.022419	42	10
SLC10A4	8.0211	7.9116	7.8867	0.022836	43	10
YEATS2	8.1309	7.8866	7.6152	0.022915	44	10
CACNB2	8.1251	7.886	7.7049	0.024498	45	10
TPST1	8.152	7.8376	7.3549	0.016356	46	10
COL12A1	7.9428	7.8346	7.5931	0.023755	47	10
PKP3	8.1192	7.8302	7.4045	0.022011	48	10
KCND2	7.9439	7.8222		0.022718	49	10
ZNF350	7.7595	7.779	7.9892	0.01664	50	10
SPRN	7.8311	7.7388	7.5485	0.021038	51	10
CDC42SE2	8.1769	7.6905	7.0096	0.013092	52	10
TSPAN33	7.6814	7.6743	7.4844	0.018666	53	10
TRIM53AP	7.8167	7.6734	7.4083	0.022965	54	10
WAC	7.9488	7.6385		0.020947	55	10
CDH18	7.7435	7.62	7.4291	0.020567	56	10
BRPF3	7.7289	7.5968	7.398	0.022634	57	10
NDST3	7.9024	7.5923	7.2945	0.024748	58	10
JAK3	7.8357	7.5697		0.024933	59	10
ARID5A	7.5996	7.5594	7.4865	0.02302	60	10
C12orf4	8.0335	7.5547	7.271	0.022638	61	10
C16orf87	7.5671	7.5248	7.4399	0.023255	62	10
GNB1L	7.8412	7.5072	7.0141	0.022173	63	10
ZBTB41	7.8826	7.5022		0.020945	64	10
WSB2	7.6878	7.4755	7.2849	0.018034	65	10
ALS2CL	7.7324	7.4715	7.2271	0.023245	66	10
RARA-AS1	7.7519	7.4466	6.9413	0.020042	67	10
SOWAHB	7.5587	7.4331	7.2963	0.02059	68	10
NEK2	7.4153	7.4184	7.5596	0.012401	69	10
GPR155	7.5466	7.4087	7.2336	0.023265	70	10
NETO2	7.5969	7.3997	6.9136	0.020281	71	10
LCN15	7.5063	7.3718	7.1636	0.021905	72	10
NPY5R	7.4849	7.3358	7.0893	0.020229	73	10
PTP4A3	7.5104	7.3202		0.020775	74	10
CTDSPL	7.6017	7.2952		0.023215	75	10
CHCHD6	7.6299	7.2862	6.4529	0.0085258	76	10
CRH	7.3887	7.2855	7.0717	0.023557	77	10
NUDT4	7.4618	7.2791	6.8963	0.019806	78	10
CCNYL1	7.3116	7.2737	7.1616	0.019752	79	10
NUAK1	7.2026	7.2594	7.3042	0.017345	80	10
PHLPP2	7.6041	7.2542		0.022395	81	10
OLFM3	7.397	7.2511	6.938	0.021433	82	10
OTUD3	7.3272	7.2382		0.021008	83	10
PIK3R1	7.5956	7.2285	6.9779	0.022076	84	10
CCDC3	7.4277	7.2218	6.7906	0.021563	85	10
PPP1R12A	7.3362	7.2125	6.9076	0.019198	86	10
CYB561	7.3248	7.2115	7.0479	0.017899	87	10
MPL	7.408	7.2047	6.7862	0.018036	88	10
DZIP3	7.2967	7.2046	6.9722	0.018677	89	10
DBH	7.4875	7.1708	6.6769	0.024165	90	10
CERS6	7.3649	7.1258	6.7292	0.022142	91	10
PRDM10	7.3031	7.1095		0.022503	92	10
ZNF616	7.7849	7.0936		0.019839	93	10
ZNF202	7.4831	7.0924	6.6875	0.022024	94	10
PKD2L1	7.1798	7.0877	6.8989	0.022242	95	10
MTMR9	7.3884	7.0847	6.7352	0.0215	96	10
STEAP1	7.3469	7.0814	6.6287	0.02255	97	10
PIP4P1	7.3229	7.0716		0.022569	98	10
ABCC12	7.3168	7.0709	6.6788	0.019966	99	10
GALNT17	7.1827	7.0486	6.7485	0.022328	100	10
SIDT1	7.2855	7.0333	6.7874	0.019118	101	10
LAMB3	7.2451	7.0248	6.8552	0.02375	102	10
FRMD6	7.4515	7.0004	6.7763	0.020173	103	10
CDC6	7.3163	6.9839	6.6127	0.020646	104	10
SATB2	7.0389	6.9741	6.8633	0.018459	105	10
MEA1	7.3295	6.967	6.6021	0.014442	106	10
MARC1	7.1807	6.9608		0.017475	107	10
CALHM2	7.1394	6.9401	6.7264	0.01885	108	10
KCNT2	6.9961	6.9182	6.7507	0.021738	109	10
KLHDC9	7.1436	6.9114	6.7375	0.023605	110	10
THOP1	7.5417	6.9068		0.023075	111	10
ATG7	7.0926	6.9053	6.541	0.020184	112	10
TYRP1	6.8821	6.9	6.852	0.021372	113	10
TRABD2A	7.1996	6.8956	6.5058	0.023077	114	10
SYP	7.1068	6.8866		0.021641	115	10
SV2B	7.209	6.878	6.4336	0.023571	116	10
CTXN1	6.8482	6.8726	6.9368	0.0090485	117	10
MAPK4	7.1239	6.8698	6.659	0.021532	118	10
OPCML	7.1475	6.8677		0.023884	119	10
KCNV1	7.1113	6.8657	6.498	0.021091	120	10
XK	7.0311	6.8544	6.86	0.020397	121	10
TPK1	7.18	6.8515	6.6643	0.025784	122	10
FXYD6	6.893	6.8434	6.6756	0.01486	123	10
GNG13	6.8648	6.8344	6.7548	0.019251	124	10
SUV39H1	7.0937	6.8296	6.4987	0.02064	125	10
BORCS5	7.0777	6.821	6.426	0.020442	126	10
DROSHA	7.1447	6.8103		0.019437	127	10
NMNAT2	6.9311	6.8011	6.5186	0.021606	128	10
ITPKA	6.9252	6.7921	6.6593	0.019508	129	10
SLC9A6	7.0517	6.7902	6.3509	0.021473	130	10
DPF1	6.9508	6.7866	6.5151	0.017717	131	10
NGB	6.958	6.7719	6.6072	0.025065	132	10
CAMK1G	6.9706	6.7649	6.4774	0.02423	133	10
C5orf30	7.0592	6.7646	6.4888	0.022724	134	10
CCKBR	7.0847	6.7617	6.2364	0.018673	135	10
CDH10	6.8626	6.7527	6.5306	0.013302	136	10
GPR150	6.9017	6.7493	6.4593	0.020453	137	10
ZNF681	6.9591	6.7381	6.5915	0.024495	138	10
GRASP	6.9905	6.7264	6.2866	0.022242	139	10
PCDH8	6.917	6.7141	6.4381	0.019152	140	10
SHC2	6.7313	6.6739	6.645	0.016404	141	10
KMO	6.9633	6.6566	6.2421	0.02445	142	10
UBXN10	6.8089	6.6446	6.571	0.023277	143	10
ASB2	6.7956	6.6371	6.493	0.02285	144	10
TRAM2	6.5099	6.6349	6.6131	0.018469	145	10
CBLN1	6.7536	6.6337	6.4368	0.018718	146	10
ADAR	6.7686	6.6301		0.018409	147	10
RAD51D	6.9176	6.6299	6.3173	0.020877	148	10
RAB26	6.9494	6.6283		0.022436	149	10
CA4	6.7278	6.6227	6.401	0.019909	150	10
C11orf87	6.5323	6.6214	6.5721	0.019974	151	10
SERPINF1	6.6551	6.6131	6.5255	0.018787	152	10
TMED8	6.8655	6.6041	6.4295	0.020251	153	10
PLXNA1	6.8185	6.5969	6.5118	0.017617	154	10
AQP9	7.0141	6.5903	6.2626	0.020224	155	10
HTR7P1	6.6488	6.586	6.4373	0.0098495	156	10
HRH1	6.7786	6.5643	6.1268	0.015424	157	10
KIF17	6.8269	6.5638	6.2097	0.022163	158	10
PPP6C	6.6588	6.5626	6.4396	0.014515	159	10
CDYL2	6.8497	6.5553	6.1521	0.02075	160	10
TMEM178B	6.5727	6.5385	6.4473	0.01926	161	10
ANKRD30B	6.6928	6.5368	6.2077	0.021127	162	10
SERPINI1	6.7366	6.5339	6.313	0.022617	163	10
IGSF3	6.7623	6.5256	6.2905	0.024693	164	10
NECAB1	6.5826	6.517	6.3921	0.021311	165	10
OVOL2	6.6703	6.5084	6.2756	0.018752	166	10
SFTPD	6.9255	6.5055	5.9165	0.012539	167	10
CRIP2	6.7663	6.4701	6.0573	0.011332	168	10
EIF4ENIF1	6.6883	6.4464		0.020733	169	10
C3orf80	6.7236	6.4454	6.1122	0.023151	170	10
SLC26A4-AS1	6.7742	6.4286	5.8101	0.010107	171	10
HTR3B	6.5265	6.4249	6.2768	0.020907	172	10
RASD1	6.5631	6.4015	6.1561	0.022246	173	10
AAGAB	6.6621	6.4005	6.0777	0.022626	174	10
GPD1L	6.5792	6.3998	6.1966	0.019754	175	10
GYG2P1	6.6927	6.3948		0.019813	176	10
UBE2D3	6.4315	6.3835		0.019851	177	10
SMARCAL1	6.8367	6.3822		0.019948	178	10
LAMB1	6.5241	6.3785	6.1247	0.020927	179	10
CDH9	6.5275	6.378	6.1268	0.016147	180	10
GRAMD4	6.7338	6.3711	5.8871	0.013536	181	10
RIMS3	6.237	6.368	6.4253	0.015761	182	10
KCNG3	6.5743	6.3651	6.3808	0.014625	183	10
GPR162	6.3168	6.3564	6.4019	0.015386	184	10
NFKBIE	6.5427	6.3484	6.1702	0.013695	185	10
PDE1B	6.7002	6.3461	6.0042	0.020151	186	10
CCDC68	6.3092	6.3277	6.2657	0.018277	187	10
ZNF780A	6.6131	6.3163		0.022077	188	10
RNGTT	6.574	6.3141	5.8661	0.016726	189	10
CHL1	6.5108	6.3105	5.9784	0.017987	190	10
ARHGAP20	6.5799	6.3078		0.020835	191	10
FAM102B	6.5105	6.3052	6.155	0.015552	192	10
BBS12	6.412	6.3048		0.01868	193	10
FGFR1OP2	6.2527	6.3012	6.259	0.017784	194	10
MUM1L1	6.5066	6.2989	5.9014	0.018356	195	10
TOX	6.5031	6.2976	6.1204	0.023512	196	10
LYPD6B	6.5434	6.2833		0.021443	197	10
GGCT	6.3115	6.2639	6.1642	0.0089645	198	10
DPP10	6.4767	6.2587	6.045	0.014628	199	10
HS6ST1	6.533	6.2506	6.0741	0.020546	200	10
BICC1	6.4409	6.2231	5.9763	0.021608	201	10
LRRC73	6.5028	6.221	5.8019	0.014506	202	10
PANX1	6.4859	6.2188	6.1463	0.020498	203	10
GLRA3	6.2168	6.195	6.3302	0.014589	204	10
E2F3	6.5224	6.1908	5.6536	0.015181	205	10
DCUN1D3	6.3218	6.188	6.123	0.019985	206	10
ST6GALNAC5	6.1926	6.1825	6.3533	0.012708	207	10
CDC40	6.4146	6.1694	5.8497	0.022472	208	10
UBR1	6.3093	6.1669	6.0114	0.021053	209	10
LINC00507	6.1135	6.1667	6.2011	0.017519	210	10
PLEKHG5	6.4226	6.1612		0.021941	211	10
SPICE1	6.3274	6.1475	6.1502	0.016218	212	10
RGS4	6.3922	6.1261	5.6877	0.018568	213	10
PDCD2L	6.4497	6.1185		0.013349	214	10
OPRM1	6.3882	6.1135	5.7315	0.013944	215	10
ADAMTS3	6.3565	6.1063	5.7071	0.016385	216	10
LOC440040	6.2166	6.1044	5.9122	0.021142	217	10
CA10	6.3245	6.1027	5.7335	0.015507	218	10
CYP2E1	6.4134	6.1001	5.9384	0.021208	219	10
IL1RAPL2	6.2275	6.0995	5.9868	0.024204	220	10
PRTN3	6.1322	6.0877	6.0364	0.018312	221	10
TAPT1	6.3932	6.0832	5.8436	0.015508	222	10
FAM234B	6.1504	6.0723		0.020046	223	10
RASGRF2	6.3049	6.072	5.6843	0.022409	224	10
RHEBL1	6.2967	6.0624	5.6282	0.019895	225	10
CASQ1	6.2774	6.0557	5.646	0.021974	226	10
MGEA5	6.316	6.0555	5.7202	0.021698	227	10
CMAHP	6.2208	6.0533	5.9443	0.023754	228	10
SMKR1	6.3723	6.0501		0.015535	229	10
WAC-AS1	6.0623	6.0437	5.9639	0.022797	230	10
KCNIP4	6.1401	6.0424		0.021342	231	10
ENOX1	6.3027	6.04	5.6382	0.015377	232	10
LINC00672	6.1015	6.0274		0.017142	233	10
ZNF529	6.3159	6.0259		0.020832	234	10
PGRMC2	6.2732	6.0125	5.8099	0.018563	235	10
KLHL12	6.1449	6.0118	6.0385	0.01285	236	10
PCDH10	6.1214	5.9938	5.7611	0.020642	237	10
NMU	6.0833	5.9926	5.803	0.021326	238	10
RTN4RL1	6.2591	5.9782	5.5894	0.017902	239	10
KRAS	6.333	5.9663	5.5611	0.018992	240	10
LY86-AS1	6.266	5.9639	5.5577	0.017231	241	10
RNF219	6.0131	5.9477		0.019045	242	10
GOLPH3L	6.1937	5.9424		0.019838	243	10
FZD3	6.1346	5.9397	5.7672	0.021923	244	10
NGEF	5.5689	5.9392	6.1543	0.012427	245	10
ZNF585A	6.2272	5.9386	5.6034	0.013843	246	10
LOC441204	6.1934	5.9272	5.6076	0.022331	247	10
