gene	thinning_Z	tail
AGBL4	11.4	top
PRSS12	10	top
LKAAEAR1	9.99	top
CHRM3	9.9	top
SEC24D	9.89	top
WIPF2	9.86	top
CPNE8	9.72	top
KIAA1549L	9.57	top
KIAA1549	9.41	top
HSF2	9.25	top
PPP1R14C	9.08	top
MAL2	8.83	top
LRRTM4	8.8	top
RUNDC1	8.76	top
MCHR2	8.74	top
CCK	8.73	top
HDAC9	8.7	top
RAPGEF2	8.69	top
KLHL25	8.67	top
SMIM24	8.6	top
KCNJ12	8.53	top
TPD52	8.44	top
LRRC2	8.43	top
COL23A1	8.42	top
SH2D5	8.37	top
CAPN2	-7.32	bottom
PHACTR2	-7.33	bottom
ITGAV	-7.34	bottom
HLA-B	-7.43	bottom
BRD2	-7.48	bottom
HLA-C	-7.52	bottom
RPS6KA2	-7.56	bottom
KCNE5	-7.6	bottom
CA12	-7.7	bottom
HLA-G	-7.73	bottom
GIT2	-7.74	bottom
EML4	-7.75	bottom
PMM2	-7.82	bottom
GFRA1	-7.84	bottom
LGR6	-7.95	bottom
PDE9A	-7.98	bottom
NACC2	-8.2	bottom
CCZ1B	-8.24	bottom
HDAC1	-8.31	bottom
MCM3	-8.32	bottom
RASSF8-AS1	-8.42	bottom
ZFAND6	-8.59	bottom
HLA-E	-9.02	bottom
HLA-J	-9.46	bottom
ANP32AP1	-10.4	bottom
