run	disorder	VARIABLE	TYPE	MODEL	NGENES	BETA	BETA_STD	SE	P	pair	partner	se_std
joint_ABCD_PLS2_HCP__ABCD_PLS2_DK	SCZ	ABCD_PLS2_DK	COVAR	1	6672	0.0040416	0.010395	0.0093644	0.66605	ABCD_PLS2_HCP + ABCD_PLS2_DK	ABCD_PLS2_HCP	0.024085
joint_ABCD_PLS2_HCP__ABCD_PLS2_DK	SCZ	ABCD_PLS2_HCP	COVAR	1	6672	0.016174	0.040623	0.0096451	0.09361	ABCD_PLS2_HCP + ABCD_PLS2_DK	ABCD_PLS2_DK	0.024225
joint_ABCD_PLS2_HCP__ABCD_PLS2_DK	MDD	ABCD_PLS2_DK	COVAR	1	6662	-0.003056	-0.007859	0.0088425	0.72966	ABCD_PLS2_HCP + ABCD_PLS2_DK	ABCD_PLS2_HCP	0.02274
joint_ABCD_PLS2_HCP__ABCD_PLS2_DK	MDD	ABCD_PLS2_HCP	COVAR	1	6662	0.028268	0.07099	0.0091888	0.0021046	ABCD_PLS2_HCP + ABCD_PLS2_DK	ABCD_PLS2_DK	0.023076
joint_ABCD_PLS2_HCP__AHBA_C3	SCZ	AHBA_C3	COVAR	1	6672	0.19784	0.051164	0.086724	0.022564	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	0.022428
joint_ABCD_PLS2_HCP__AHBA_C3	SCZ	ABCD_PLS2_HCP	COVAR	1	6672	0.0054544	0.0137	0.0089004	0.54001	ABCD_PLS2_HCP + AHBA_C3	AHBA_C3	0.022355
joint_ABCD_PLS2_HCP__AHBA_C3	MDD	AHBA_C3	COVAR	1	6662	0.25547	0.066056	0.082154	0.0018813	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	0.021242
joint_ABCD_PLS2_HCP__AHBA_C3	MDD	ABCD_PLS2_HCP	COVAR	1	6662	0.0081418	0.020447	0.0084657	0.33622	ABCD_PLS2_HCP + AHBA_C3	AHBA_C3	0.02126
joint_ABCD_PLS2_DK__AHBA_C3	SCZ	AHBA_C3	COVAR	1	6672	0.26778	0.06925	0.096668	0.0056205	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	0.024999
joint_ABCD_PLS2_DK__AHBA_C3	SCZ	ABCD_PLS2_DK	COVAR	1	6672	-0.0044866	-0.01154	0.0096322	0.64138	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	0.024775
joint_ABCD_PLS2_DK__AHBA_C3	MDD	AHBA_C3	COVAR	1	6662	0.41074	0.1062	0.091047	6.5656e-06	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	0.023541
joint_ABCD_PLS2_DK__AHBA_C3	MDD	ABCD_PLS2_DK	COVAR	1	6662	-0.013521	-0.034772	0.0090286	0.13429	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	0.023219
joint_ABCD_PLS2_HCP__AHBA_C1	SCZ	AHBA_C1	COVAR	1	6672	0.057221	0.033485	0.02766	0.038615	ABCD_PLS2_HCP + AHBA_C1	ABCD_PLS2_HCP	0.016186
joint_ABCD_PLS2_HCP__AHBA_C1	SCZ	ABCD_PLS2_HCP	COVAR	1	6672	0.020387	0.051205	0.0065614	0.0018976	ABCD_PLS2_HCP + AHBA_C1	AHBA_C1	0.01648
joint_ABCD_PLS2_HCP__AHBA_C1	MDD	AHBA_C1	COVAR	1	6662	0.024231	0.014179	0.02645	0.35966	ABCD_PLS2_HCP + AHBA_C1	ABCD_PLS2_HCP	0.015477
joint_ABCD_PLS2_HCP__AHBA_C1	MDD	ABCD_PLS2_HCP	COVAR	1	6662	0.026481	0.066501	0.0062709	2.4483e-05	ABCD_PLS2_HCP + AHBA_C1	AHBA_C1	0.015748
joint_ABCD_PLS2_HCP__NSPN_PLS2	SCZ	NSPN_PLS2	COVAR	1	6672	0.0094743	0.033153	0.0050543	0.060907	ABCD_PLS2_HCP + NSPN_PLS2	ABCD_PLS2_HCP	0.017686
joint_ABCD_PLS2_HCP__NSPN_PLS2	SCZ	ABCD_PLS2_HCP	COVAR	1	6672	0.014128	0.035485	0.0070827	0.046113	ABCD_PLS2_HCP + NSPN_PLS2	NSPN_PLS2	0.017789
joint_ABCD_PLS2_HCP__NSPN_PLS2	MDD	NSPN_PLS2	COVAR	1	6662	0.00048681	0.0017038	0.0047479	0.91834	ABCD_PLS2_HCP + NSPN_PLS2	ABCD_PLS2_HCP	0.016617
joint_ABCD_PLS2_HCP__NSPN_PLS2	MDD	ABCD_PLS2_HCP	COVAR	1	6662	0.025676	0.064481	0.006746	0.00014255	ABCD_PLS2_HCP + NSPN_PLS2	NSPN_PLS2	0.016941
joint_ABCD_PLS2_DK__NSPN_PLS2	SCZ	NSPN_PLS2	COVAR	1	6672	0.010142	0.035488	0.0059116	0.086294	ABCD_PLS2_DK + NSPN_PLS2	ABCD_PLS2_DK	0.020685
joint_ABCD_PLS2_DK__NSPN_PLS2	SCZ	ABCD_PLS2_DK	COVAR	1	6672	0.007114	0.018298	0.008043	0.37646	ABCD_PLS2_DK + NSPN_PLS2	NSPN_PLS2	0.020687
