run	disorder	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	MODEL
conditional_none	SCZ	lead	COVAR	6672	0.015627	0.040208	0.0063466	0.013836	
conditional_none	SCZ	static	COVAR	6672	0.0042304	0.031541	0.0021405	0.048165	
conditional_none	SCZ	C1	COVAR	6672	0.049918	0.029211	0.02758	0.070352	
conditional_none	SCZ	C3	COVAR	6672	0.23391	0.060491	0.063694	0.00024228	
conditional_none	SCZ	NSPN_PLS2	COVAR	6672	0.013351	0.046719	0.0046668	0.004238	
conditional_none	MDD	lead	COVAR	6662	0.017706	0.045552	0.0060076	0.0032174	
conditional_none	MDD	static	COVAR	6662	0.0023367	0.01742	0.0020655	0.25797	
conditional_none	MDD	C1	COVAR	6662	0.013684	0.0080071	0.026368	0.60382	
conditional_none	MDD	C3	COVAR	6662	0.30889	0.079866	0.060538	3.4573e-07	
conditional_none	MDD	NSPN_PLS2	COVAR	6662	0.007332	0.025662	0.004399	0.095617	
conditional_cond_C1	SCZ	C1	COVAR	6672	0.067309	0.039389	0.028202	0.017032	1
conditional_cond_C1	SCZ	lead	COVAR	6672	0.018907	0.048648	0.0064913	0.003597	1
conditional_cond_C1	SCZ	C1	COVAR	6672	0.0039802	0.0023292	0.063976	0.95039	2
conditional_cond_C1	SCZ	static	COVAR	6672	0.0039516	0.029463	0.0049657	0.42619	2
conditional_cond_C1	SCZ	C1	COVAR	6672	0.052039	0.030453	0.027557	0.059016	3
conditional_cond_C1	SCZ	C3	COVAR	6672	0.23641	0.061137	0.063694	0.00020778	3
conditional_cond_C1	SCZ	C1	COVAR	6672	0.034271	0.020055	0.028255	0.22521	4
conditional_cond_C1	SCZ	NSPN_PLS2	COVAR	6672	0.012079	0.042268	0.004783	0.011579	4
conditional_cond_C1	MDD	C1	COVAR	6662	0.032333	0.01892	0.027011	0.23134	1
conditional_cond_C1	MDD	lead	COVAR	6662	0.019328	0.049724	0.0061582	0.0017059	1
conditional_cond_C1	MDD	C1	COVAR	6662	-0.074041	-0.043326	0.062144	0.23353	2
conditional_cond_C1	MDD	static	COVAR	6662	0.0075892	0.056577	0.0048684	0.11908	2
conditional_cond_C1	MDD	C1	COVAR	6662	0.019376	0.011338	0.026337	0.46195	3
conditional_cond_C1	MDD	C3	COVAR	6662	0.31076	0.080352	0.060595	3.0098e-07	3
conditional_cond_C1	MDD	C1	COVAR	6662	0.0048423	0.0028335	0.026942	0.85737	4
conditional_cond_C1	MDD	NSPN_PLS2	COVAR	6662	0.0071656	0.02508	0.0044956	0.11101	4
conditional_cond_static	SCZ	static	COVAR	6672	0.0047184	0.03518	0.0021475	0.028044	1
conditional_cond_static	SCZ	lead	COVAR	6672	0.01683	0.043303	0.0063682	0.0082435	1
conditional_cond_static	SCZ	static	COVAR	6672	0.0039516	0.029463	0.0049657	0.42619	2
conditional_cond_static	SCZ	C1	COVAR	6672	0.0039802	0.0023292	0.063976	0.95039	2
conditional_cond_static	SCZ	static	COVAR	6672	0.0037284	0.027799	0.0021432	0.081973	3
conditional_cond_static	SCZ	C3	COVAR	6672	0.22659	0.058597	0.063822	0.00038769	3
conditional_cond_static	SCZ	static	COVAR	6672	0.0031212	0.023272	0.0021846	0.15314	4
conditional_cond_static	SCZ	NSPN_PLS2	COVAR	6672	0.011977	0.041908	0.0047646	0.011974	4
conditional_cond_static	MDD	static	COVAR	6662	0.0029909	0.022297	0.002075	0.14952	1
conditional_cond_static	MDD	lead	COVAR	6662	0.018597	0.047844	0.0060388	0.0020816	1
conditional_cond_static	MDD	static	COVAR	6662	0.0075892	0.056577	0.0048684	0.11908	2
conditional_cond_static	MDD	C1	COVAR	6662	-0.074041	-0.043326	0.062144	0.23353	2
conditional_cond_static	MDD	static	COVAR	6662	0.001945	0.0145	0.0020628	0.34578	3
conditional_cond_static	MDD	C3	COVAR	6662	0.30674	0.079312	0.060582	4.242e-07	3
conditional_cond_static	MDD	static	COVAR	6662	0.0017565	0.013095	0.0021021	0.40341	4
conditional_cond_static	MDD	NSPN_PLS2	COVAR	6662	0.0066351	0.023223	0.0044774	0.13842	4
conditional_cond_lead	SCZ	lead	COVAR	6672	0.01683	0.043303	0.0063682	0.0082435	1
conditional_cond_lead	SCZ	static	COVAR	6672	0.0047184	0.03518	0.0021475	0.028044	1
conditional_cond_lead	SCZ	lead	COVAR	6672	0.018907	0.048648	0.0064913	0.003597	2
conditional_cond_lead	SCZ	C1	COVAR	6672	0.067309	0.039389	0.028202	0.017032	2
conditional_cond_lead	SCZ	lead	COVAR	6672	-0.0048639	-0.012515	0.0097473	0.6178	3
conditional_cond_lead	SCZ	C3	COVAR	6672	0.271	0.070082	0.097882	0.0056465	3
conditional_cond_lead	SCZ	lead	COVAR	6672	0.0073055	0.018797	0.0079792	0.35993	4
conditional_cond_lead	SCZ	NSPN_PLS2	COVAR	6672	0.010094	0.035321	0.0058683	0.085467	4
conditional_cond_lead	MDD	lead	COVAR	6662	0.018597	0.047844	0.0060388	0.0020816	1
conditional_cond_lead	MDD	static	COVAR	6662	0.0029909	0.022297	0.002075	0.14952	1
conditional_cond_lead	MDD	lead	COVAR	6662	0.019328	0.049724	0.0061582	0.0017059	2
conditional_cond_lead	MDD	C1	COVAR	6662	0.032333	0.01892	0.027011	0.23134	2
conditional_cond_lead	MDD	lead	COVAR	6662	-0.01249	-0.032131	0.0091373	0.17171	3
conditional_cond_lead	MDD	C3	COVAR	6662	0.40396	0.10445	0.092208	1.2015e-05	3
conditional_cond_lead	MDD	lead	COVAR	6662	0.018446	0.047454	0.0075742	0.014907	4
conditional_cond_lead	MDD	NSPN_PLS2	COVAR	6662	-0.00088859	-0.0031101	0.0055434	0.87265	4
conditional_cond_C3	SCZ	C3	COVAR	6672	0.271	0.070082	0.097882	0.0056465	1
conditional_cond_C3	SCZ	lead	COVAR	6672	-0.0048639	-0.012515	0.0097473	0.6178	1
conditional_cond_C3	SCZ	C3	COVAR	6672	0.22659	0.058597	0.063822	0.00038769	2
conditional_cond_C3	SCZ	static	COVAR	6672	0.0037284	0.027799	0.0021432	0.081973	2
conditional_cond_C3	SCZ	C3	COVAR	6672	0.23641	0.061137	0.063694	0.00020778	3
conditional_cond_C3	SCZ	C1	COVAR	6672	0.052039	0.030453	0.027557	0.059016	3
conditional_cond_C3	SCZ	C3	COVAR	6672	0.19298	0.049906	0.077998	0.013382	4
conditional_cond_C3	SCZ	NSPN_PLS2	COVAR	6672	0.005194	0.018175	0.0057124	0.36325	4
conditional_cond_C3	MDD	C3	COVAR	6662	0.40396	0.10445	0.092208	1.2015e-05	1
conditional_cond_C3	MDD	lead	COVAR	6662	-0.01249	-0.032131	0.0091373	0.17171	1
conditional_cond_C3	MDD	C3	COVAR	6662	0.30674	0.079312	0.060582	4.242e-07	2
conditional_cond_C3	MDD	static	COVAR	6662	0.001945	0.0145	0.0020628	0.34578	2
conditional_cond_C3	MDD	C3	COVAR	6662	0.31076	0.080352	0.060595	3.0098e-07	3
