gene_analysis	disorder	ld	role	VARIABLE	NGENES	BETA	BETA_STD	SE	P	se_std
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_DK	10460	0.0090136	0.022929	0.0047475	0.057652	0.012077
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_HCP	6986	0.015126	0.038081	0.0062822	0.016081	0.015816
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	ABCD_PLS2_DKmatched	6986	0.015544	0.039623	0.0061702	0.011785	0.015728
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	AHBA_C3	6986	0.22167	0.057615	0.061327	0.00030321	0.01594
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	NSPN_PLS2	16723	0.010371	0.030983	0.0030719	0.00073775	0.0091772
PGC3_primary	SCZ	g1000_eur (mismatched)	old GWAS, as in 08/14	AHBA_C1	6986	0.055283	0.03225	0.026762	0.038895	0.015612
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DK	10840	0.010967	0.027896	0.0045024	0.014874	0.011452
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_HCP	7235	0.022027	0.055387	0.0059178	0.00019918	0.01488
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	ABCD_PLS2_DKmatched	7235	0.016811	0.042885	0.0057648	0.0035567	0.014706
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	AHBA_C3	7235	0.27703	0.071897	0.057561	1.5218e-06	0.014939
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	NSPN_PLS2	17322	0.0056094	0.016736	0.0029274	0.055364	0.0087341
MDD_div	MDD	g1000_eur (mismatched)	as in 08/14	AHBA_C1	7235	0.02165	0.012644	0.025128	0.38895	0.014675
