gene_analysis	disorder	ld	role	pair	VARIABLE	NGENES	BETA	BETA_STD	SE	P	se_std
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	6912	0.32524	0.084067	0.088794	0.00025135	0.022951
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	6912	-0.013664	-0.035181	0.0088283	0.12174	0.02273
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_HCP + AHBA_C3	AHBA_C3	7002	0.25497	0.066267	0.080407	0.0015259	0.020898
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_HCP + AHBA_C3	ABCD_PLS2_HCP	7002	-0.0033963	-0.0085535	0.0082326	0.67996	0.020734
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_DK + AHBA_C1	AHBA_C1	6912	0.096135	0.056354	0.026285	0.0002567	0.015408
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_DK + AHBA_C1	ABCD_PLS2_DK	6912	0.014887	0.03833	0.0060793	0.014363	0.015653
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_DKmatched	7002	0.011788	0.030054	0.0089995	0.19028	0.022945
SCZ25_META	SCZ	g1000 EUR/AFR/EAS, per-ancestry + --meta	primary	ABCD_PLS2_HCP + ABCD_PLS2_DKmatched	ABCD_PLS2_HCP	7002	0.0053226	0.013405	0.00914	0.56035	0.023019
SCZ25_EUR	SCZ	g1000_eur (matched)	EUR	ABCD_PLS2_DK + AHBA_C3	AHBA_C3	6909	0.36132	0.093387	0.092309	9.1599e-05	0.023858
SCZ25_EUR	SCZ	g1000_eur (matched)	EUR	ABCD_PLS2_DK + AHBA_C3	ABCD_PLS2_DK	6909	-0.02164	-0.055716	0.009187	0.01853	0.023654
