vector	ds	gene_set	n_universe	n_set	mean_Z_set	mean_Z_universe	z_unmatched	p2_unmatched	p1_thinning_unmatched	z_lengthmatched	p2_lengthmatched	p1_thinning_lengthmatched	auc	p_mannwhitney	n_top_decile	n_bottom_decile	expected_decile	p_top_decile	p_bottom_decile
lead_opt2_PLS2	ds0	SCZ_prioritised	13763	92	0.4396	0.04767	1.469	0.1458	0.07449	1.018	0.3093	0.1546	0.5407	0.1774	11	12	9.198	0.312	0.2061
lead_opt2_PLS2	ds0	SCZ_prio_finemap	13763	58	0.976	0.04767	2.804	0.0041	0.0021	2.143	0.0339	0.0183	0.5957	0.01177	11	7	5.799	0.02698	0.3594
lead_opt2_PLS2	ds0	SCZ_locus_pool	13763	394	0.3245	0.04767	2.176	0.0288	0.0145	1.79	0.07409	0.0373	0.5328	0.02607	44	41	39.39	0.2385	0.417
lead_opt2_PLS2	ds0	SCZ_pool_not_prio	13763	302	0.2894	0.04767	1.686	0.09309	0.0475	1.434	0.1483	0.07299	0.5299	0.07462	33	29	30.19	0.3202	0.6202
lead_opt2_PLS2	ds0	SCZ_trubetskoy_smr101	13763	54	-0.3669	0.04767	-1.203	0.2279	0.8863	-1.205	0.2262	0.888	0.4521	0.2238	2	8	5.399	0.9765	0.1674
lead_opt2_PLS2	ds0	MDD_highconf	13763	202	0.7547	0.04767	4.03	0.0003	0.0002	2.823	0.0045	0.0021	0.583	5.005e-05	31	14	20.2	0.01036	0.9494
lead_opt2_PLS2	ds0	MDD_hc_finemap	13763	150	0.8044	0.04767	3.659	0.0004	0.0004	2.376	0.0176	0.009499	0.5877	0.0002156	24	10	15	0.01381	0.9408
lead_opt2_PLS2	ds0	MDD_pool	13763	1626	0.1832	0.04767	2.305	0.0204	0.009799	1.435	0.1531	0.07809	0.5181	0.01746	170	155	162.6	0.2689	0.7598
lead_opt2_PLS2	ds0	MDD_pool_not_hc	13763	1424	0.1021	0.04767	0.8456	0.3954	0.1958	0.3761	0.7029	0.3497	0.5074	0.3587	139	141	142.4	0.6377	0.5654
lead_opt2_PLS2	ds0	MDD_howard2019_32	13763	23	-0.6341	0.04767	-1.31	0.1884	0.909	-1.26	0.2101	0.8989	0.4425	0.3401	2	4	2.299	0.685	0.1925
lead_opt2_PLS2	ds0	MDD_howard2019_magma	13763	214	0.1613	0.04767	0.6688	0.5017	0.2507	0.02315	0.9798	0.4875	0.5181	0.3622	26	20	21.4	0.1718	0.6594
lead_opt2_PLS2	ds25	SCZ_prioritised	10322	78	0.4194	0.2874	0.4596	0.6494	0.3259	-0.01175	0.9912	0.5075	0.5059	0.8562	8	10	7.798	0.525	0.2502
lead_opt2_PLS2	ds25	SCZ_prio_finemap	10322	53	0.8188	0.2874	1.512	0.1261	0.06099	0.9689	0.3366	0.1701	0.5516	0.1947	8	7	5.299	0.1552	0.2764
lead_opt2_PLS2	ds25	SCZ_locus_pool	10322	311	0.4804	0.2874	1.356	0.1751	0.08829	0.9825	0.3242	0.1619	0.5228	0.1705	34	33	31.09	0.3154	0.3851
lead_opt2_PLS2	ds25	SCZ_pool_not_prio	10322	233	0.5008	0.2874	1.284	0.1963	0.09739	1.16	0.2476	0.1246	0.5282	0.1411	26	23	23.3	0.3056	0.5589
lead_opt2_PLS2	ds25	SCZ_trubetskoy_smr101	10322	43	-0.4265	0.2874	-1.851	0.06269	0.9715	-1.929	0.05419	0.9745	0.4133	0.04933	0	6	4.299	1	0.2564
lead_opt2_PLS2	ds25	MDD_highconf	10322	185	0.9305	0.2874	3.448	0.0003	9.999e-05	2.419	0.0148	0.006199	0.5747	0.0004865	24	13	18.5	0.1105	0.937
lead_opt2_PLS2	ds25	MDD_hc_finemap	10322	139	0.998	0.2874	3.269	0.0016	0.0005999	2.047	0.0396	0.0231	0.5809	0.00104	18	8	13.9	0.1525	0.9735
lead_opt2_PLS2	ds25	MDD_pool	10322	1263	0.4514	0.2874	2.435	0.0167	0.008299	1.784	0.07639	0.0389	0.5226	0.009211	133	117	126.3	0.2646	0.8361
lead_opt2_PLS2	ds25	MDD_pool_not_hc	10322	1078	0.3691	0.2874	1.117	0.2694	0.1359	0.8611	0.3959	0.1964	0.5119	0.2015	109	104	107.8	0.4647	0.6737
lead_opt2_PLS2	ds25	MDD_howard2019_32	10322	18	-0.8567	0.2874	-1.913	0.05599	0.9737	-1.965	0.0485	0.9771	0.4034	0.156	1	4	1.8	0.8501	0.09797
lead_opt2_PLS2	ds25	MDD_howard2019_magma	10322	181	0.3893	0.2874	0.5414	0.5871	0.2964	-0.02216	0.9802	0.5117	0.5209	0.3338	19	20	18.1	0.4472	0.3524
lead_opt2_PLS2	ds50	SCZ_prioritised	6931	58	0.5965	0.5275	0.218	0.829	0.4131	-0.1373	0.8827	0.5581	0.4954	0.904	6	4	5.799	0.5291	0.8453
lead_opt2_PLS2	ds50	SCZ_prio_finemap	6931	39	0.9997	0.5275	1.177	0.2419	0.1207	0.7013	0.4844	0.2405	0.5442	0.3401	6	3	3.899	0.1896	0.7629
