label,PLS1_gene_scores,PLS1_imaging_scores
lh_bankssts,-57.0231,-0.686212
lh_caudalanteriorcingulate,100.17,0.0388332
lh_caudalmiddlefrontal,-8.19341,0.740712
lh_cuneus,-71.1517,-0.277142
lh_entorhinal,173.261,2.94139
lh_fusiform,2.96305,0.252444
lh_inferiorparietal,-34.2933,-1.18328
lh_inferiortemporal,13.6718,-0.0528759
lh_isthmuscingulate,15.5046,-0.314783
lh_lateraloccipital,-66.4589,0.478757
lh_lateralorbitofrontal,-19.108,-0.699736
lh_lingual,-47.8374,-0.136769
lh_medialorbitofrontal,-6.12869,-0.809703
lh_middletemporal,8.45047,-0.0452977
lh_parahippocampal,73.8166,0.666316
lh_paracentral,-18.0026,-0.920231
lh_parsopercularis,11.2557,0.59355
lh_parsorbitalis,-39.9509,-1.57521
lh_parstriangularis,-30.5358,-0.604096
lh_pericalcarine,-37.5242,1.03432
lh_postcentral,-10.8255,-0.0189761
lh_posteriorcingulate,11.7765,-0.303514
lh_precentral,3.14069,2.27848
lh_precuneus,-53.0619,-1.21717
lh_rostralanteriorcingulate,41.5303,-0.30593
lh_rostralmiddlefrontal,-38.4546,-1.06383
lh_superiorfrontal,-7.64947,-0.457984
lh_superiorparietal,-39.2214,-0.775487
lh_superiortemporal,-2.18957,0.454682
lh_supramarginal,-21.496,-0.260496
lh_temporalpole,162,2.15588
lh_transversetemporal,-33.052,-0.00350396
lh_insula,24.6177,0.0768687
