label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-29.8404,-0.190715,-38.1238,-0.660984
lh_caudalanteriorcingulate,91.9236,-0.375177,44.3186,0.179149
lh_caudalmiddlefrontal,7.64736,0.524357,-19.6027,0.596516
lh_cuneus,-150.925,-1.79706,43.9002,0.364712
lh_entorhinal,141.387,2.49531,88.3448,2.21709
lh_fusiform,28.6553,0.433024,-13.4647,0.109906
lh_inferiorparietal,-41.0085,-0.489099,-7.16323,-1.08093
lh_inferiortemporal,36.4296,0.552812,-15.907,-0.259343
lh_isthmuscingulate,-24.9248,-0.93083,31.1302,0.00649927
lh_lateraloccipital,-110.619,-0.917451,16.758,0.846944
lh_lateralorbitofrontal,21.7466,0.0577779,-38.6262,-0.766647
lh_lingual,-124.418,-1.48419,44.1451,0.399354
lh_medialorbitofrontal,62.1418,-0.59746,-49.8191,-0.643166
lh_middletemporal,38.9259,0.835691,-19.2592,-0.355154
lh_parahippocampal,78.1828,0.506729,26.4899,0.523736
lh_paracentral,-30.4099,-0.333552,2.46222,-0.857829
lh_parsopercularis,32.994,0.519291,-23.0905,0.441605
lh_parsorbitalis,6.40656,0.0905054,-50.7035,-1.71131
lh_parstriangularis,5.78077,-0.194492,-48.4929,-0.572118
lh_pericalcarine,-163.219,-2.01144,87.3935,1.84054
lh_postcentral,-52.9325,-1.13291,24.9438,0.395835
lh_posteriorcingulate,17.1077,-0.534065,-6.28722,-0.127204
lh_precentral,-10.4777,0.905608,8.38923,2.09469
lh_precuneus,-38.7301,-0.699983,-24.1561,-1.03959
lh_rostralanteriorcingulate,84.9617,0.327883,-10.1361,-0.446319
lh_rostralmiddlefrontal,4.5006,-0.680162,-48.063,-0.883521
lh_superiorfrontal,24.8615,0.594439,-26.5519,-0.706191
lh_superiorparietal,-50.5684,-0.969624,-3.2886,-0.470042
lh_superiortemporal,25.0534,0.975465,-20.706,0.126143
lh_supramarginal,-6.41691,0.0722769,-24.3211,-0.30405
lh_temporalpole,151.615,3.34927,53.1517,1.06668
lh_transversetemporal,-87.4106,0.0546333,31.8812,-0.0237963
lh_insula,61.58,1.04315,-15.5458,-0.301197
