label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores
lh_bankssts,-31.6939,-0.295033,-36.7841,-0.61956
lh_caudalanteriorcingulate,93.7153,0.232389,38.8155,-0.069024
lh_caudalmiddlefrontal,-16.807,-0.607473,5.34082,1.11559
lh_cuneus,-122.987,-0.603288,27.8833,-0.0165983
lh_entorhinal,150.928,2.6325,73.9504,1.99561
lh_fusiform,35.4872,0.426601,-24.2515,0.0744384
lh_inferiorparietal,-38.5796,-0.731526,-7.29505,-0.960841
lh_inferiortemporal,39.3507,1.03979,-23.1483,-0.560475
lh_isthmuscingulate,-24.4606,-1.8173,34.9412,0.527443
lh_lateraloccipital,-94.547,-0.293535,8.68802,0.673235
lh_lateralorbitofrontal,22.9783,0.414502,-44.6574,-0.976972
lh_lingual,-98.3674,-0.473091,28.2217,0.0764359
lh_medialorbitofrontal,63.2966,0.617174,-59.7078,-1.19687
lh_middletemporal,38.5314,1.16927,-23.2836,-0.614544
lh_parahippocampal,92.1416,1.22107,7.17671,0.150599
lh_paracentral,-52.4576,-2.07939,29.3572,-0.0183377
lh_parsopercularis,13.1799,-0.0327763,-5.47841,0.674863
lh_parsorbitalis,0.875983,0.109499,-49.0313,-1.80186
lh_parstriangularis,-10.4418,0.00759096,-34.7713,-0.674418
lh_pericalcarine,-118.243,0.25715,56.8567,1.02436
lh_postcentral,-65.1208,-0.590781,44.3973,0.264019
lh_posteriorcingulate,5.2092,-1.15697,5.08633,0.221305
lh_precentral,-38.0661,-0.527683,40.3631,2.78454
lh_precuneus,-40.1166,-1.29588,-21.567,-0.726142
lh_rostralanteriorcingulate,92.1684,0.395851,-25.3544,-0.530711
lh_rostralmiddlefrontal,-2.44177,-0.165754,-44.4778,-1.10124
lh_superiorfrontal,7.1436,-0.269559,-10.9117,-0.378441
lh_superiorparietal,-52.6567,-1.16744,2.60591,-0.297697
lh_superiortemporal,26.6087,0.999599,-25.9469,0.0224842
lh_supramarginal,-16.0406,-0.234016,-15.0859,-0.176314
lh_temporalpole,153.9,2.99191,43.2584,0.94999
lh_transversetemporal,-78.9907,-0.746914,31.6951,0.356543
lh_insula,66.5039,0.573503,-26.885,-0.191401
