label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores,PLS4_gene_scores,PLS4_imaging_scores
lh_bankssts,-26.9796,0.214562,-42.3889,-0.902222,-13.1348,-0.0195793,-36.5591,0.121125
lh_caudalanteriorcingulate,95.8119,1.1193,34.3614,-1.1886,15.8703,-0.0847982,98.2712,1.96363
lh_caudalmiddlefrontal,-0.659123,-0.310109,-13.6766,0.543235,60.8667,1.14564,-22.1478,0.218136
lh_cuneus,-157.364,-2.27222,27.8328,0.48782,-60.2443,-0.727993,6.0697,-0.0907231
lh_entorhinal,140.141,2.19051,108.594,3.0075,2.09849,-0.0170569,44.7734,-0.173063
lh_fusiform,33.7704,0.421677,-11.4675,0.315854,-30.1121,-0.0956424,-17.7793,-0.246266
lh_inferiorparietal,-40.8992,-0.357264,-11.8502,-1.10523,-11.8528,-0.0270168,-4.24043,-0.332837
lh_inferiortemporal,41.3696,1.09379,-8.05,-0.0287191,-16.7383,-0.691072,-6.49702,-0.454444
lh_isthmuscingulate,-30.1957,-1.49588,22.0927,-0.684301,24.7816,1.08181,62.6415,0.815353
lh_lateraloccipital,-114.597,-1.58445,5.36692,1.01102,-39.6622,-0.263195,-13.649,-0.00297519
lh_lateralorbitofrontal,29.5287,0.786827,-39.4958,-0.748755,-22.1718,-0.528216,-5.35847,-0.172803
lh_lingual,-127.886,-1.77893,30.7456,0.385423,-48.9556,-0.554737,23.0501,0.144843
lh_medialorbitofrontal,75.534,0.731079,-50.0018,-1.11841,-31.2547,-1.11119,-22.2875,0.395789
lh_middletemporal,43.1366,1.54492,-15.2158,-0.178333,-10.3393,-0.601009,-13.6202,-0.377623
lh_parahippocampal,83.3874,1.03549,32.8309,0.588546,-32.3237,-0.551793,29.4514,0.192517
lh_paracentral,-43.1722,-1.75884,0.134921,-0.477056,68.9897,1.26703,-11.8718,-0.875896
lh_parsopercularis,29.8856,0.400932,-10.8292,0.188998,52.4992,0.607307,-16.2506,0.454603
lh_parsorbitalis,13.8185,0.762407,-51.1367,-1.40016,-9.00765,-0.593479,-29.3262,-0.932701
lh_parstriangularis,7.00087,0.219256,-40.868,-0.653495,31.3862,-0.27954,-29.9464,-0.0539536
lh_pericalcarine,-168.521,-2.31486,69.7692,1.61895,-88.6655,-1.17215,56.0572,0.768201
lh_postcentral,-66.547,-1.8088,30.027,0.562343,51.8967,-0.239756,-24.7972,-0.178412
lh_posteriorcingulate,16.8496,-0.147625,-13.2693,-1.23747,40.6128,0.83037,45.1365,1.406
lh_precentral,-25.6106,-1.00751,12.5719,2.31646,85.4888,1.70924,-16.2865,0.273126
lh_precuneus,-37.8363,-0.822702,-32.6975,-1.19219,-10.3983,0.369987,-24.5871,-0.127456
lh_rostralanteriorcingulate,101.941,1.67162,-28.2358,-1.27133,-27.7215,-0.0469769,62.3178,1.06046
lh_rostralmiddlefrontal,10.0021,0.00406092,-47.6556,-1.11754,-3.02578,-0.563307,-28.7612,0.035472
lh_superiorfrontal,23.3485,0.398475,-29.7924,-0.440812,36.7683,0.445088,-5.08373,-0.57662
lh_superiorparietal,-54.5043,-1.48657,-8.81106,-0.432661,3.2904,0.152608,-13.849,-0.280676
lh_superiortemporal,29.1051,1.13181,-14.3127,0.49201,-16.0738,-0.208116,-27.9597,-0.414908
lh_supramarginal,-8.04978,0.0304475,-17.5525,-0.323702,17.8954,0.145838,-30.2874,-0.148244
lh_temporalpole,155.26,3.13691,100.348,2.51339,5.88909,-0.149784,-29.0772,-1.37641
lh_transversetemporal,-96.9515,-0.949584,28.0585,0.415245,-2.95209,0.64824,-5.40921,-0.607951
lh_insula,69.8824,1.20128,-15.4265,0.0541796,-23.6993,0.123251,7.86344,-0.425288
