label,PLS1_gene_scores,PLS1_imaging_scores,PLS2_gene_scores,PLS2_imaging_scores,PLS3_gene_scores,PLS3_imaging_scores
lh_bankssts,-32.1635,0.23697,-22.0955,-0.294342,-40.9867,-0.155823
lh_caudalanteriorcingulate,105.211,1.83659,31.9322,0.806858,60.3431,0.746934
lh_caudalmiddlefrontal,-9.34209,-0.640966,-61.1645,-1.51578,32.3897,0.448289
lh_cuneus,-141.285,-1.41384,68.4636,1.64148,-16.2873,0.00242767
lh_entorhinal,135.273,1.26959,57.7831,1.68414,39.3342,0.214511
lh_fusiform,29.5917,0.0937023,2.71998,0.459619,-49.7158,-1.38161
lh_inferiorparietal,-43.5586,-1.3726,2.78747,-0.86837,-11.8776,-0.206043
lh_inferiortemporal,36.0737,0.185617,-5.13742,-0.043364,-37.017,-1.27422
lh_isthmuscingulate,-18.1525,0.630529,31.1473,0.206955,28.2271,0.437774
lh_lateraloccipital,-107.703,-1.6902,33.0186,0.610273,-21.5131,-0.745025
lh_lateralorbitofrontal,31.48,1.20968,-25.0558,-0.0888904,-25.9582,-0.423238
lh_lingual,-112.484,-1.06935,73.824,1.74172,-16.4124,-0.431924
lh_medialorbitofrontal,70.6277,1.64581,-30.8826,0.109657,-27.1592,0.0888626
lh_middletemporal,36.0831,0.148709,-17.345,-0.466529,-27.4626,-0.766864
lh_parahippocampal,88.4867,1.12422,37.4131,0.99718,-23.5726,0.0299448
lh_paracentral,-44.2855,-1.47676,-27.8511,-0.481696,41.6894,0.301229
lh_parsopercularis,24.157,0.259203,-48.78,-1.0995,17.8925,-0.0443272
lh_parsorbitalis,9.23683,0.733623,-39.7511,-0.984516,-14.8652,0.274486
lh_parstriangularis,1.61446,0.279117,-62.3255,-1.44556,0.347442,0.278015
lh_pericalcarine,-141.261,-1.00725,121.518,2.44382,0.323227,0.7195
lh_postcentral,-69.5653,-0.89253,-7.74082,0.0760543,43.5567,0.592543
lh_posteriorcingulate,20.762,0.771955,-10.4545,-0.157889,23.6758,0.420228
lh_precentral,-31.6032,-0.947167,-42.7267,-0.298963,54.9309,0.696555
lh_precuneus,-41.3667,-1.6634,-14.4856,-0.747319,-15.1093,-0.208049
lh_rostralanteriorcingulate,106.562,2.1867,21.2771,0.965237,6.38743,0.27664
lh_rostralmiddlefrontal,4.25946,-0.228125,-46.0284,-1.91952,-11.0486,0.299889
lh_superiorfrontal,18.5469,-0.488155,-46.8925,-2.25763,17.0601,0.164318
lh_superiorparietal,-58.0104,-2.28116,-5.93572,-0.781521,3.72708,0.476751
lh_superiortemporal,23.6636,-0.00198234,-10.0933,-0.698567,-34.6868,-1.06255
lh_supramarginal,-17.4288,-0.79012,-29.8335,-0.95062,-9.55009,0.327468
lh_temporalpole,133.535,1.02512,32.0312,1.46681,37.8458,0.536119
lh_transversetemporal,-80.7203,0.277643,36.1438,0.444571,1.92964,-0.257237
lh_insula,73.7656,2.04882,4.51993,1.44621,-26.4374,-0.375572
