arm	map	level	region	cortex	r	t	p	n
PRSCS_SCZ25_META	absolute	cortex	1	Primary_Visual	-0.0029661	-0.27478	0.78349	8596
PRSCS_SCZ25_META	absolute	cortex	2	Early_Visual	0.02229	2.0654	0.038913	8596
PRSCS_SCZ25_META	absolute	cortex	3	Dorsal_Stream_Visual	0.023681	2.1944	0.028232	8596
PRSCS_SCZ25_META	absolute	cortex	4	Ventral_Stream_Visual	0.016342	1.5141	0.13003	8596
PRSCS_SCZ25_META	absolute	cortex	5	MT+_Complex_and_Neighboring_Visual_Areas	0.029062	2.6934	0.0070869	8596
PRSCS_SCZ25_META	absolute	cortex	6	Somatosensory_and_Motor	0.0056347	0.522	0.60168	8596
PRSCS_SCZ25_META	absolute	cortex	7	Paracentral_Lobular_and_Mid_Cingulate	0.027832	2.5793	0.0099167	8596
PRSCS_SCZ25_META	absolute	cortex	8	Premotor	0.02928	2.7136	0.0066686	8596
PRSCS_SCZ25_META	absolute	cortex	9	Posterior_Opercular	0.0084465	0.78251	0.43394	8596
PRSCS_SCZ25_META	absolute	cortex	10	Early_Auditory	0.034141	3.1646	0.0015583	8596
PRSCS_SCZ25_META	absolute	cortex	11	Auditory_Association	0.020691	1.9172	0.055242	8596
PRSCS_SCZ25_META	absolute	cortex	12	Insular_and_Frontal_Opercular	-0.014747	-1.3663	0.17188	8596
PRSCS_SCZ25_META	absolute	cortex	13	Medial_Temporal	0.0033196	0.30752	0.75845	8596
PRSCS_SCZ25_META	absolute	cortex	14	Lateral_Temporal	0.0093587	0.86702	0.38596	8596
PRSCS_SCZ25_META	absolute	cortex	15	Temporo-Parieto_Occipital_Junction	0.033606	3.115	0.0018456	8596
PRSCS_SCZ25_META	absolute	cortex	16	Superior_Parietal	0.022906	2.1225	0.03382	8596
PRSCS_SCZ25_META	absolute	cortex	17	Inferior_Parietal	0.015491	1.4353	0.15124	8596
PRSCS_SCZ25_META	absolute	cortex	18	Posterior_Cingulate	0.013687	1.2681	0.20481	8596
PRSCS_SCZ25_META	absolute	cortex	19	Anterior_Cingulate_and_Medial_Prefrontal	0.016971	1.5724	0.11589	8596
PRSCS_SCZ25_META	absolute	cortex	20	Orbital_and_Polar_Frontal	0.0020309	0.18814	0.85077	8596
PRSCS_SCZ25_META	absolute	cortex	21	Inferior_Frontal	0.022729	2.1061	0.03522	8596
PRSCS_SCZ25_META	absolute	cortex	22	Dorsolateral_Prefrontal	0.025401	2.3539	0.018599	8596
PRSCS_SCZ25_META	absolute	parcel	lh_1		0.011092	1.0276	0.30415	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10d		0.0016437	0.15227	0.87898	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10pp		0.0012638	0.11708	0.9068	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10r		0.028138	2.6077	0.0091309	8596
PRSCS_SCZ25_META	absolute	parcel	lh_10v		-0.0047945	-0.44416	0.65694	8596
