parcel,n_vertices,n_sources,dominant_frac,n_sources_5pct
V1,4181,15,0.2652,6
MST,360,4,0.3083,4
V6,509,5,0.3517,4
V2,3052,17,0.1897,7
V3,1920,15,0.1688,10
V4,1561,9,0.2223,6
V8,297,2,0.9966,1
4,4015,12,0.2085,7
3b,2845,10,0.1958,7
FEF,832,4,0.72,2
PEF,375,3,0.5813,3
55b,656,4,0.3994,3
V3A,648,3,0.6019,3
RSC,1092,4,0.4233,4
POS2,1209,4,0.5773,3
V7,274,2,0.8248,2
IPS1,652,4,0.8221,2
FFC,780,4,0.4077,3
V3B,357,5,0.4398,4
LO1,318,3,0.5912,3
LO2,323,4,0.2817,4
PIT,314,3,0.4459,3
MT,292,3,0.8116,2
A1,400,2,0.9925,1
PSL,873,5,0.4742,4
SFL,888,5,0.5034,4
PCV,712,4,0.4986,3
STV,680,4,0.4706,3
7Pm,490,3,0.9306,1
7m,636,4,0.5,4
POS1,1045,3,0.5445,3
23d,511,2,0.7632,2
v23ab,372,5,0.5054,4
d23ab,477,3,0.696,2
31pv,506,4,0.6245,4
5m,503,2,0.9583,1
5mv,977,6,0.2897,4
23c,1253,7,0.5834,3
5L,854,4,0.4016,4
24dd,1115,7,0.5713,3
24dv,677,4,0.7164,3
7AL,1082,5,0.6414,3
SCEF,1139,5,0.3494,5
6ma,966,4,0.3903,4
7Am,1047,5,0.3887,4
7PL,531,3,0.8738,2
7PC,865,4,0.6324,3
LIPv,765,5,0.6758,3
VIP,699,3,0.7182,3
MIP,819,5,0.8168,2
1,2162,9,0.2118,7
2,2554,10,0.2651,8
3a,1812,16,0.2174,9
6d,917,3,0.4013,3
6mp,1434,5,0.3696,5
6v,463,3,0.4622,3
p24pr,452,3,0.8628,2
33pr,311,2,0.6656,2
a24pr,387,1,1,1
p32pr,732,4,0.6913,3
a24,445,2,0.9978,1
d32,552,5,0.5525,3
8BM,781,5,0.5928,4
p32,442,5,0.4027,5
10r,445,3,0.7371,2
47m,237,2,0.9114,2
8Av,977,5,0.4893,2
8Ad,1157,5,0.4373,4
9m,1140,6,0.4342,4
8BL,633,4,0.5103,4
9p,741,5,0.6086,4
10d,867,7,0.6863,3
8C,1042,5,0.5912,5
44,696,3,0.4497,3
45,956,4,0.4393,3
47l,657,4,0.4094,4
a47r,915,6,0.6831,2
6r,1176,5,0.4201,4
IFJa,567,4,0.6631,2
IFJp,502,5,0.3665,4
IFSp,520,4,0.6923,3
IFSa,666,3,0.4294,3
p9-46v,794,4,0.6814,3
46,1057,5,0.3368,5
a9-46v,727,6,0.5695,4
9-46d,1336,5,0.2657,5
9a,879,4,0.3891,4
10v,694,6,0.4395,4
a10p,476,2,0.5462,2
10pp,401,4,0.3741,3
11l,713,5,0.6129,3
13l,791,3,0.4728,3
OFC,1177,6,0.3152,5
47s,626,4,0.4393,3
LIPd,615,4,0.9512,1
6a,1765,8,0.3031,6
i6-8,549,4,0.6339,4
s6-8,307,2,0.8502,2
43,563,4,0.4813,3
OP4,902,5,0.6308,2
OP1,760,3,0.5724,3
OP2-3,665,4,0.5248,2
52,507,5,0.3905,5
RI,909,5,0.4158,4
PFcm,679,4,0.5096,3
PoI2,805,4,0.3342,3
TA2,357,4,0.5154,2
FOP4,1002,6,0.6886,3
MI,698,3,0.6232,3
Pir,669,5,0.782,3
AVI,716,3,0.7542,3
AAIC,541,3,0.9492,1
FOP1,299,2,0.9666,1
FOP3,516,4,0.6802,4
FOP2,400,4,0.68,2
PFt,1260,8,0.5635,5
AIP,1639,8,0.4881,3
EC,587,3,0.7604,2
PreS,833,4,0.4547,3
H,1265,1,1,1
ProS,690,4,0.3435,4
PeEc,1248,5,0.4832,3
STGa,311,2,0.582,2
PBelt,745,4,0.6322,3
A5,736,6,0.3872,6
PHA1,617,3,0.6272,2
PHA3,716,6,0.6131,3
STSda,638,4,0.3448,4
STSdp,956,6,0.5157,2
STSvp,1031,5,0.418,3
TGd,1796,8,0.4449,3
TE1a,756,3,0.7116,3
TE1p,1173,6,0.5848,3
TE2a,1211,6,0.3708,5
TF,1348,6,0.3227,3
TE2p,806,6,0.3586,5
PHT,870,5,0.6069,3
PH,1003,5,0.4626,4
TPOJ1,856,4,0.6729,2
TPOJ2,597,4,0.3367,4
TPOJ3,400,3,0.945,1
DVT,688,7,0.2776,7
PGp,670,3,0.5328,3
IP2,1000,4,0.515,2
IP1,819,6,0.4151,5
IP0,526,3,0.4734,3
PFop,839,3,0.6651,3
PF,2181,6,0.2499,5
PFm,2451,7,0.2738,6
PGi,1744,5,0.4513,4
PGs,1324,5,0.3255,4
V6A,252,2,0.8929,2
VMV1,437,3,0.746,2
VMV3,310,4,0.3968,3
PHA2,394,4,0.5076,4
V4t,248,2,0.5,2
FST,550,4,0.3782,3
V3CD,376,5,0.4468,3
LO3,325,5,0.64,3
VMV2,347,3,0.6686,3
31pd,545,3,0.6862,2
31a,346,2,0.5,2
VVC,632,4,0.5775,3
25,369,3,0.6504,3
s32,280,3,0.8821,2
pOFC,547,2,0.5971,2
PoI1,774,5,0.3463,5
Ig,544,3,0.8438,2
FOP5,708,6,0.6271,3
p10p,549,4,0.5574,4
p47r,599,5,0.3472,5
TGv,661,5,0.6415,2
MBelt,600,4,0.5917,3
LBelt,591,2,0.5685,2
A4,944,5,0.41,4
STSva,667,7,0.2909,5
TE1m,663,5,0.5294,5
PI,565,5,0.5044,4
a32pr,527,6,0.4269,4
p24,317,2,0.6215,2
