variant	feature	kind	n_genes	rho_with_thinning	p_spin	mean_fast	mean_mid	mean_slow	n_parcels
3d	Astro	cell class	786	0.1169	0.4077	0.297	-0.3523	0.04536	137
3d	Endo	cell class	852	-0.06157	0.6623	0.01518	-0.219	0.2174	137
3d	Micro	cell class	630	-0.2176	0.158	-0.1347	-0.2613	0.4299	137
3d	Neuro-Ex	cell class	1136	0.2035	0.09218	0.112	0.2374	-0.379	137
3d	Neuro-In	cell class	831	0.2336	0.04799	0.1841	0.1211	-0.3351	137
3d	OPC	cell class	141	-0.04711	0.7483	0.09094	-0.3375	0.2596	137
3d	Oligo	cell class	784	-0.1255	0.1418	-0.1075	-0.1398	0.2695	137
3d	Per	cell class	59	0.08427	0.3965	0.2205	-0.2573	0.02907	137
3d	L1	layer	1072	-0.002418	0.9868	0.1494	-0.3752	0.2345	137
3d	L2	layer	895	0.1094	0.4735	0.117	0.06164	-0.1965	137
3d	L3	layer	98	0.2719	0.03699	0.3013	0.08485	-0.4271	137
3d	L4	layer	305	0.02936	0.8538	0.001974	0.1963	-0.2122	137
3d	L5	layer	443	0.1599	0.1194	0.1325	0.06202	-0.2142	137
3d	L6	layer	227	-0.03255	0.8382	-0.02176	-0.07255	0.1019	137
3d	WM	layer	3772	-0.08801	0.3789	-0.02162	-0.2692	0.3121	137
3d	SCZ top 250	risk genes	250	0.05514	0.7021	0.02526	-0.009469	-0.01807	137
3d	SCZ top 500	risk genes	500	0.06261	0.6571	0.06178	-0.04807	-0.01754	137
3d	SCZ top 1000	risk genes	1000	0.0794	0.5435	0.08116	-0.01906	-0.07021	137
3d	MDD top 250	risk genes	250	0.09798	0.5539	0.1361	-0.02258	-0.1278	137
3d	MDD top 500	risk genes	500	0.09695	0.5249	0.1567	-0.08839	-0.0804	137
3d	MDD top 1000	risk genes	1000	0.1387	0.2631	0.1768	-0.05407	-0.1395	137
3d	PLS2	axis		0.592	0.0003999	0.6195	0.1176	-0.8173	137
3d	C3	axis		0.3263	0.03259	0.2067	0.3797	-0.6369	137
