label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_V1,-1.969,0.5831,-1.023,-0.1363,-0.1543,-1.646,0.05065,-0.3483,-1.311,-1.254,-1.782,0.6724,-2.622,-2.18,-0.1937,1.441,0.7702,0.4673,-0.5237,0.01681,0.2523,-0.8908,-1.899,9.195,slow
lh_V2,-1.858,-0.4451,-1.287,-0.345,-0.1628,-1.604,0.6564,-0.7939,-1.774,-1.396,-1.618,0.764,-2,-1.864,-0.1316,0.6872,0.2274,0.09693,-0.8772,-0.3424,-0.09275,-0.9482,-1.482,19.79,mid
lh_V3,-1.561,0.4255,-1.2,-0.2771,-0.2897,-1.54,-0.174,0.3534,-1.103,-1.059,-1.234,0.5333,-2.2,-2.244,-0.5085,0.7403,0.2255,-0.03194,-0.8587,-0.4096,-0.2057,-0.2611,-1.295,19.68,mid
lh_V4,-1.428,-0.00233,-1.187,0.1667,0.2243,-1.002,1.145,-0.1989,-1.198,-0.2811,-0.2569,0.3087,-1.41,-1.456,0.2343,1.002,0.818,0.6804,-0.4894,-0.07159,0.1987,-0.3591,-0.479,18.01,slow
lh_4,-0.6828,1.266,0.1882,-1.351,-1.364,-0.9166,1.278,0.5015,-0.2672,-2.095,-1.961,1.2,-0.4296,-0.5771,0.7875,0.01183,-0.2571,0.01452,-1.338,-1.035,-0.8342,-2.622,-2.006,6.572,slow
lh_3b,-1.102,0.9108,0.5673,-1.431,-1.437,-1.228,1.53,-0.1023,-0.3182,-2.326,-2.683,0.7633,-2.034,-1.5,1.328,0.4431,-0.04529,-0.03367,-1.101,-0.8062,-0.6689,-2.378,-2.376,14.75,slow
lh_FEF,0.2762,0.9555,-0.6151,-0.437,-0.6196,-0.4904,0.3458,0.5473,0.2349,-0.816,-0.43,0.8259,0.1714,0.2296,-0.0981,-0.387,-0.6231,-0.3518,-0.8102,-0.8704,-0.6984,-1.308,-0.6031,3.573,slow
lh_55b,-1.441,0.1873,0.02231,-1.266,-1.878,-1.337,-0.2149,-0.6184,-0.9436,-1.777,-0.8544,0.8809,0.255,-0.02749,-0.9185,-1.749,-1.771,-1.654,-2.241,-2.252,-2.237,-1.811,-0.7483,5.176,slow
lh_V3A,-1.384,0.6514,-1.231,1.308,1.419,-1.48,-1.678,1.206,-1.118,-0.4823,-0.4377,1.653,-0.1496,-1.356,-1.886,1.023,0.6637,0.6527,-0.004735,0.3402,0.484,0.05695,-0.4602,19.68,mid
lh_RSC,0.04426,0.136,-0.651,-0.782,-0.492,-0.1692,0.0387,1.41,0.1015,-1.258,-0.8764,0.02907,-0.6025,-0.7501,-0.09945,-1.014,-1.018,-0.9492,-1.492,-1.074,-0.9655,-0.3704,-0.6089,14.83,slow
lh_POS2,-1.082,-0.2706,-1.376,1.606,1.672,-1.581,-1.314,-0.2833,-1.268,0.9091,1.778,1.548,0.6511,-0.7852,-1.84,0.9999,1.046,0.9812,0.1197,0.6681,0.8153,1.069,1.1,22.6,fast
lh_IPS1,-0.1466,0.5279,-1.059,-1.425,-1.438,-0.5643,2.118,1.784,-0.1668,-1.358,-0.9952,-0.0207,-2.351,-2.223,1.368,0.06403,-0.3614,-0.08159,-1.644,-1.124,-0.5977,-0.8817,-1.248,24.6,fast
lh_FFC,-0.6749,-0.4465,-0.8407,-0.1395,-0.3653,-0.5047,0.661,-0.3728,-0.7153,0.2406,-0.1436,-0.4153,-0.6557,-0.2133,0.1282,-0.1346,-0.1466,-0.2122,-0.2596,-0.363,-0.2828,-0.019,0.977,18.35,mid
lh_A1,-1.617,2.397,1.021,0.5734,1.268,-0.4202,2.284,1.673,-0.5926,-1.334,-2.239,1.189,-0.545,-0.03359,1.862,2.656,2.209,2.042,0.6989,1.255,1.616,-1.585,-2.006,20.64,mid
lh_PSL,-0.8123,-1.472,-0.5918,0.6517,0.1326,-0.9133,-0.5347,-1.048,-1.269,0.4105,0.5037,0.3254,0.5891,0.2847,-0.9806,-0.4675,-0.3058,-0.2957,-0.8048,-0.4786,-0.3257,0.6608,1.438,18.71,mid
lh_SFL,0.3713,0.03642,0.4056,-0.6637,-1.047,-0.3073,-0.3131,0.5617,0.2403,-1.392,-0.4849,0.9355,0.7132,-0.1711,-0.4922,-1.183,-1.32,-1.025,-1.546,-1.557,-1.473,-1.586,-0.7967,19.67,mid
lh_PCV,0.4212,0.3897,-0.5117,-0.1459,-0.3197,-0.2485,0.5198,0.4183,0.2045,-0.2159,-0.2113,0.2363,-0.5161,-0.5927,0.5053,0.3207,0.3461,0.4295,0.1218,0.1126,0.3636,0.5742,0.318,23.9,fast
lh_STV,-0.3394,-0.1429,0.2313,0.4337,-0.1025,-0.5685,-0.6644,-0.4856,-0.3736,-0.01479,-0.1978,0.5042,1.258,0.6825,-0.4071,0.3896,0.6171,0.4336,0.1618,0.2205,0.2311,0.3946,1.218,20.36,mid
