label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_V1,-1.55,0.7406,-0.5695,-0.3278,-0.2557,-1.26,-0.212,-0.2295,-0.9826,-0.9538,-1.709,0.2687,-2.578,-2.096,-0.01238,2.024,1.771,1.129,-0.1637,0.02352,0.4816,-0.7573,-1.899,9.195,slow
lh_V2,-1.503,-0.572,-0.9834,-0.5618,-0.3083,-1.086,0.5304,-1.058,-1.641,-1.247,-1.613,0.325,-1.987,-1.815,0.126,0.7948,0.6021,0.3148,-0.3525,-0.3654,0.0637,-0.9212,-1.482,19.79,mid
lh_V3,-1.186,0.3646,-1.022,-0.6641,-0.4822,-1.256,-0.4154,0.1872,-0.8111,-0.9134,-1.135,-0.01505,-2.398,-2.19,-0.442,0.6581,0.1023,-0.1428,-0.7403,-0.9018,-0.5455,-0.09695,-1.295,19.68,mid
lh_V4,-1.004,0.1132,-0.7272,0.08218,0.258,-0.2866,1.169,0.01712,-0.9157,-0.09926,-0.2398,-0.005359,-1.393,-1.396,0.6378,1.444,1.109,0.9889,-0.02632,0.1445,0.4354,-0.34,-0.479,18.01,slow
lh_4,-0.4184,1.314,0.4883,-1.186,-1.19,-0.4454,1.042,0.63,0.03736,-2.038,-1.669,1.376,-0.3623,-0.5335,0.778,0.2897,0.07723,0.02859,-1.275,-0.7531,-0.5334,-2.36,-2.006,6.572,slow
lh_3b,-0.6595,1.185,0.9064,-1.379,-1.395,-0.5055,1.38,0.6648,0.08799,-2.213,-2.522,0.7558,-1.937,-1.554,1.408,1.396,0.8486,0.444,-1.056,-0.4729,-0.3184,-2.212,-2.376,14.75,slow
lh_FEF,0.247,0.5788,-1.049,-0.5485,-0.6556,-0.2467,0.06594,-0.06895,0.2737,-0.8567,-0.3696,0.7229,0.02048,0.2227,-0.3191,-0.7652,-0.8112,-0.8865,-1.331,-1.113,-1.064,-1.361,-0.6031,3.573,slow
lh_55b,-1.703,0.01055,-0.3655,-1.302,-1.935,-1.49,-0.4775,-0.9041,-1.03,-1.852,-0.6362,1.003,0.1836,-0.06571,-1.217,-1.573,-1.901,-1.931,-2.554,-2.43,-2.463,-1.531,-0.7483,5.176,slow
lh_V3A,-0.9603,0.6276,-1.144,1.099,1.389,-1.208,-1.818,0.4853,-0.7576,-0.1994,-0.3631,1.394,-0.1524,-1.262,-1.635,0.9048,0.7801,0.3966,-0.1181,0.1497,0.4089,-0.03734,-0.4602,19.68,mid
lh_RSC,0.2546,0.358,-0.3733,-0.8909,-0.4655,0.1731,0.1866,1.625,0.4809,-1.262,-0.8734,-0.1283,-0.6318,-0.6842,0.07282,-0.5893,-0.8356,-0.7749,-1.383,-1.381,-0.9476,-0.5173,-0.6089,14.83,slow
lh_POS2,-1.091,-0.4737,-1.606,1.597,1.538,-2.311,-1.688,-1.273,-1.42,1.059,1.857,1.619,0.9268,-0.8273,-1.921,0.5142,0.3871,0.527,0.1598,0.1753,0.2309,1.083,1.1,22.6,fast
lh_IPS1,0.4221,0.5662,-0.78,-1.524,-1.312,0.4585,2.145,1.863,0.1341,-1.406,-1.197,-0.3796,-2.277,-2.352,1.729,0.3272,-0.3211,-0.3197,-1.442,-1.282,-0.8177,-1.08,-1.248,24.6,fast
