variant	feature	kind	n_genes	rho_with_thinning	p_spin	mean_fast	mean_mid	mean_slow	n_parcels
base	Astro	cell class	777	0.09811	0.4729	0.2746	-0.3505	0.07585	177
base	Endo	cell class	839	-0.1239	0.3099	-0.03604	-0.2168	0.2528	177
base	Micro	cell class	615	-0.1737	0.2272	-0.07572	-0.2283	0.304	177
base	Neuro-Ex	cell class	1132	0.1821	0.04799	0.1101	0.2365	-0.3466	177
base	Neuro-In	cell class	829	0.2414	0.004399	0.1537	0.1568	-0.3106	177
base	OPC	cell class	141	-0.03533	0.815	0.08164	-0.3091	0.2275	177
base	Oligo	cell class	783	-0.1324	0.04359	-0.1599	-0.1103	0.2702	177
base	Per	cell class	59	0.04312	0.6329	0.1299	-0.2091	0.07926	177
base	L1	layer	1054	-0.01268	0.9246	0.1426	-0.3794	0.2369	177
base	L2	layer	883	0.1527	0.2424	0.1438	0.1349	-0.2787	177
base	L3	layer	93	0.2619	0.0206	0.2928	0.08958	-0.3824	177
base	L4	layer	302	-0.01241	0.9436	-0.01973	0.1753	-0.1556	177
base	L5	layer	436	0.1094	0.1916	0.1526	0.02901	-0.1816	177
base	L6	layer	218	-0.05153	0.7403	0.0237	-0.1075	0.0838	177
base	WM	layer	3754	-0.1126	0.132	-0.08044	-0.238	0.3184	177
base	SCZ top 250	risk genes	250	-0.008433	0.9442	-0.03371	0.01829	0.01542	177
base	SCZ top 500	risk genes	500	0.02283	0.8476	0.01452	-0.01163	-0.002888	177
base	SCZ top 1000	risk genes	1000	0.05078	0.6511	0.02986	0.02711	-0.05696	177
base	MDD top 250	risk genes	250	0.1382	0.3309	0.1719	0.009696	-0.1816	177
base	MDD top 500	risk genes	500	0.0913	0.5233	0.1164	-0.02175	-0.09461	177
base	MDD top 1000	risk genes	1000	0.1259	0.2619	0.1263	0.009905	-0.1362	177
base	PLS2	axis		0.5231	0.0003999	0.5473	0.1783	-0.7256	177
base	C3	axis		0.3263	0.03259	0.2067	0.3797	-0.6369	137
