label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_V1,-1.103,0.7993,-0.2815,-0.2681,0.06766,-0.6681,-0.1672,0.06324,-0.6398,-0.79,-1.547,0.2808,-1.882,-1.695,0.05425,1.503,1.349,0.9199,0.02469,0.09801,0.3657,-0.7068,-1.899,9.195,slow
lh_MST,-1.227,0.5822,-0.8602,-0.3218,0.2835,-0.8807,-0.1268,0.221,-0.7148,-1.128,-1.195,1.323,-0.476,-1.104,-0.3282,-0.2968,0.07248,-0.2394,-0.3951,-0.844,-0.6913,-0.07659,,16.29,slow
lh_V6,-2.06,2.566,1.006,1.226,1.458,-1.169,-1.877,-1.296,-0.2875,1.549,1.606,2.89,1.549,-0.8335,-0.8887,2.562,3.206,2.981,2.195,2.124,2.791,2.189,,19.38,mid
lh_V2,-1.138,-0.5003,-0.7546,-0.4175,0.03249,-0.4766,0.4744,-0.6576,-1.302,-1.108,-1.492,0.3129,-1.406,-1.52,0.1657,0.5786,0.4562,0.2663,-0.2598,-0.2462,-0.01604,-0.753,-1.482,19.79,mid
lh_V3,-0.7369,0.5115,-0.5386,-0.4246,-0.06572,-0.5183,-0.2373,0.6564,-0.4323,-0.7025,-1.017,0.121,-1.627,-1.714,-0.2234,0.3491,-0.04194,-0.1722,-0.6354,-0.6623,-0.4264,-0.2646,-1.295,19.68,mid
lh_V4,-0.8727,-0.04051,-0.7112,0.1939,0.3875,-0.3585,0.8068,-0.05253,-0.8958,0.05153,-0.1786,0.01105,-0.9592,-1.069,0.3261,1.251,0.8204,0.824,0.2062,0.04714,0.2887,-0.3595,-0.479,18.01,slow
lh_V8,-1.03,0.976,-0.02078,-1.549,-1.373,-0.935,1.319,0.0428,-0.2793,-1.19,-1.061,0.2714,-1.354,-1.83,1.34,0.4601,0.3001,0.006318,-0.1625,-0.1214,-0.2252,-0.1807,,17.39,slow
lh_4,-0.2724,1.229,0.4875,-0.6944,-0.7889,-0.5206,0.763,0.3494,-0.002893,-1.619,-1.252,1.327,-0.04519,-0.3174,0.5465,0.2927,0.07728,0.1335,-1.012,-0.5239,-0.3389,-2.008,-2.006,6.572,slow
lh_3b,-0.5016,1.164,0.8288,-0.8241,-0.841,-0.6063,0.9851,0.4353,0.07485,-1.69,-1.99,0.7581,-1.228,-1.164,1.1,1.216,0.7718,0.4895,-0.4705,-0.2538,-0.1137,-1.899,-2.376,14.75,slow
lh_FEF,0.1173,0.3726,-1.24,-0.7081,-0.8322,-0.2454,-0.08051,-0.05573,0.2157,-0.9869,-0.4544,0.5286,-0.01379,0.1776,-0.4608,-1.007,-1.084,-1.182,-1.697,-1.487,-1.423,-1.148,-0.6031,3.573,slow
lh_PEF,1.685,1.639,0.6094,-1.195,-1.052,0.7,2.473,1.957,1.374,-1.384,-0.5153,0.3894,-0.6495,-1.45,2.35,0.2605,-0.6662,0.09573,-1.985,-0.8423,-0.5061,-2.721,,6.202,slow
lh_55b,-1.028,0.508,0.3665,-0.4933,-0.9141,-0.8607,-0.26,-0.3648,-0.5032,-1.144,-0.2245,1.171,0.636,0.343,-0.7369,-0.2669,-0.5914,-0.6102,-1.257,-1.206,-1.063,-1.218,-0.7483,5.176,slow
lh_V3A,-0.5394,1.04,-0.6585,1.236,1.648,-0.6248,-1.393,0.745,-0.3798,0.1701,-0.3036,1.513,0.3838,-0.768,-1.222,1.284,1.222,0.9825,0.09732,0.3298,0.8322,0.1172,-0.4602,19.68,mid
lh_RSC,0.5766,0.5543,-0.1047,-0.3337,0.09348,0.3336,0.1917,1.501,0.5978,-0.8303,-0.4187,0.1058,-0.09875,-0.342,0.1802,-0.09471,-0.3583,-0.2419,-0.6414,-0.7729,-0.3838,-0.5476,-0.6089,14.83,slow
lh_POS2,-1.119,-0.6859,-1.739,1.046,1.073,-2.071,-1.618,-1.407,-1.427,0.9781,1.589,1.3,0.5811,-0.8096,-2.075,0.1754,-0.1338,0.1134,-0.2643,-0.2461,-0.1506,1.188,1.1,22.6,fast
lh_V7,-1.151,1.018,0.04693,1.325,1.98,-0.4352,-0.1614,0.7104,-0.7164,0.2781,0.01224,1.653,0.3433,-0.09563,-0.2721,1.931,1.901,1.733,1.703,1.403,1.682,0.5372,,22.39,mid
lh_IPS1,0.2643,0.3505,-0.9094,-1.401,-1.243,-0.144,1.619,1.239,-0.0476,-1.302,-1.059,-0.4331,-1.826,-2.055,1.189,0.02989,-0.7673,-0.7068,-1.402,-1.338,-0.9924,-1.222,-1.248,24.6,fast
lh_FFC,-0.5588,-0.5744,-0.8119,-0.08453,-0.2549,-0.1869,0.5465,-0.5508,-0.7456,0.2769,-0.09239,-0.5764,-0.4681,-0.1716,0.1137,-0.4746,-0.4549,-0.2781,-0.3094,-0.2986,-0.3379,0.05342,0.977,18.35,mid
lh_V3B,0.5515,1.49,0.2141,-3.154,-2.696,1.897,4.054,2.537,0.665,-2.783,-2.544,-2.191,-3.68,-2.442,3.899,0.5468,-0.05996,-0.3665,-1.279,-1.102,-0.6874,-2.837,,17.95,slow
lh_LO1,-0.03723,0.5368,-0.6828,-0.4669,-0.2461,0.4695,1.802,0.8888,-0.4568,-1.441,-2.299,-0.5652,-0.9427,-0.5824,1.358,0.1368,-0.04857,0.233,-0.7973,-0.6872,0.005106,-0.6052,,17.03,slow
lh_LO2,-0.9282,-0.6371,0.3262,0.2418,-0.222,-1.997,-0.1998,-1.569,-1.262,-0.4602,-0.9143,0.9892,-0.09042,-0.9439,0.48,2,1.609,1.837,0.6138,1.447,1.363,-0.01959,,19.83,mid
lh_PIT,-0.3157,-1.793,-0.7314,1.676,1.326,-0.3035,0.4338,-1.613,-1.377,-0.1415,-0.6309,0.891,1.502,1.437,-0.3805,0.683,0.6185,0.9144,0.5504,0.5409,0.7552,0.005583,,18.15,slow
lh_MT,2.155,1.528,-2.465,-4.112,-3.032,2.321,2.218,3.228,1.881,-3.097,-3.755,-3.177,-4.802,-2.831,1.945,-2.558,-2.935,-2.734,-3.368,-3.323,-2.794,-2.878,,16.88,slow
lh_A1,-0.9968,2.47,1.661,0.5041,1.193,0.6025,1.754,1.328,-0.09253,-1.084,-1.842,0.8787,-0.4669,0.142,1.818,2.279,2.182,1.857,1.278,1.274,1.576,-1.266,-2.006,20.64,mid
lh_PSL,-1.093,-1.453,-0.8196,0.9815,0.3357,-1.617,-0.8466,-1.258,-1.583,0.8083,0.7129,0.5682,0.8914,0.3373,-1.195,-0.3626,-0.642,-0.2135,-0.5457,-0.4827,-0.2939,1.049,1.438,18.71,mid
lh_SFL,0.5805,0.07658,0.3221,-0.2702,-0.6192,0.1806,-0.261,0.6608,0.4758,-1.205,-0.03881,1.09,0.789,0.1102,-0.4054,-0.8161,-0.9358,-0.8283,-1.301,-1.237,-1.005,-1.394,-0.7967,19.67,mid
lh_PCV,0.322,-0.003935,-0.9455,-0.5792,-0.5988,-0.3896,0.1651,0.3982,0.09384,-0.3291,-0.3404,-0.3289,-0.6019,-0.7314,0.04967,-0.6659,-0.6054,-0.6763,-0.4284,-0.566,-0.5915,0.3369,0.318,23.9,fast
lh_STV,-0.864,-0.6888,-0.4835,0.4776,-0.2791,-1.284,-1.037,-0.9009,-0.9625,0.05334,-0.009866,0.5566,1.066,0.373,-1.1,-0.3123,-0.3121,-0.1117,-0.2202,-0.466,-0.457,0.8204,1.218,20.36,mid
lh_7Pm,-1.615,-1.159,-0.7236,1.154,0.6717,-1.618,-0.6963,-1.831,-1.846,0.2186,0.5789,1.594,1.16,0.1307,-1.133,1.219,1.099,0.9361,0.4938,0.2744,0.5436,1.182,0.9955,28.98,fast
lh_7m,-0.7495,-0.2847,-2.184,-1.376,-1.389,-0.9887,0.1591,0.1605,-0.5505,-1.199,-0.5527,-0.4206,-1.606,-1.755,-0.422,-1.179,-1.559,-1.806,-1.725,-1.901,-2.02,-0.07742,-0.26,27,fast
