y_map	reference	rho	p_spin	n_regions
dCT	NSPN_CT_delta	0.6405	0.0016	34
dCT	NSPN_MT_delta	-0.3445	0.07758	34
dCT	NSPN_CT	0.1431	0.5195	34
dCT	NSPN_MT	0.01178	0.9528	34
dCT	NSPN_PLS2	-0.4999	0.0192	34
dCT	C1_shipped	-0.08908	0.6967	34
dCT	C2_shipped	-0.3299	0.09918	34
dCT	C3_shipped	-0.5462	0.009998	34
CT	NSPN_CT_delta	-0.1578	0.5025	34
CT	NSPN_MT_delta	0.3021	0.3029	34
CT	NSPN_CT	0.9551	0.0009998	34
CT	NSPN_MT	-0.7405	0.0009998	34
CT	NSPN_PLS2	-0.03472	0.9214	34
CT	C1_shipped	-0.7384	0.0014	34
CT	C2_shipped	0.08785	0.8546	34
CT	C3_shipped	0.2324	0.3049	34
dT1T2	NSPN_CT_delta	0.1468	0.5855	34
dT1T2	NSPN_MT_delta	-0.259	0.4725	34
dT1T2	NSPN_CT	-0.5943	0.04659	34
dT1T2	NSPN_MT	0.7252	0.003599	34
dT1T2	NSPN_PLS2	0.07771	0.8426	34
dT1T2	C1_shipped	0.7696	0.004199	34
dT1T2	C2_shipped	0.2749	0.6111	34
dT1T2	C3_shipped	-0.2159	0.3965	34
T1T2	NSPN_CT_delta	0.277	0.1982	34
T1T2	NSPN_MT_delta	-0.2492	0.2989	34
T1T2	NSPN_CT	-0.2444	0.3725	34
T1T2	NSPN_MT	0.4924	0.03359	34
T1T2	NSPN_PLS2	-0.2186	0.3989	34
T1T2	C1_shipped	0.6391	0.006999	34
T1T2	C2_shipped	-0.3522	0.246	34
T1T2	C3_shipped	-0.494	0.011	34
slopePC1	NSPN_CT_delta	0.4173	0.04119	34
slopePC1	NSPN_MT_delta	-0.2556	0.3473	34
slopePC1	NSPN_CT	0.06879	0.8504	34
slopePC1	NSPN_MT	-0.02111	0.9586	34
slopePC1	NSPN_PLS2	-0.4543	0.06159	34
slopePC1	C1_shipped	-0.5108	0.07598	34
slopePC1	C2_shipped	-0.2205	0.6027	34
slopePC1	C3_shipped	-0.4142	0.03899	34
slopePC2	NSPN_CT_delta	-0.2897	0.2298	34
slopePC2	NSPN_MT_delta	0.3146	0.3411	34
slopePC2	NSPN_CT	0.5231	0.1046	34
slopePC2	NSPN_MT	-0.6083	0.02739	34
slopePC2	NSPN_PLS2	0.1646	0.6551	34
slopePC2	C1_shipped	-0.8118	0.0022	34
slopePC2	C2_shipped	0.3015	0.5639	34
slopePC2	C3_shipped	0.354	0.1342	34
slopePC3	NSPN_CT_delta	-0.505	0.004199	34
slopePC3	NSPN_MT_delta	0.4383	0.1392	34
slopePC3	NSPN_CT	0.08682	0.8466	34
slopePC3	NSPN_MT	-0.2074	0.6293	34
slopePC3	NSPN_PLS2	0.6717	0.0012	34
slopePC3	C1_shipped	0.1725	0.7177	34
slopePC3	C2_shipped	0.8539	0.0012	34
slopePC3	C3_shipped	0.4429	0.03059	34
