label	model	trait	term	beta	se	p	n	n_families	mde80	post_min
hcp_1lmm	M1_primary	global_slope_1lmm	C4A_GREx_z	-0.0107956694256019	0.0143928872283968	0.453255716004354	4308	3601	0.0403000842395109	0.7
hcp_1lmm	M2_joint_C4B	global_slope_1lmm	C4A_GREx_z	-0.011347266842833	0.0146612503293958	0.438997227136259	4308	3601	0.0410515009223081	0.7
hcp_1lmm	M2_joint_C4B	global_slope_1lmm	C4B_GREx_z	-0.00289832986672728	0.0146349709565157	0.843022557658019	4308	3601	0.0409779186782438	0.7
hcp_1lmm	M3_sex_interaction	global_slope_1lmm	C4A_GREx_z	-0.0210312017095957	0.0208442895989591	0.313047838357627	4308	3601	0.0583640108770855	0.7
hcp_1lmm	M3_sex_interaction	global_slope_1lmm	C4A_GREx_z:sexM	0.0193150981454283	0.0284564279277335	0.497326280328796	4308	3601	0.0796779981976538	0.7
hcp_1lmm	M3_sex_F	global_slope_1lmm	C4A_GREx_z	-0.0232092101258964	0.0226389946387938	0.305399688553884	2016	1769	0.0633891849886226	0.7
hcp_1lmm	M3_sex_M	global_slope_1lmm	C4A_GREx_z	-0.00375810748555892	0.0211791221955229	0.859176514081112	2292	2011	0.0593015421474642	0.7
hcp_1lmm	M4_PRS_alone	global_slope_1lmm	PRS_z	-0.0348316281098618	0.014504144432084	0.0163734071316644	4308	3601	0.0406116044098352	0.7
hcp_1lmm	M4_conditional_PRS	global_slope_1lmm	C4A_GREx_z	-0.0082483320860725	0.014425947004648	0.567508709591329	4308	3601	0.0403926516130143	0.7
hcp_1lmm	M4_conditional_PRS	global_slope_1lmm	PRS_z	-0.0342080431481164	0.0145467764796834	0.0187413929364182	4308	3601	0.0407309741431134	0.7
hcp_1lmm	M5_control_baseline	baseline_thickness_1lmm	C4A_GREx_z	-0.0257057425073153	0.0152789085653834	0.0925575795661988	4308	3601	0.0427809439830734	0.7
hcp_1lmm	M6_common5	global_slope_1lmm	C4A_GREx_z	-0.00836752066806829	0.0149415618076139	0.575501235013287	3991	3351	0.0418363730613189	0.7
hcp_1lmm	M7_copy_numbers	global_slope_1lmm	C4A_copies_z	-0.00559048757582102	0.0232964193365483	0.81036396402	4308	3601	0.0652299741423353	0.7
hcp_1lmm	M7_copy_numbers	global_slope_1lmm	C4B_copies_z	-0.00230700879306938	0.0158559013073929	0.884324493651142	4308	3601	0.0443965236607002	0.7
hcp_1lmm	M7_copy_numbers	global_slope_1lmm	HERV_copies_z	-0.00537826947838259	0.0222096981792422	0.808669382841315	4308	3601	0.0621871549018781	0.7
hcp_1lmm	M8_posterior_filter	global_slope_1lmm	C4A_GREx_z	-0.0101066636463368	0.0151288409691169	0.504149756291359	3903	3301	0.0423607547135274	0.7
