thin	map_cM_per_bp	n_folds	n_individuals	genotype_concordance	haplotype_concordance	frac_post_ge_0_7	genotype_concordance_post_ge_0_7	r_C4A_GREx	r_C4B_GREx	r_C4A_copies	r_HERV_copies	median_post_mean
1	1e-7	5	111	0.4234	0.6757	0.9369	0.4519	0.622	0.5184	0.59	0.6227	0.9495
1	3e-7	5	111	0.6667	0.8108	0.955	0.6792	0.8171	0.7366	0.7971	0.8451	0.9109
1	1e-6	5	111	0.7117	0.8378	0.9099	0.6931	0.9002	0.6301	0.8631	0.9039	0.87
1	3e-6	5	111	0.6577	0.8018	0.6577	0.6986	0.8449	0.453	0.7466	0.8744	0.73
1	1e-5	5	111	0.5586	0.7523	0.2793	0.6774	0.7009	0.4303	0.6111	0.7481	0.6465
3	1e-7	5	111	0.6036	0.7658	0.9189	0.6078	0.805	0.5431	0.7729	0.7877	0.945
3	3e-7	5	111	0.6937	0.8333	0.955	0.6981	0.8776	0.6855	0.8547	0.8892	0.895
3	1e-6	5	111	0.7027	0.8288	0.8468	0.7447	0.8883	0.5998	0.8496	0.9012	0.7963
3	3e-6	5	111	0.5586	0.7387	0.3153	0.6571	0.7646	0.4119	0.6741	0.8067	0.63
3	1e-5	5	111	0.3784	0.6306	0.0541	0.8333	0.496	0.4481	0.496	0.5273	0.5346
