label,hemi,x,y,z,space
lh_bankssts,lh,-89.278946,-35.50189,-27.728806,sphere
lh_caudalanteriorcingulate,lh,93.55286,33.251865,11.923817,sphere
lh_caudalmiddlefrontal,lh,-3.3418808,56.10498,82.71072,sphere
lh_cuneus,lh,43.40803,-85.106926,-29.53903,sphere
lh_entorhinal,lh,-1.8567568,29.304462,-95.59185,sphere
lh_fusiform,lh,-8.268975,-24.692642,-96.54997,sphere
lh_inferiorparietal,lh,-53.3746,-84.32796,6.3204775,sphere
lh_inferiortemporal,lh,-43.71246,-19.919079,-87.70662,sphere
lh_isthmuscingulate,lh,87.90151,-38.56775,-28.033083,sphere
lh_lateraloccipital,lh,-16.87442,-85.93604,-48.272663,sphere
lh_lateralorbitofrontal,lh,2.7107608,89.58409,-44.354733,sphere
lh_lingual,lh,41.187954,-47.18819,-77.95401,sphere
lh_medialorbitofrontal,lh,50.931503,78.944885,-34.25911,sphere
lh_middletemporal,lh,-72.09068,-18.047533,-66.91204,sphere
lh_parahippocampal,lh,28.62537,-3.770097,-95.74118,sphere
lh_paracentral,lh,71.884384,-27.396751,63.890945,sphere
lh_parsopercularis,lh,-54.2504,80.17386,25.080782,sphere
lh_parsorbitalis,lh,-8.621309,97.8955,-18.497122,sphere
lh_parstriangularis,lh,-32.71307,94.45064,-2.9886687,sphere
lh_pericalcarine,lh,45.03276,-72.24114,-52.471603,sphere
lh_postcentral,lh,-47.158348,-13.096703,87.20416,sphere
lh_posteriorcingulate,lh,97.40557,-13.88048,17.874222,sphere
lh_precentral,lh,-24.174074,24.529987,93.88234,sphere
lh_precuneus,lh,71.86859,-68.56891,11.54166,sphere
lh_rostralanteriorcingulate,lh,73.951004,65.435585,-15.7934475,sphere
lh_rostralmiddlefrontal,lh,8.048946,93.22154,35.283962,sphere
lh_superiorfrontal,lh,68.925514,46.656887,55.42931,sphere
lh_superiorparietal,lh,8.092718,-88.78181,45.302307,sphere
lh_superiortemporal,lh,-87.34047,21.492294,-43.70038,sphere
lh_supramarginal,lh,-87.13859,-26.819443,41.080223,sphere
lh_frontalpole,lh,40.38993,91.17828,-7.4280014,sphere
lh_temporalpole,lh,-27.231615,44.944595,-85.07892,sphere
lh_transversetemporal,lh,-90.90461,33.7364,-24.458265,sphere
lh_insula,lh,-65.219635,68.675644,-32.094486,sphere
rh_bankssts,rh,76.67319,-45.145947,-45.640625,sphere
rh_caudalanteriorcingulate,rh,-79.56586,50.721817,33.114532,sphere
rh_caudalmiddlefrontal,rh,33.62659,46.199303,82.06629,sphere
rh_cuneus,rh,-62.652874,-72.89995,-27.572,sphere
rh_entorhinal,rh,-13.346977,37.74574,-91.63578,sphere
rh_fusiform,rh,-17.777521,-15.76387,-97.13629,sphere
rh_inferiorparietal,rh,41.089085,-90.6856,-9.370633,sphere
rh_inferiortemporal,rh,18.000711,-17.05563,-96.876625,sphere
rh_isthmuscingulate,rh,-98.019165,-17.429987,-9.4042225,sphere
rh_lateraloccipital,rh,-13.31376,-81.93701,-55.75904,sphere
rh_lateralorbitofrontal,rh,2.3296888,92.07536,-38.94483,sphere
rh_lingual,rh,-64.554245,-31.784748,-69.44408,sphere
rh_medialorbitofrontal,rh,-42.747288,88.79169,-16.991333,sphere
rh_middletemporal,rh,49.613052,-26.331907,-82.735565,sphere
rh_parahippocampal,rh,-49.60636,9.177228,-86.34228,sphere
rh_paracentral,rh,-60.71469,-21.120743,76.600525,sphere
rh_parsopercularis,rh,74.025185,64.59827,18.636913,sphere
rh_parsorbitalis,rh,27.105495,95.03949,-15.257412,sphere
rh_parstriangularis,rh,52.736248,84.94324,-1.8795633,sphere
rh_pericalcarine,rh,-66.816795,-56.654823,-48.22599,sphere
rh_postcentral,rh,63.05688,-28.541521,72.174866,sphere
rh_posteriorcingulate,rh,-91.8061,4.4926043,39.388535,sphere
rh_precentral,rh,45.059586,8.06981,88.907326,sphere
rh_precuneus,rh,-80.138306,-54.897995,23.749979,sphere
rh_rostralanteriorcingulate,rh,-63.579166,76.82417,7.465633,sphere
rh_rostralmiddlefrontal,rh,18.932379,89.52233,40.340034,sphere
rh_superiorfrontal,rh,-44.772133,52.716297,72.22498,sphere
rh_superiorparietal,rh,-15.589168,-90.09517,40.49492,sphere
rh_superiortemporal,rh,76.911064,12.336447,-62.70966,sphere
rh_supramarginal,rh,91.78008,-35.17618,18.413374,sphere
rh_frontalpole,rh,-21.22398,97.6498,3.7493732,sphere
rh_temporalpole,rh,15.804346,48.824127,-85.827896,sphere
rh_transversetemporal,rh,88.862816,20.1194,-41.214188,sphere
rh_insula,rh,66.96299,59.795654,-44.05041,sphere
