map,map_col,component,n_regions,rho,p_spin,p_naive,null_sd_spin,null_sd_naive
Absolute thinning rate,slope_total,C1,34,-0.08907563025210084,0.494501099780044,0.6272745450909818,0.13223117930460893,0.17416821383067108
Absolute thinning rate,slope_total,C2,34,-0.3298701298701298,0.0033993201359728054,0.04899020195960808,0.11876703833030608,0.17272449849628457
Absolute thinning rate,slope_total,C3,34,-0.546218487394958,0.0015996800639872025,0.0011997600479904018,0.18003032344101152,0.1752860179808384
Between-subject SD of rate,tau_slope,C1,34,-0.5049656226126814,0.026794641071785644,0.002999400119976005,0.24881071553878065,0.1737065013190021
Between-subject SD of rate,tau_slope,C2,34,0.06524064171122994,0.8534293141371726,0.6980603879224155,0.2618226748401384,0.17231758607354083
Between-subject SD of rate,tau_slope,C3,34,0.02032085561497326,0.9188162367526495,0.9142171565686863,0.19383567664617246,0.1728600433054562
Slope PC1,slopePC1,C1,34,-0.5107715813598166,0.03459308138372325,0.0015996800639872025,0.27505819516480146,0.17240256728999293
Slope PC1,slopePC1,C2,34,-0.22047364400305572,0.5462907418516296,0.21655668866226754,0.29868465807187905,0.1755351833425022
Slope PC1,slopePC1,C3,34,-0.414209320091673,0.03459308138372325,0.014597080583883223,0.2035029295719342,0.17509915631127318
Slope PC2,slopePC2,C1,34,-0.8117647058823529,0.0001999600079984003,0.0001999600079984003,0.2853172517356931,0.17663158130449752
Slope PC2,slopePC2,C2,34,0.30145148968678376,0.41711657668466307,0.08078384323135374,0.31427742868649033,0.1727663561114589
Slope PC2,slopePC2,C3,34,0.35401069518716577,0.08418316336732654,0.041791641671665665,0.21137457740706037,0.17257029406723778
Slope PC3,slopePC3,C1,34,0.17249809014514894,0.6798640271945611,0.32693461307738453,0.3184520880791875,0.17343162916767488
Slope PC3,slopePC3,C2,34,0.8539343009931245,0.0001999600079984003,0.0001999600079984003,0.35298945112008795,0.17643654791920416
Slope PC3,slopePC3,C3,34,0.44293353705118405,0.03719256148770246,0.009198160367926415,0.21842572701339502,0.17412973151163286
Regional h²,h2,C1,34,0.3420932009167303,0.14537092581483704,0.04559088182363527,0.2323459991442555,0.17306154011329383
Regional h²,h2,C2,34,0.21191749427043544,0.44891021795640873,0.2349530093981204,0.23849816872034463,0.17446674474192364
Regional h²,h2,C3,34,0.030099312452253627,0.8660267946410718,0.8738252349530093,0.19369245746614,0.17361664518993503
