label,h2_slope,r_MZ,r_DZ,n_MZ,n_DZ,dz_class,r_sib_excluded,h2_intercept,reliability
lh_bankssts,0.36675,0.31084,0.127465,273,448,DZ_twin,0.0696222,0.545359,0.281326
lh_caudalanteriorcingulate,0.28508,0.282781,0.140241,273,448,DZ_twin,0.119605,0.502793,0.179903
lh_caudalmiddlefrontal,0.281271,0.325284,0.184649,273,448,DZ_twin,0.118491,0.58164,0.138673
lh_cuneus,0.0579532,0.238355,0.209378,273,448,DZ_twin,0.189941,0.499281,0.18712
lh_entorhinal,0.326354,0.240511,0.0773346,273,448,DZ_twin,0.145026,0.533203,0.122886
lh_frontalpole,0.565729,0.373733,0.0908681,273,448,DZ_twin,0.0133505,0.581858,0.267515
lh_fusiform,0.252647,0.304114,0.177791,273,448,DZ_twin,0.110662,0.548798,0.185251
lh_inferiorparietal,-0.133217,0.230616,0.297225,273,448,DZ_twin,0.0857579,0.620068,0.249653
lh_inferiortemporal,0.382436,0.329524,0.138306,273,448,DZ_twin,0.0913442,0.540729,0.206369
lh_insula,0.412126,0.239208,0.0331453,273,448,DZ_twin,0.0891714,0.589688,0.17996
lh_isthmuscingulate,0.169552,0.277174,0.192399,273,448,DZ_twin,0.0693657,0.522178,0.186948
lh_lateraloccipital,0.207628,0.360921,0.257107,273,448,DZ_twin,0.0712485,0.580434,0.180167
lh_lateralorbitofrontal,0.238022,0.247302,0.128291,273,448,DZ_twin,0.0811928,0.542512,0.193025
lh_lingual,0.324794,0.42777,0.265373,273,448,DZ_twin,0.141296,0.545648,0.169248
lh_medialorbitofrontal,0.269215,0.243176,0.108569,273,448,DZ_twin,0.127441,0.363104,0.209178
lh_middletemporal,0.534531,0.488107,0.220841,273,448,DZ_twin,0.0826011,0.715848,0.220203
lh_paracentral,0.443182,0.373403,0.151812,273,448,DZ_twin,0.0965248,0.472916,0.239077
lh_parahippocampal,-0.0851123,0.0723381,0.114894,273,448,DZ_twin,0.12668,0.369524,0.211845
lh_parsopercularis,0.376739,0.322211,0.133842,273,448,DZ_twin,0.0248768,0.628452,0.211194
lh_parsorbitalis,0.402668,0.349727,0.148392,273,448,DZ_twin,0.0930819,0.615347,0.203447
lh_parstriangularis,0.23992,0.33262,0.21266,273,448,DZ_twin,0.169479,0.529805,0.178441
lh_pericalcarine,0.255667,0.346827,0.218994,273,448,DZ_twin,0.138675,0.748786,0.133174
lh_postcentral,0.618551,0.526173,0.216898,273,448,DZ_twin,0.131307,0.544901,0.246482
lh_posteriorcingulate,0.473922,0.305663,0.0687019,273,448,DZ_twin,0.171523,0.640573,0.197894
lh_precentral,0.716207,0.488452,0.130349,273,448,DZ_twin,0.0289208,0.62517,0.176673
lh_precuneus,0.30704,0.386454,0.232934,273,448,DZ_twin,0.129299,0.549398,0.226275
lh_rostralanteriorcingulate,0.0379598,0.212323,0.193343,273,448,DZ_twin,0.0710663,0.1622,0.187996
lh_rostralmiddlefrontal,0.128488,0.381691,0.317447,273,448,DZ_twin,0.120273,0.669435,0.167593
lh_superiorfrontal,0.340072,0.48054,0.310504,273,448,DZ_twin,0.0975115,0.705176,0.238192
lh_superiorparietal,0.101648,0.367568,0.316744,273,448,DZ_twin,0.101708,0.613334,0.206145
lh_superiortemporal,0.429013,0.420599,0.206093,273,448,DZ_twin,0.108738,0.564743,0.269464
lh_supramarginal,0.360601,0.318456,0.138155,273,448,DZ_twin,0.112078,0.69485,0.285374
lh_temporalpole,0.333835,0.300009,0.133092,273,448,DZ_twin,0.0722911,0.455076,0.0541566
lh_transversetemporal,0.438194,0.216467,-0.00262986,273,448,DZ_twin,0.0589714,0.28564,0.177491
rh_bankssts,0.115801,0.212443,0.154543,273,448,DZ_twin,0.162128,0.319617,0.276954
rh_caudalanteriorcingulate,0.257947,0.329233,0.200259,273,448,DZ_twin,0.133786,0.543243,0.242713
rh_caudalmiddlefrontal,0.290782,0.387611,0.24222,273,448,DZ_twin,0.101098,0.699192,0.137826
rh_cuneus,0.367664,0.28708,0.103248,273,448,DZ_twin,0.087706,0.371741,0.17278
rh_entorhinal,0.600896,0.443125,0.142678,273,448,DZ_twin,0.123484,0.519852,0.168488
rh_frontalpole,0.224029,0.203529,0.0915152,273,448,DZ_twin,0.0816338,0.3592,0.291305
rh_fusiform,0.377021,0.308989,0.120478,273,448,DZ_twin,0.120442,0.705997,0.238334
rh_inferiorparietal,0.511088,0.347084,0.0915397,273,448,DZ_twin,0.0885899,0.620848,0.229178
rh_inferiortemporal,0.294084,0.351316,0.204274,273,448,DZ_twin,0.0907269,0.465678,0.243995
rh_insula,0.0321711,0.232194,0.216108,273,448,DZ_twin,0.0948283,0.516998,0.162274
rh_isthmuscingulate,0.145694,0.156623,0.083776,273,448,DZ_twin,0.058454,0.758362,0.194493
rh_lateraloccipital,0.334383,0.356217,0.189026,273,448,DZ_twin,0.0699006,0.440581,0.191862
rh_lateralorbitofrontal,0.0839725,0.219773,0.177787,273,448,DZ_twin,0.199938,0.544464,0.133629
rh_lingual,0.156864,0.264943,0.186512,273,448,DZ_twin,0.11511,0.53797,0.165702
rh_medialorbitofrontal,0.101411,0.173271,0.122566,273,448,DZ_twin,0.0718888,0.414747,0.214071
rh_middletemporal,0.545104,0.500401,0.227849,273,448,DZ_twin,0.214178,0.735325,0.283676
rh_paracentral,0.488673,0.36894,0.124604,273,448,DZ_twin,0.18839,0.379085,0.258184
rh_parahippocampal,-0.083265,0.144691,0.186324,273,448,DZ_twin,0.135953,0.586636,0.142646
rh_parsopercularis,0.147415,0.21098,0.137272,273,448,DZ_twin,0.124906,0.36883,0.182682
rh_parsorbitalis,0.0554656,0.198295,0.170562,273,448,DZ_twin,0.159728,0.351674,0.197721
rh_parstriangularis,0.171246,0.192707,0.107084,273,448,DZ_twin,0.145997,0.520414,0.181248
rh_pericalcarine,0.320869,0.291981,0.131547,273,448,DZ_twin,0.00291991,0.460116,0.120428
rh_postcentral,0.233773,0.361448,0.244562,273,448,DZ_twin,0.191282,0.444518,0.279113
rh_posteriorcingulate,0.375155,0.23212,0.0445431,273,448,DZ_twin,0.0530062,0.693973,0.210497
rh_precentral,0.716147,0.41341,0.0553363,273,448,DZ_twin,0.0521844,0.40416,0.121907
rh_precuneus,0.351727,0.383851,0.207987,273,448,DZ_twin,0.144071,0.550117,0.243093
rh_rostralanteriorcingulate,-0.313679,0.0735833,0.230423,273,448,DZ_twin,0.075207,0.252311,0.178014
rh_rostralmiddlefrontal,0.106508,0.321482,0.268228,273,448,DZ_twin,0.141728,0.717116,0.153528
rh_superiorfrontal,0.356012,0.414087,0.236081,273,448,DZ_twin,0.137162,0.727043,0.201151
rh_superiorparietal,0.522744,0.501722,0.24035,273,448,DZ_twin,0.107871,0.676174,0.215938
rh_superiortemporal,0.281399,0.3428,0.2021,273,448,DZ_twin,0.15282,0.669477,0.298118
rh_supramarginal,0.423636,0.35267,0.140852,273,448,DZ_twin,0.165012,0.570077,0.314845
rh_temporalpole,0.134503,0.145206,0.0779543,273,448,DZ_twin,0.067609,0.407602,0.0627316
rh_transversetemporal,0.121722,0.164542,0.103682,273,448,DZ_twin,0.133595,0.635524,0.19457
