k	stratum	metric	value
3	ALL	offdiag_within_mean	0.040503840893507004
3	ALL	offdiag_between_mean	-0.03633790835738182
3	EURlike	n_in_grm	7428.0
3	EURlike	pct_kept_gctacutoff	75.7539041464728
3	EURlike	pct_kept_pcair	73.90953150242326
3	cluster1	n_in_grm	2315.0
3	cluster1	pct_kept_gctacutoff	2.678185745140389
3	cluster1	pct_kept_pcair	64.70842332613391
3	cluster2	n_in_grm	1927.0
3	cluster2	pct_kept_gctacutoff	16.709911779968863
3	cluster2	pct_kept_pcair	61.754021795537106
4	ALL	offdiag_within_mean	0.040198374539613724
4	ALL	offdiag_between_mean	-0.034775059670209885
4	EURlike	n_in_grm	7448.0
4	EURlike	pct_kept_gctacutoff	75.63104189044039
4	EURlike	pct_kept_pcair	73.96616541353383
4	cluster1	n_in_grm	2309.0
4	cluster1	pct_kept_gctacutoff	2.6418362927674317
4	cluster1	pct_kept_pcair	64.87656994369857
4	cluster2	n_in_grm	1390.0
4	cluster2	pct_kept_gctacutoff	22.158273381294965
4	cluster2	pct_kept_pcair	68.34532374100719
4	cluster3	n_in_grm	523.0
4	cluster3	pct_kept_gctacutoff	1.7208413001912046
4	cluster3	pct_kept_pcair	42.25621414913958
5	ALL	offdiag_within_mean	0.04005029797554016
5	ALL	offdiag_between_mean	-0.03008856438100338
5	EURlike	n_in_grm	7234.0
5	EURlike	pct_kept_gctacutoff	75.43544373790434
5	EURlike	pct_kept_pcair	74.99308819463644
5	cluster1	n_in_grm	1801.0
5	cluster1	pct_kept_gctacutoff	0.0
5	cluster1	pct_kept_pcair	77.84564131038312
5	cluster2	n_in_grm	1348.0
5	cluster2	pct_kept_gctacutoff	21.29080118694362
5	cluster2	pct_kept_pcair	68.91691394658754
5	cluster3	n_in_grm	773.0
5	cluster3	pct_kept_gctacutoff	33.3764553686934
5	cluster3	pct_kept_pcair	26.002587322121602
5	cluster4	n_in_grm	514.0
5	cluster4	pct_kept_gctacutoff	1.7509727626459144
5	cluster4	pct_kept_pcair	42.99610894941634
