trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	MDD_hc_expression	-	56	0.084517	0.0046728	0.11396	0.22916
baseline_thickness	marginal	MDD_hc_finemap	-	160	0.17415	0.016228	0.073034	0.0085592
baseline_thickness	marginal	MDD_hc_protein	-	10	-0.18532	-0.0043352	0.28643	0.74118
baseline_thickness	marginal	MDD_highconf	-	213	0.11451	0.012294	0.062678	0.033864
baseline_thickness	marginal	MDD_pool	-	1881	0.022814	0.0069342	0.026087	0.19092
baseline_thickness	marginal	MDD_pool_not_hc	-	1668	0.0032941	0.00094895	0.027421	0.45219
global_slope	marginal	MDD_hc_expression	-	56	0.072289	0.0039967	0.11466	0.26419
global_slope	marginal	MDD_hc_finemap	-	160	-0.027255	-0.0025398	0.073494	0.64462
global_slope	marginal	MDD_hc_protein	-	10	0.15997	0.0037422	0.28818	0.28941
global_slope	marginal	MDD_highconf	-	213	-0.0091027	-0.00097727	0.063068	0.55738
global_slope	marginal	MDD_pool	-	1881	0.034524	0.010493	0.026245	0.094191
global_slope	marginal	MDD_pool_not_hc	-	1668	0.039887	0.01149	0.027587	0.074119
MDD	marginal	MDD_hc_expression	-	56	1.8309	0.09915	0.15527	3.0271e-32
MDD	marginal	MDD_hc_finemap	-	160	2.3251	0.21225	0.094722	1.0837e-130
MDD	marginal	MDD_hc_protein	-	10	1.2664	0.029015	0.34364	0.00011473
MDD	marginal	MDD_highconf	-	213	2.1159	0.22254	0.081226	1.6259e-146
MDD	marginal	MDD_pool	-	1880	1.2366	0.36891	0.033581	4.239e-284
MDD	marginal	MDD_pool_not_hc	-	1667	0.94762	0.26785	0.036044	3.8594e-149
SCZ	marginal	MDD_hc_expression	-	56	1.0567	0.058133	0.16102	2.7411e-11
SCZ	marginal	MDD_hc_finemap	-	160	0.76497	0.070935	0.10091	1.8264e-14
SCZ	marginal	MDD_hc_protein	-	10	0.47083	0.01096	0.33844	0.082097
SCZ	marginal	MDD_highconf	-	213	0.80235	0.085719	0.085889	5.423e-21
SCZ	marginal	MDD_pool	-	1884	0.5843	0.17694	0.035588	2.4709e-60
SCZ	marginal	MDD_pool_not_hc	-	1671	0.49122	0.14099	0.037524	3.0912e-39
slope_PC1	marginal	MDD_hc_expression	-	56	0.028252	0.001562	0.11312	0.40139
slope_PC1	marginal	MDD_hc_finemap	-	160	-0.034878	-0.0032501	0.072506	0.68475
slope_PC1	marginal	MDD_hc_protein	-	10	0.31708	0.0074174	0.2843	0.13237
slope_PC1	marginal	MDD_highconf	-	213	0.016887	0.001813	0.06222	0.39304
slope_PC1	marginal	MDD_pool	-	1881	0.030019	0.009124	0.025893	0.12317
slope_PC1	marginal	MDD_pool_not_hc	-	1668	0.029935	0.0086236	0.027217	0.1357
slope_PC2	marginal	MDD_hc_expression	-	56	0.23469	0.012976	0.11496	0.020608
slope_PC2	marginal	MDD_hc_finemap	-	160	0.024282	0.0022627	0.073699	0.3709
slope_PC2	marginal	MDD_hc_protein	-	10	0.25638	0.0059974	0.28898	0.1875
slope_PC2	marginal	MDD_highconf	-	213	0.085624	0.0091926	0.063239	0.087884
slope_PC2	marginal	MDD_pool	-	1881	0.045502	0.01383	0.026317	0.041915
slope_PC2	marginal	MDD_pool_not_hc	-	1668	0.033889	0.0097626	0.027664	0.11029
slope_PC3	marginal	MDD_hc_expression	-	56	0.0042239	0.00023353	0.11379	0.48519
slope_PC3	marginal	MDD_hc_finemap	-	160	-0.087755	-0.0081775	0.072933	0.88554
slope_PC3	marginal	MDD_hc_protein	-	10	-0.18589	-0.0043485	0.286	0.74214
slope_PC3	marginal	MDD_highconf	-	213	-0.052788	-0.0056674	0.062588	0.8005
slope_PC3	marginal	MDD_pool	-	1881	0.037097	0.011275	0.026046	0.077191
slope_PC3	marginal	MDD_pool_not_hc	-	1668	0.051089	0.014717	0.027376	0.031018
